fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0001 13:11:12 297 39.04 1.000E+000 7.700E-001 2.300E-006 3.270E+003 3.030E+000 6.116E-009 1.754E-003 
0002 13:14:22 297 39.04 1.000E+000 7.700E-001 2.310E-006 3.270E+003 3.032E+000 6.081E-009 1.669E-003 
0003 13:18:30 297 39.04 1.000E+000 7.700E-001 2.257E-006 3.270E+003 3.033E+000 6.089E-009 1.647E-003 
0004 13:21:32 297 39.04 1.000E+000 7.700E-001 2.288E-006 3.270E+003 3.029E+000 6.095E-009 1.663E-003 
0005 13:24:18 297 39.04 1.000E+000 7.700E-001 2.298E-006 3.270E+003 3.026E+000 6.090E-009 1.743E-003 
0006 13:27:38 297 39.04 1.000E+000 7.700E-001 2.273E-006 3.270E+003 3.030E+000 6.086E-009 1.693E-003 
0007 13:30:52 297 39.04 1.000E+000 7.700E-001 2.299E-006 3.270E+003 3.026E+000 6.097E-009 1.691E-003 
0008 13:34:18 297 39.04 1.000E+000 7.700E-001 2.291E-006 3.270E+003 3.029E+000 6.081E-009 1.726E-003 
0009 13:38:22 297 39.04 1.000E+000 7.700E-001 2.269E-006 3.270E+003 3.031E+000 6.075E-009 1.656E-003 
0010 13:44:10 297.1 39.02 1.000E+000 7.700E-001 2.256E-006 3.270E+003 3.031E+000 6.132E-009 1.729E-003 
0011 13:46:40 297 39.04 1.000E+000 7.700E-001 2.326E-006 3.270E+003 3.022E+000 6.118E-009 1.754E-003 
0012 13:48:46 297 39.04 1.000E+000 7.700E-001 2.337E-006 3.270E+003 3.027E+000 6.078E-009 1.147E-002 
0013 13:52:46 296.9 39.05 1.000E+000 7.700E-001 2.308E-006 3.270E+003 3.023E+000 6.073E-009 1.705E-003 
