fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_340 001_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.142713231E-13 1.000000000E+20 1.197665438E+00 1.881424436E-14 4.779168668E-05 
001_340_SRH 001_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.718456501E-13 1.000000000E+20 1.225562240E+00 1.660773335E-14 9.551998430E-05 
002_340 002_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.929116098E-13 1.000000000E+20 1.207593253E+00 2.651972165E-14 5.853107539E-05 
002_340_SRH 002_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.508581650E-13 1.000000000E+20 1.225808396E+00 2.435699395E-14 9.614623594E-05 
003_340 003_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.067421471E-13 1.000000000E+20 1.215171716E+00 3.784227337E-14 6.706814904E-05 
003_340_SRH 003_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.652909806E-13 1.000000000E+20 1.226181799E+00 3.571241305E-14 9.718253910E-05 
004_340 004_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.706684088E-13 1.000000000E+20 1.220914493E+00 5.443668097E-14 8.553417422E-05 
004_340_SRH 004_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.300313918E-13 1.000000000E+20 1.226696291E+00 5.233021884E-14 9.850069571E-05 
005_340 005_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.043466189E-13 1.000000000E+20 1.221818112E+00 7.870869074E-14 8.576629353E-05 
005_340_SRH 005_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.651873459E-13 1.000000000E+20 1.227448365E+00 7.663294157E-14 1.005161926E-04 
006_340 006_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.234047383E-12 1.000000000E+20 1.223087294E+00 1.141343078E-13 9.165673438E-05 
006_340_SRH 006_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.096888184E-12 1.000000000E+20 1.228487690E+00 1.121040513E-13 1.033321904E-04 
007_340 007_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.691892646E-12 1.000000000E+20 1.226239966E+00 1.657655643E-13 9.869723601E-05 
007_340_SRH 007_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.557229566E-12 1.000000000E+20 1.229932490E+00 1.637872015E-13 1.074178248E-04 
008_340 008_340.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.313846159E-12 1.000000000E+20 1.229382823E+00 2.408374201E-13 1.058975013E-04 
008_340_SRH 008_340_srh.dat 340 34.1 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.182503237E-12 1.000000000E+20 1.231896396E+00 2.389238908E-13 1.133317286E-04 
