fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
LL060 8:22 291.6 39.76 1.000E+000 8.160E+000 8.031E-012 2.178E+004 2.972E+000 6.036E-006 2.714E-005 1.145E-001 2.712E-005 1.025E-006 3.300E-001 6.540E-002 1.564E-005 7.480E-003 
LL065 8:18 291.6 39.76 1.000E+000 8.164E+000 8.011E-012 2.178E+004 2.967E+000 5.976E-006 3.539E-005 1.325E-001 3.535E-005 1.618E-006 3.454E-001 7.720E-002 2.093E-005 5.272E-003 
LL070 8:15 291.6 39.76 1.000E+000 8.160E+000 7.893E-012 2.178E+004 2.963E+000 5.933E-006 4.524E-005 1.498E-001 4.520E-005 2.442E-006 3.606E-001 8.890E-002 2.744E-005 5.152E-002 
LL075 8:12 291.5 39.77 1.000E+000 8.162E+000 7.812E-012 2.185E+004 2.969E+000 5.981E-006 5.669E-005 1.657E-001 5.663E-005 3.516E-006 3.746E-001 9.990E-002 3.516E-005 5.320E-003 
LL080 8:9 291.5 39.77 1.000E+000 8.146E+000 7.634E-012 2.185E+004 2.968E+000 5.983E-006 6.895E-005 1.799E-001 6.888E-005 4.799E-006 3.872E-001 1.100E-001 4.358E-005 3.218E-003 
LL085 8:6 291.4 39.79 1.000E+000 8.148E+000 7.497E-012 2.192E+004 2.964E+000 5.948E-006 8.234E-005 1.931E-001 8.226E-005 6.342E-006 3.992E-001 1.196E-001 5.298E-005 1.949E-003 
LL090 8:4 291.4 39.79 1.000E+000 8.146E+000 7.397E-012 2.192E+004 2.964E+000 5.958E-006 9.637E-005 2.047E-001 9.627E-005 8.066E-006 4.094E-001 1.280E-001 6.297E-005 1.829E-003 
LL095 8:1 291.3 39.8 1.000E+000 8.177E+000 7.496E-012 2.198E+004 2.976E+000 6.048E-006 1.136E-004 2.167E-001 1.135E-004 1.032E-005 4.194E-001 1.368E-001 7.535E-005 2.853E-003 
LL100 7:58 291.3 39.8 1.000E+000 8.174E+000 7.354E-012 2.198E+004 2.968E+000 5.977E-006 1.296E-004 2.268E-001 1.295E-004 1.259E-005 4.284E-001 1.444E-001 8.710E-005 5.953E-003 
LL105 7:55 291.2 39.82 1.000E+000 8.195E+000 7.401E-012 2.205E+004 2.978E+000 6.059E-006 1.502E-004 2.377E-001 1.501E-004 1.560E-005 4.372E-001 1.525E-001 1.022E-004 5.193E-003 
LL110 7:52 291.2 39.82 1.000E+000 8.213E+000 7.433E-012 2.205E+004 2.984E+000 6.127E-006 1.684E-004 2.460E-001 1.682E-004 1.836E-005 4.437E-001 1.586E-001 1.157E-004 4.532E-003 
