fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B315FE100_T 1317912114 0 555 4.831592960E-07 1.449000000E+00 7.222111472E-05 0.000000000E+00 2.200000000E+00 7.995729089E-04 
B315FE101_T 1317912114 0 555 4.951702335E-07 1.449000000E+00 6.399684418E-05 0.000000000E+00 2.200000000E+00 7.866451809E-04 
B315FE102_T 1317912114 0 555 5.075846224E-07 1.449000000E+00 6.190447880E-05 0.000000000E+00 2.200000000E+00 7.051099390E-04 
B315FE103_T 1317912114 0 555 5.415261419E-07 1.449000000E+00 5.585416790E-05 0.000000000E+00 2.200000000E+00 4.916191915E-04 
B315FE140_T 1317912114 0 555 4.874701271E-07 1.449000000E+00 7.154478210E-05 0.000000000E+00 2.200000000E+00 7.691227355E-04 
B315FE141_T 1317912114 0 555 4.963497843E-07 1.449000000E+00 6.372915562E-05 0.000000000E+00 2.200000000E+00 7.795658566E-04 
B315FE142_T 1317912114 0 555 5.119987701E-07 1.449000000E+00 6.138023369E-05 0.000000000E+00 2.200000000E+00 6.998992098E-04 
B315FE210_T 1317912114 0 555 4.904277829E-07 1.449000000E+00 7.071743337E-05 0.000000000E+00 2.200000000E+00 7.476809124E-04 
B315FE211_T 1317912114 0 555 4.975328569E-07 1.449000000E+00 6.371461537E-05 0.000000000E+00 2.200000000E+00 7.743717123E-04 
B315FE212_T 1317912114 0 555 5.172715079E-07 1.449000000E+00 5.982342983E-05 0.000000000E+00 2.200000000E+00 6.573482940E-04 
B315FE310_T 1317912114 0 555 4.921712005E-07 1.449000000E+00 6.863707350E-05 0.000000000E+00 2.200000000E+00 7.453076602E-04 
B315FE311_T 1317912114 0 555 4.994979592E-07 1.449000000E+00 6.334198447E-05 0.000000000E+00 2.200000000E+00 7.696326280E-04 
B315FE312_T 1317912114 0 555 5.218946624E-07 1.449000000E+00 5.808882921E-05 0.000000000E+00 2.200000000E+00 6.368230364E-04 
B315FE460_T 1317912114 0 555 4.934998633E-07 1.449000000E+00 6.718276693E-05 0.000000000E+00 2.200000000E+00 7.494404246E-04 
B315FE461_T 1317912114 0 555 5.018092777E-07 1.449000000E+00 6.302258534E-05 0.000000000E+00 2.200000000E+00 7.615944018E-04 
B315FE462_T 1317912114 0 555 5.272874811E-07 1.449000000E+00 5.698340530E-05 0.000000000E+00 2.200000000E+00 4.774986934E-04 
B315FE680_T 1317912114 0 555 4.944110866E-07 1.449000000E+00 6.557797762E-05 0.000000000E+00 2.200000000E+00 7.636265428E-04 
B315FE681_T 1317912114 0 555 5.043173139E-07 1.449000000E+00 6.246234964E-05 0.000000000E+00 2.200000000E+00 7.262753067E-04 
B315FE682_T 1317912114 0 555 5.336710284E-07 1.449000000E+00 5.677251289E-05 0.000000000E+00 2.200000000E+00 4.651110634E-04 
