N x
1.4214059E+0 1.3642201E+21
1.4088351E+0 1.3754495E+21
1.3963592E+0 1.3818470E+21
1.3836789E+0 1.3734492E+21
1.3708174E+0 1.3849961E+21
1.3581156E+0 1.3965658E+21
1.3452256E+0 1.3697243E+21
1.3317685E+0 1.3735414E+21
1.3186955E+0 1.3882204E+21
1.3052512E+0 1.3722393E+21
1.2915948E+0 1.3807169E+21
1.2780353E+0 1.3902449E+21
1.2642754E+0 1.3674742E+21
1.2499547E+0 1.3756628E+21
1.2360532E+0 1.3921001E+21
1.2217427E+0 1.3748604E+21
1.2071543E+0 1.3734905E+21
1.1924675E+0 1.3855631E+21
1.1777779E+0 1.3716946E+21
1.1624155E+0 1.3741524E+21
1.1473964E+0 1.3742704E+21
1.1316242E+0 1.3565423E+21
1.1157773E+0 1.3707457E+21
1.0998888E+0 1.3611385E+21
1.0833472E+0 1.3577998E+21
1.0668937E+0 1.3724573E+21
1.0501959E+0 1.3588263E+21
1.0328713E+0 1.3531519E+21
1.0154667E+0 1.3640106E+21
9.9782533E-1 1.3621969E+21
9.7975012E-1 1.3408541E+21
9.6086350E-1 1.3317828E+21
9.4181763E-1 1.3496747E+21
9.2267822E-1 1.3355360E+21
9.0240537E-1 1.3303793E+21
8.8225187E-1 1.3255794E+21
8.6087426E-1 1.3104607E+21
8.3922139E-1 1.3101733E+21
8.1670829E-1 1.2926456E+21
7.9321865E-1 1.2859889E+21
7.6910793E-1 1.2885115E+21
