T nFsrh nFBsrh dnsrh nF nFB dn
290 1.193122342E+00 1.391807513E+0 -1.986851710E-01 1.193122342E+00 1.391807513E+0 -1.986851710E-01
295 1.191288788E+00 1.330008187E+0 -1.387193990E-01 1.191288788E+00 1.330008187E+0 -1.387193990E-01
300 1.199799177E+00 1.278984679E+0 -7.918550200E-02 1.199799177E+00 1.278984679E+0 -7.918550200E-02
305 1.208137739E+00 1.236767585E+0 -2.862984600E-02 1.208137739E+00 1.236767585E+0 -2.862984600E-02
310 1.206370427E+00 1.201741197E+0 4.629230000E-03 1.206370427E+00 1.201741197E+0 4.629230000E-03
315 1.208829503E+00 1.172589029E+0 3.624047400E-02 1.208829503E+00 1.172589029E+0 3.624047400E-02
320 1.211986231E+00 1.148242592E+0 6.374363900E-02 1.211986231E+00 1.148242592E+0 6.374363900E-02
325 1.218930791E+00 1.127836247E+0 9.109454400E-02 1.218930791E+00 1.127836247E+0 9.109454400E-02
330 1.225210721E+00 1.110668887E+0 1.145418340E-01 1.225210721E+00 1.110668887E+0 1.145418340E-01
335 1.230586690E+00 1.096172202E+0 1.344144880E-01 1.230586690E+00 1.096172202E+0 1.344144880E-01
340 1.234788456E+00 1.083884768E+0 1.509036880E-01 1.234788456E+00 1.083884768E+0 1.509036880E-01
