N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.019212577E+00 1.017644295E+00 1.016355674E+00 1.015266335E+00
1.600000000E+01 1.258390139E+00 1.254996305E+00 1.252000309E+00 1.249682701E+00
1.700000000E+01 1.324044467E+00 1.322214615E+00 1.319400740E+00 1.318670875E+00
1.549996187E+01 1.170022594E+00 1.160616161E+00 1.155376905E+00 1.151543995E+00
1.649996187E+01 1.291066175E+00 1.289345284E+00 1.287213838E+00 1.285926880E+00
1.674996808E+01 1.307951801E+00 1.304706899E+00 1.303152723E+00 1.301941517E+00
1.624993176E+01 1.276102590E+00 1.273418520E+00 1.271162437E+00 1.269051211E+00
1.574996808E+01 1.231087581E+00 1.225931453E+00 1.222115550E+00 1.220019640E+00
1.524993176E+01 1.014132866E+00 1.012656476E+00 1.011552507E+00 1.010683367E+00
