N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.018227522E+00 1.016534724E+00 1.015308088E+00 1.014443109E+00
1.600000000E+01 1.265337826E+00 1.263922919E+00 1.262769680E+00 1.262083055E+00
1.700000000E+01 1.336433718E+00 1.335599878E+00 1.333712299E+00 1.333793623E+00
1.549996187E+01 1.199894477E+00 1.198883735E+00 1.200264670E+00 1.201074256E+00
1.649996187E+01 1.298081688E+00 1.297653531E+00 1.296773936E+00 1.296639148E+00
1.674996808E+01 1.317013673E+00 1.314925694E+00 1.314465827E+00 1.314250310E+00
1.624993176E+01 1.282249170E+00 1.281053967E+00 1.280246620E+00 1.279461171E+00
1.574996808E+01 1.243093885E+00 1.241446985E+00 1.240619368E+00 1.240916482E+00
1.524993176E+01 1.088946400E+00 1.093857481E+00 1.099042902E+00 1.103050321E+00
