T d154 d184 d214 d244
d 150 180 210 240
290 1.290255297E+00 1.290661522E+00 1.290782091E+00 1.290492062E+00
295 1.288563008E+00 1.289059618E+00 1.289115360E+00 1.289096437E+00
300 1.287917186E+00 1.288276644E+00 1.288390194E+00 1.288531040E+00
305 1.288333517E+00 1.288446245E+00 1.288651942E+00 1.288851635E+00
310 1.289525946E+00 1.289479689E+00 1.289811371E+00 1.289911938E+00
315 1.291411515E+00 1.291270096E+00 1.291421457E+00 1.291149165E+00
320 1.293661708E+00 1.293630172E+00 1.293613631E+00 1.293333016E+00
325 1.295978612E+00 1.296007424E+00 1.295839297E+00 1.295651423E+00
330 1.298136280E+00 1.298176650E+00 1.297991380E+00 1.297590429E+00
335 1.299611404E+00 1.299650740E+00 1.299435267E+00 1.298944751E+00
340 1.299551167E+00 1.299565308E+00 1.299285372E+00 1.297139269E+00
