T d154 d184 d214 d244
d 150 180 210 240
290 1.357101730E+00 1.356673675E+00 1.356003896E+00 1.356587729E+00
295 1.354750955E+00 1.354194882E+00 1.353501175E+00 1.354122159E+00
300 1.352962328E+00 1.352511393E+00 1.351611426E+00 1.352250955E+00
305 1.351957169E+00 1.351812570E+00 1.350481638E+00 1.351268000E+00
310 1.351867853E+00 1.351761724E+00 1.350388433E+00 1.350991559E+00
315 1.352668196E+00 1.352615127E+00 1.351285461E+00 1.351758836E+00
320 1.354381726E+00 1.354401059E+00 1.353045742E+00 1.353448878E+00
325 1.356773148E+00 1.356915807E+00 1.355842896E+00 1.355939857E+00
330 1.359795589E+00 1.359629579E+00 1.359061321E+00 1.359384308E+00
335 1.363582728E+00 1.363425132E+00 1.362853358E+00 1.363198346E+00
340 1.367695058E+00 1.367456731E+00 1.366967190E+00 1.367377434E+00
