fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
0S01 8:14:12 292.9 39.58 1.000E+000 1.014E+000 5.508E-006 6.622E+002 2.706E+000 2.065E-008 1.695E-005 1.078E-002 1.692E-005 4.568E-008 2.503E-001 5.400E-003 8.303E-006 5.925E-003 
0S02 8:39:04 296 39.17 1.000E+000 1.003E+000 5.983E-006 6.775E+002 2.673E+000 2.418E-008 1.688E-005 1.093E-002 1.686E-005 4.611E-008 2.504E-001 5.500E-003 8.230E-006 1.124E-001 
0S03 8:56:04 299.2 38.75 1.000E+000 1.049E+000 6.149E-006 6.931E+002 2.656E+000 2.744E-008 1.618E-005 1.063E-002 1.615E-005 4.300E-008 2.505E-001 5.300E-003 7.961E-006 3.062E+000 
0S04 9:15:22 301.9 38.4 1.000E+000 1.065E+000 5.761E-006 7.060E+002 2.633E+000 3.056E-008 1.581E-005 1.051E-002 1.578E-005 4.154E-008 2.505E-001 5.300E-003 7.688E-006 6.635E-001 
0S05 9:31:16 305.3 37.98 1.000E+000 9.388E-001 5.275E-006 7.218E+002 2.610E+000 3.499E-008 1.600E-005 1.076E-002 1.598E-005 4.311E-008 2.506E-001 5.400E-003 7.835E-006 8.274E+000 
0S06 9:46:12 309.3 37.49 1.000E+000 1.009E+000 5.623E-006 7.395E+002 2.570E+000 4.135E-008 1.554E-005 1.057E-002 1.552E-005 4.113E-008 2.507E-001 5.300E-003 7.614E-006 2.425E-001 
0S07 10:00:10 312.7 37.08 1.000E+000 9.938E-001 5.524E-006 7.535E+002 2.555E+000 4.605E-008 1.627E-005 1.111E-002 1.625E-005 4.530E-008 2.509E-001 5.600E-003 7.943E-006 1.409E+000 
0S08 10:15:18 314.8 36.83 1.000E+000 9.400E-001 5.780E-006 7.617E+002 2.537E+000 4.932E-008 1.606E-005 1.098E-002 1.604E-005 4.420E-008 2.509E-001 5.500E-003 7.890E-006 1.278E+000 
0S09 10:29:50 318.8 36.37 1.000E+000 9.860E-001 5.689E-006 7.758E+002 2.516E+000 5.644E-008 1.600E-005 1.093E-002 1.598E-005 4.383E-008 2.511E-001 5.500E-003 7.823E-006 2.268E-001 
0S10 10:44:42 322.5 35.95 1.000E+000 1.049E+000 5.670E-006 7.872E+002 2.484E+000 6.395E-008 1.557E-005 1.057E-002 1.554E-005 4.126E-008 2.512E-001 5.300E-003 7.638E-006 6.362E-001 
0S11 10:59:04 325.2 35.65 1.000E+000 9.944E-001 5.748E-006 7.942E+002 2.471E+000 6.889E-008 1.658E-005 1.115E-002 1.655E-005 4.640E-008 2.514E-001 5.600E-003 8.137E-006 7.860E-001 
0S12 11:15:24 328.6 35.28 1.000E+000 9.590E-001 6.020E-006 8.015E+002 2.448E+000 7.613E-008 1.587E-005 1.052E-002 1.585E-005 4.195E-008 2.515E-001 5.300E-003 7.765E-006 6.455E-004 
0S13 11:32:46 331.6 34.96 1.000E+000 1.009E+000 5.814E-006 8.063E+002 2.447E+000 8.144E-008 1.653E-005 1.075E-002 1.650E-005 4.468E-008 2.517E-001 5.400E-003 8.120E-006 7.232E-003 
0S14 11:48:36 334.9 34.62 1.000E+000 9.655E-001 6.283E-006 8.096E+002 2.421E+000 9.083E-008 1.636E-005 1.044E-002 1.634E-005 4.296E-008 2.518E-001 5.200E-003 8.106E-006 3.768E-001 
0S15 12:03:06 337.3 34.37 1.000E+000 9.606E-001 6.622E-006 8.107E+002 2.395E+000 9.824E-008 1.508E-005 9.470E-003 1.506E-005 3.590E-008 2.517E-001 4.800E-003 7.321E-006 4.734E-002 
0S16 12:24:18 340.4 34.06 1.000E+000 9.298E-001 7.214E-006 8.103E+002 2.386E+000 1.050E-007 1.499E-005 9.125E-003 1.496E-005 3.439E-008 2.518E-001 4.600E-003 7.311E-006 6.307E-004 
