fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0DT0 8:59:02 304.5 38.08 1.000E+000 1.351E+000 2.588E-006 1.020E+004 2.581E+000 2.067E-008 7.849E-004 
0DT1 9:01:04 304.6 38.06 1.000E+000 1.337E+000 2.650E-006 1.017E+004 2.585E+000 2.071E-008 8.382E-004 
0DT2 9:03:08 304.7 38.05 1.000E+000 1.328E+000 2.647E-006 1.013E+004 2.584E+000 2.077E-008 8.490E-004 
0DT3 9:07:36 304.7 38.05 1.000E+000 1.309E+000 2.771E-006 1.013E+004 2.584E+000 2.057E-008 8.923E-004 
0DT4 9:05:22 304.8 38.04 1.000E+000 1.354E+000 2.620E-006 1.010E+004 2.582E+000 2.089E-008 8.668E-004 
0DT5 9:09:30 304.7 38.05 1.000E+000 1.322E+000 2.699E-006 1.013E+004 2.587E+000 2.056E-008 8.477E-004 
0DT6 9:11:32 304.7 38.05 1.000E+000 1.331E+000 2.733E-006 1.013E+004 2.584E+000 2.065E-008 9.288E-004 
0DT7 9:13:36 304.7 38.05 1.000E+000 1.314E+000 2.767E-006 1.013E+004 2.587E+000 2.050E-008 8.830E-004 
0DT8 9:15:30 304.9 38.03 1.000E+000 1.317E+000 2.900E-006 1.007E+004 2.581E+000 2.087E-008 9.045E-004 
0DT9 9:17:34 305 38.01 1.000E+000 1.348E+000 2.800E-006 1.004E+004 2.584E+000 2.078E-008 7.557E-004 
0T00 8:13:28 291.9 39.72 1.000E+000 1.289E+000 2.287E-006 1.487E+004 2.640E+000 1.291E-008 1.118E-003 
