name time T kT_1 Voc
00 8:51:20 281 41.26 4.620E-001
00 8:56:50 282.8 41 4.527E-001
00 9:02:08 285.8 40.57 4.589E-001
00 9:07:20 290.3 39.94 4.588E-001
00 9:13:42 293.5 39.5 4.543E-001
00 9:19:24 299.3 38.74 4.533E-001
00 9:27:14 302.7 38.3 4.607E-001
00 9:32:22 307 37.77 4.553E-001
00 9:39:56 311.1 37.27 4.547E-001
001 9:45:00 317.1 36.56 4.484E-001
001 9:49:50 320.7 36.15 4.444E-001
001 9:55:00 324.3 35.75 4.408E-001
001 10:00:46 328.6 35.28 4.367E-001
001 10:06:24 332.3 34.89 4.317E-001
001 10:12:00 337.1 34.39 4.244E-001
001 10:18:02 342.1 33.89 4.181E-001
001 10:23:48 347 33.41 4.108E-001
001 10:30:04 351.1 33.02 4.040E-001
