Name T sdV sdI I01med I01er n1med n1er Rsh1med Rsh1er I02med I02er n2med n2er Rsh2med Rsh2er Rsmed Rser Iphmed Ipher
STLBO 300 0 0 1.500474253E-05 3.161689871E-02 5.521425606E+00 6.821287670E-03 1.000565318E+04 5.653179537E-02 9.665837317E-05 1.377500768E-04 2.666687881E+00 7.955250461E-04 2.114603511E+03 3.551978723E-04 4.999064574E+01 1.870851286E-02 9.999928235E-04 7.176486062E-04
STLBO 300 0 2E-7 1.497017135E-05 1.988576394E-01 5.513338747E+00 1.396519384E-01 1.045086027E+04 4.508602741E+00 9.662810054E-05 3.118149385E-02 2.663826989E+00 1.064879251E-01 2.113910186E+03 3.243236533E-02 5.039247155E+01 7.849430916E-01 1.000112037E-03 1.120367061E-02
STLBO 300 0 4E-7 1.393478283E-05 7.101447796E+00 5.420903311E+00 1.813888776E+00 9.383113377E+03 6.168866235E+00 9.655697809E-05 1.047628578E-01 2.654163207E+00 4.688797378E-01 2.110358141E+03 2.004098488E-01 5.318995373E+01 6.379907467E+00 1.001907215E-03 1.907214773E-01
STLBO 300 0 6E-7 1.291279592E-05 1.391469389E+01 5.309925090E+00 3.823981800E+00 9.171828886E+03 8.281711135E+00 9.645176006E-05 2.136185821E-01 2.640195602E+00 9.926649252E-01 2.106874666E+03 3.651446530E-01 5.679962175E+01 1.359924350E+01 1.003834975E-03 3.834974706E-01
STLBO 300 0 8E-7 1.208992147E-05 1.940052355E+01 5.240611064E+00 5.079432107E+00 8.071663301E+03 1.928336699E+01 9.626139826E-05 4.105617446E-01 2.632703788E+00 1.273607952E+00 2.102955389E+03 5.504886427E-01 5.875559397E+01 1.751118794E+01 1.005530602E-03 5.530602323E-01
STLBO 300 0 1E-6 1.059772220E-05 2.934851867E+01 5.059114055E+00 8.366796672E+00 7.526459319E+03 2.473540681E+01 9.619245102E-05 4.818926945E-01 2.622140320E+00 1.669738008E+00 2.098572199E+03 7.577712795E-01 6.314579810E+01 2.629159619E+01 1.009563401E-03 9.563401376E-01
STLBO 300 2E-5 0 1.496682108E-05 2.211927951E-01 5.518290701E+00 4.995967540E-02 9.975441111E+03 2.455888942E-01 9.665850465E-05 2.737839647E-04 2.666333690E+00 1.248662785E-02 2.114539292E+03 2.681731131E-03 5.008725419E+01 1.745083861E-01 1.000033795E-03 3.379526733E-03
STLBO 300 2E-5 2E-7 1.518943372E-05 1.262891443E+00 5.531160008E+00 1.831356486E-01 1.054909671E+04 5.490967101E+00 9.667141598E-05 1.363149075E-02 2.669351547E+00 1.006829954E-01 2.115240878E+03 3.049651139E-02 4.963303056E+01 7.339388798E-01 9.998908463E-04 1.091537133E-02
STLBO 300 2E-5 4E-7 1.423179023E-05 5.121398466E+00 5.443834560E+00 1.398546532E+00 1.010415527E+04 1.041552668E+00 9.651485845E-05 1.483386884E-01 2.653026655E+00 5.115004355E-01 2.110729968E+03 1.828260262E-01 5.286440771E+01 5.728815416E+00 1.001089091E-03 1.089091137E-01
STLBO 300 2E-5 6E-7 1.274632881E-05 1.502447461E+01 5.302272368E+00 3.962591736E+00 8.734426032E+03 1.265573968E+01 9.643986959E-05 2.259201339E-01 2.645627412E+00 7.889720676E-01 2.107090267E+03 3.549488162E-01 5.596131862E+01 1.192263723E+01 1.004203956E-03 4.203955972E-01
STLBO 300 2E-5 8E-7 1.155130055E-05 2.299132965E+01 5.181757856E+00 6.145410829E+00 8.293561429E+03 1.706438571E+01 9.651835205E-05 1.447243057E-01 2.632131941E+00 1.295052228E+00 2.104449512E+03 4.798310565E-01 6.046250940E+01 2.092501881E+01 1.006815430E-03 6.815429984E-01
STLBO 300 2E-5 1E-6 1.195676334E-05 2.028824437E+01 5.210580074E+00 5.623368412E+00 8.283383811E+03 1.716616189E+01 9.594980861E-05 7.329239734E-01 2.619329877E+00 1.775129620E+00 2.096675979E+03 8.474441723E-01 6.082719938E+01 2.165439876E+01 1.005702251E-03 5.702251482E-01
STLBO 300 4E-5 0 1.503946828E-05 2.631218379E-01 5.523960500E+00 5.273455315E-02 1.005131144E+04 5.131144260E-01 9.665712039E-05 1.158335859E-03 2.666544434E+00 4.583751738E-03 2.114600556E+03 2.154587633E-04 4.993344383E+01 1.331123316E-01 9.999565418E-04 4.345822245E-03
STLBO 300 4E-5 2E-7 1.506307756E-05 4.205170737E-01 5.521343243E+00 5.329490754E-03 1.037908729E+04 3.790872945E+00 9.657449340E-05 8.664198398E-02 2.663804085E+00 1.073468267E-01 2.113350783E+03 5.888674988E-02 5.020253035E+01 4.050606955E-01 1.000009817E-03 9.817284694E-04
STLBO 300 4E-5 4E-7 1.405124733E-05 6.325017772E+00 5.428101008E+00 1.683520494E+00 9.818151402E+03 1.818485979E+00 9.644736406E-05 2.181665637E-01 2.654228076E+00 4.664471645E-01 2.109330457E+03 2.490094184E-01 5.308624127E+01 6.172482538E+00 1.001491342E-03 1.491341875E-01
STLBO 300 4E-5 6E-7 1.325903100E-05 1.160646000E+01 5.341014629E+00 3.260872524E+00 9.287581300E+03 7.124186998E+00 9.669070273E-05 3.358503926E-02 2.657322069E+00 3.504224158E-01 2.111828591E+03 1.308717406E-01 5.501959994E+01 1.003919987E+01 1.003172152E-03 3.172151562E-01
