Name T sdV sdI I01med I01er n1med n1er Rsh1med Rsh1er I02med I02er n2med n2er Rsh2med Rsh2er Rsmed Rser Iphmed Ipher
STLBO 300 0 0 1.500474253E-05 3.161689281E-02 5.521425606E+00 6.821288154E-03 1.000565318E+04 5.653178788E-02 9.665837317E-05 1.377503768E-04 2.666687881E+00 7.955249999E-04 2.114603511E+03 3.551978723E-04 4.999064574E+01 1.870851660E-02 9.999928235E-04 7.176490039E-04
STLBO 300 0 2E-7 1.511973495E-05 7.982330081E-01 5.524489579E+00 6.231749682E-02 1.052245767E+04 5.224576683E+00 9.663464795E-05 2.440772122E-02 2.663182352E+00 1.306618089E-01 2.113451134E+03 5.414111081E-02 5.030709858E+01 6.141971626E-01 9.999619289E-04 3.807110776E-03
STLBO 300 0 4E-7 1.398230311E-05 6.784645914E+00 5.431684010E+00 1.618623359E+00 9.223427820E+03 7.765721796E+00 9.650693804E-05 1.565329366E-01 2.652111055E+00 5.458354383E-01 2.110102356E+03 2.125060119E-01 5.307450157E+01 6.149003136E+00 1.001871638E-03 1.871638300E-01
STLBO 300 0 6E-7 1.280872105E-05 1.460852637E+01 5.313489459E+00 3.759422177E+00 8.571628145E+03 1.428371855E+01 9.648045953E-05 1.839268862E-01 2.639879379E+00 1.004523288E+00 2.106217142E+03 3.962391814E-01 5.695522092E+01 1.391044183E+01 1.003865196E-03 3.865196429E-01
STLBO 300 0 8E-7 1.178329594E-05 2.144469371E+01 5.225237511E+00 5.357885574E+00 7.547933216E+03 2.452066784E+01 9.624761558E-05 4.248209325E-01 2.631241349E+00 1.328449439E+00 2.103169588E+03 5.403591262E-01 5.957632500E+01 1.915265000E+01 1.005679246E-03 5.679246481E-01
STLBO 300 0 1E-6 1.045270994E-05 3.031526706E+01 5.051194540E+00 8.510238898E+00 7.073338249E+03 2.926661751E+01 9.620740899E-05 4.664175812E-01 2.618289478E+00 1.814144593E+00 2.096587199E+03 8.516426400E-01 6.409529361E+01 2.819058722E+01 1.008295390E-03 8.295389528E-01
STLBO 300 2E-5 0 1.497079554E-05 1.946964309E-01 5.518666563E+00 4.315187988E-02 9.972361052E+03 2.763894800E-01 9.665873056E-05 5.075010907E-04 2.666370473E+00 1.110726681E-02 2.114560545E+03 1.676669077E-03 5.009421596E+01 1.884319111E-01 1.000034670E-03 3.466960794E-03
STLBO 300 2E-5 2E-7 1.517807750E-05 1.187183323E+00 5.531451242E+00 1.884106347E-01 1.048866352E+04 4.886635231E+00 9.666931115E-05 1.145389404E-02 2.669142120E+00 9.282950274E-02 2.114930500E+03 1.581864417E-02 4.974331105E+01 5.133779008E-01 9.999110477E-04 8.895230410E-03
STLBO 300 2E-5 4E-7 1.415134186E-05 5.657720957E+00 5.442517419E+00 1.422403235E+00 9.952383514E+03 4.761648638E-01 9.650898127E-05 1.544190644E-01 2.653234288E+00 5.037142035E-01 2.110159879E+03 2.097857264E-01 5.296960933E+01 5.939218665E+00 1.000943158E-03 9.431579447E-02
STLBO 300 2E-5 6E-7 1.277403230E-05 1.483978464E+01 5.317530779E+00 3.686223767E+00 8.341542347E+03 1.658457653E+01 9.634526693E-05 3.237934960E-01 2.641510219E+00 9.433668039E-01 2.105769751E+03 4.173964669E-01 5.575304625E+01 1.150609250E+01 1.004142827E-03 4.142827211E-01
STLBO 300 2E-5 8E-7 1.157605319E-05 2.282631206E+01 5.219254302E+00 5.466256450E+00 7.930452950E+03 2.069547050E+01 9.640829016E-05 2.585913657E-01 2.630071355E+00 1.372324189E+00 2.103282324E+03 5.350277804E-01 6.045059280E+01 2.090118561E+01 1.005844666E-03 5.844665615E-01
STLBO 300 2E-5 1E-6 1.179343533E-05 2.137709779E+01 5.214219454E+00 5.557450137E+00 7.932734186E+03 2.067265814E+01 9.593942891E-05 7.436625261E-01 2.616877251E+00 1.867103082E+00 2.096677132E+03 8.473896814E-01 5.967320135E+01 1.934640270E+01 1.005460011E-03 5.460011447E-01
STLBO 300 4E-5 0 1.505487238E-05 3.658158811E-01 5.525625095E+00 8.288453501E-02 1.006200736E+04 6.200736319E-01 9.665882142E-05 6.015049382E-04 2.666673349E+00 2.505599012E-04 2.114647345E+03 2.428116974E-03 4.990791258E+01 1.841748423E-01 9.999283164E-04 7.168360515E-03
STLBO 300 4E-5 2E-7 1.508597139E-05 5.731425924E-01 5.524613589E+00 6.456364132E-02 1.024479764E+04 2.447976445E+00 9.656282469E-05 9.871411466E-02 2.663466929E+00 1.199901564E-01 2.113346660E+03 5.908173970E-02 5.019788698E+01 3.957739538E-01 9.999595017E-04 4.049828521E-03
