Name T sdV sdI I01med I01er n1med n1er Rsh1med Rsh1er I02med I02er n2med n2er Rsh2med Rsh2er Rsmed Rser Iphmed Ipher
STLBO 300 0 0 1.500474253E-05 3.161689200E-02 5.521425605E+00 6.821284869E-03 1.000565318E+04 5.653177600E-02 9.665837317E-05 1.377494562E-04 2.666687881E+00 7.955264999E-04 2.114603511E+03 3.551978722E-04 4.999064575E+01 1.870850560E-02 9.999928235E-04 7.176474000E-04
STLBO 300 0 2E-7 1.505706835E-05 3.804556369E-01 5.516675307E+00 7.921848939E-02 1.063390228E+04 6.339022807E+00 9.663852067E-05 2.040111093E-02 2.665856621E+00 3.037671115E-02 2.114065835E+03 2.507168563E-02 5.020847596E+01 4.169519129E-01 1.000210545E-03 2.105453231E-02
STLBO 300 0 4E-7 1.363308585E-05 9.112760981E+00 5.386525673E+00 2.436553740E+00 9.278724841E+03 7.212751587E+00 9.643921645E-05 2.265958571E-01 2.650302470E+00 6.136573844E-01 2.108418718E+03 2.921258879E-01 5.417035159E+01 8.340703184E+00 1.002685051E-03 2.685050940E-01
STLBO 300 0 6E-7 1.280239485E-05 1.465070098E+01 5.298009983E+00 4.039794171E+00 9.528900100E+03 4.710999004E+00 9.647447095E-05 1.901225106E-01 2.639886289E+00 1.004264182E+00 2.106840583E+03 3.667564566E-01 5.736651576E+01 1.473303152E+01 1.004070814E-03 4.070813642E-01
STLBO 300 0 8E-7 1.141531271E-05 2.389791530E+01 5.143096136E+00 6.845671238E+00 8.179043905E+03 1.820956095E+01 9.626549890E-05 4.063193347E-01 2.628285168E+00 1.439306213E+00 2.102056387E+03 5.930027646E-01 6.112818722E+01 2.225637444E+01 1.008781562E-03 8.781562022E-01
STLBO 300 0 1E-6 1.091017697E-05 2.726548689E+01 5.064450019E+00 8.270149022E+00 8.409086693E+03 1.590913307E+01 9.631771964E-05 3.522931753E-01 2.625251836E+00 1.553056156E+00 2.100654525E+03 6.592973457E-01 6.375858447E+01 2.751716894E+01 1.010176080E-03 1.017608027E+00
STLBO 300 2E-5 0 1.499298777E-05 4.674821200E-02 5.520406382E+00 1.163939969E-02 1.000043081E+04 4.308117600E-03 9.665943429E-05 1.235559431E-03 2.666495154E+00 6.431730749E-03 2.114579963E+03 7.583822158E-04 5.003629483E+01 7.258965720E-02 1.000003834E-03 3.834356000E-04
STLBO 300 2E-5 2E-7 1.533415118E-05 2.227674547E+00 5.541119170E+00 3.635209661E-01 1.074604747E+04 7.460474676E+00 9.666523727E-05 7.239161605E-03 2.669828069E+00 1.185525847E-01 2.115415959E+03 3.877615393E-02 4.926658948E+01 1.466821036E+00 9.999311094E-04 6.889060800E-03
STLBO 300 2E-5 4E-7 1.385938762E-05 7.604082540E+00 5.402479079E+00 2.147597678E+00 1.014437214E+04 1.443721415E+00 9.649985450E-05 1.638613747E-01 2.649387003E+00 6.479873960E-01 2.109254617E+03 2.525959300E-01 5.422943410E+01 8.458868203E+00 1.001935045E-03 1.935045452E-01
STLBO 300 2E-5 6E-7 1.303835247E-05 1.307765017E+01 5.317380853E+00 3.688939294E+00 9.352291007E+03 6.477089928E+00 9.647568190E-05 1.888696903E-01 2.652991551E+00 5.128168567E-01 2.108600139E+03 2.835464004E-01 5.535472545E+01 1.070945090E+01 1.004649757E-03 4.649757008E-01
STLBO 300 2E-5 8E-7 1.232400724E-05 1.783995170E+01 5.230598982E+00 5.260775934E+00 9.044391885E+03 9.556081149E+00 9.669900097E-05 4.217017746E-02 2.650049293E+00 6.231515163E-01 2.109966836E+03 2.189148324E-01 5.803662517E+01 1.607325034E+01 1.006938975E-03 6.938975058E-01
STLBO 300 2E-5 1E-6 1.219740784E-05 1.868394773E+01 5.213867743E+00 5.563820500E+00 9.080039182E+03 9.199608179E+00 9.585763284E-05 8.282865277E-01 2.608977928E+00 2.163327706E+00 2.094398897E+03 9.551281985E-01 6.146949245E+01 2.293898491E+01 1.006048998E-03 6.048997556E-01
STLBO 300 4E-5 0 1.507963817E-05 5.309211613E-01 5.527191660E+00 1.112589408E-01 1.009020273E+04 9.020273420E-01 9.665849134E-05 2.600094932E-04 2.666832866E+00 6.232474499E-03 2.114704424E+03 5.127404005E-03 4.984541623E+01 3.091675456E-01 9.999188090E-04 8.119095400E-03
STLBO 300 4E-5 2E-7 1.489745528E-05 6.836314787E-01 5.503174931E+00 3.237440552E-01 1.059872541E+04 5.987254064E+00 9.660951095E-05 5.041378034E-02 2.663321235E+00 1.254536842E-01 2.113352163E+03 5.882150728E-02 5.070890706E+01 1.417814115E+00 1.000370984E-03 3.709841380E-02
STLBO 300 4E-5 4E-7 1.419434959E-05 5.371002741E+00 5.435417168E+00 1.551006538E+00 1.058907786E+04 5.890778553E+00 9.630279456E-05 3.677342603E-01 2.645732392E+00 7.850352997E-01 2.106527308E+03 3.815713460E-01 5.352261070E+01 7.045221397E+00 1.001479203E-03 1.479203066E-01
STLBO 300 4E-5 6E-7 1.277103986E-05 1.485973425E+01 5.293538500E+00 4.120783909E+00 9.256696431E+03 7.433035692E+00 9.669877007E-05 4.193129028E-02 2.653876650E+00 4.796256307E-01 2.111385052E+03 1.518468786E-01 5.626466823E+01 1.252933646E+01 1.004495292E-03 4.495291962E-01
STLBO 300 4E-5 8E-7 1.176516955E-05 2.156553630E+01 5.172260385E+00 6.317433765E+00 8.478822654E+03 1.521177346E+01 9.628552419E-05 3.856017113E-01 2.625074844E+00 1.559693349E+00 2.100961524E+03 6.447792259E-01 6.147099781E+01 2.294199562E+01 1.007065895E-03 7.065894610E-01
STLBO 300 4E-5 1E-6 1.221193196E-05 1.858712026E+01 5.189338146E+00 6.008112831E+00 8.650127831E+03 1.349872169E+01 9.646954398E-05 1.952198229E-01 2.632496835E+00 1.281368713E+00 2.103941519E+03 5.038542161E-01 6.042553597E+01 2.085107193E+01 1.008094837E-03 8.094837026E-01
