Name T sdV sdI I01med I01er n1med n1er Rsh1med Rsh1er I02med I02er n2med n2er Rsh2med Rsh2er Rsmed Rser Iphmed Ipher
STLBO 300 0 0 1.500474254E-05 3.161690133E-02 5.521425606E+00 6.821287043E-03 1.000565318E+04 5.653178500E-02 9.665837317E-05 1.377494560E-04 2.666687881E+00 7.955261249E-04 2.114603511E+03 3.551978721E-04 4.999064574E+01 1.870851340E-02 9.999928235E-04 7.176476001E-04
STLBO 300 0 2E-7 1.507809747E-05 5.206498320E-01 5.518258713E+00 5.053906061E-02 1.069034294E+04 6.903429413E+00 9.662792216E-05 3.136603501E-02 2.664820040E+00 6.924850162E-02 2.113911632E+03 3.236400901E-02 5.026538258E+01 5.307651618E-01 1.000148057E-03 1.480566560E-02
STLBO 300 0 4E-7 1.388835196E-05 7.410986911E+00 5.408191109E+00 2.044138528E+00 9.728778858E+03 2.712211421E+00 9.652079079E-05 1.422012554E-01 2.653001466E+00 5.124450194E-01 2.110006401E+03 2.170437876E-01 5.359438473E+01 7.188769456E+00 1.002226931E-03 2.226930995E-01
STLBO 300 0 6E-7 1.317940485E-05 1.213730102E+01 5.330332599E+00 3.454350803E+00 9.782541492E+03 2.174585076E+00 9.641807670E-05 2.484664725E-01 2.642451582E+00 9.080656840E-01 2.107100913E+03 3.544453290E-01 5.624110519E+01 1.248221038E+01 1.003795329E-03 3.795329094E-01
STLBO 300 0 8E-7 1.223937012E-05 1.840419919E+01 5.232998323E+00 5.217317878E+00 8.832191665E+03 1.167808335E+01 9.626699605E-05 4.047704235E-01 2.632688432E+00 1.274183800E+00 2.103073887E+03 5.448848362E-01 5.899571148E+01 1.799142296E+01 1.006182101E-03 6.182100980E-01
STLBO 300 0 1E-6 1.093958830E-05 2.706941134E+01 5.063133654E+00 8.293991692E+00 8.143158908E+03 1.856841092E+01 9.622613356E-05 4.470456489E-01 2.623011977E+00 1.637050885E+00 2.099346847E+03 7.211379048E-01 6.388554337E+01 2.777108673E+01 1.010376164E-03 1.037616449E+00
STLBO 300 2E-5 0 1.496974893E-05 2.016737987E-01 5.518522425E+00 4.576256940E-02 9.978052830E+03 2.194716952E-01 9.665879841E-05 5.777000491E-04 2.666362980E+00 1.138827937E-02 2.114538446E+03 2.721733608E-03 5.008925655E+01 1.785131096E-01 1.000029305E-03 2.930465400E-03
STLBO 300 2E-5 2E-7 1.534319291E-05 2.287952731E+00 5.539624668E+00 3.364518120E-01 1.099776899E+04 9.977689852E+00 9.669207233E-05 3.500199165E-02 2.669761716E+00 1.160643262E-01 2.115402018E+03 3.811686961E-02 4.942099167E+01 1.158016654E+00 9.998756548E-04 1.243451690E-02
STLBO 300 2E-5 4E-7 1.430402481E-05 4.639834596E+00 5.440103288E+00 1.466129197E+00 1.072324885E+04 7.232488531E+00 9.650809064E-05 1.553404867E-01 2.652955798E+00 5.141575968E-01 2.110209276E+03 2.074497488E-01 5.302174405E+01 6.043488103E+00 1.001449323E-03 1.449323311E-01
STLBO 300 2E-5 6E-7 1.292123414E-05 1.385843905E+01 5.304680749E+00 3.918969928E+00 9.302727599E+03 6.972724007E+00 9.646503590E-05 1.998837532E-01 2.648491245E+00 6.815783245E-01 2.107853506E+03 3.188549529E-01 5.613337664E+01 1.226675327E+01 1.004658287E-03 4.658287019E-01
