fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B315FE100_T 1317912116 0 555 9.683132699E-05 1.371000000E+00 4.006458114E-05 0.000000000E+00 1.300000000E+00 3.167432827E-03 
B315FE101_T 1317912116 0 555 9.897206206E-05 1.371000000E+00 3.553387106E-05 0.000000000E+00 1.300000000E+00 2.844334692E-03 
B315FE102_T 1317912116 0 555 1.005292555E-04 1.371000000E+00 1.752786235E-05 0.000000000E+00 1.300000000E+00 3.138631752E-03 
B315FE103_T 1317912116 0 555 1.057434843E-04 1.371000000E+00 6.005289959E-06 0.000000000E+00 1.300000000E+00 1.545138566E-03 
B315FE140_T 1317912116 0 555 9.773670894E-05 1.371000000E+00 4.006270502E-05 0.000000000E+00 1.300000000E+00 3.175999946E-03 
B315FE141_T 1317912116 0 555 9.897423661E-05 1.371000000E+00 3.270154880E-05 0.000000000E+00 1.300000000E+00 2.808153571E-03 
B315FE142_T 1317912116 0 555 1.008693288E-04 1.371000000E+00 1.350790563E-05 0.000000000E+00 1.300000000E+00 1.983057651E-03 
B315FE210_T 1317912116 0 555 9.838934214E-05 1.371000000E+00 4.000770861E-05 0.000000000E+00 1.300000000E+00 3.143615880E-03 
B315FE211_T 1317912116 0 555 9.911940570E-05 1.371000000E+00 3.044977316E-05 0.000000000E+00 1.300000000E+00 2.751029278E-03 
B315FE212_T 1317912116 0 555 1.017474598E-04 1.371000000E+00 1.053683439E-05 0.000000000E+00 1.300000000E+00 1.745614137E-03 
B315FE310_T 1317912116 0 555 9.862831413E-05 1.371000000E+00 3.931879333E-05 0.000000000E+00 1.300000000E+00 3.109081424E-03 
B315FE311_T 1317912116 0 555 9.948734571E-05 1.371000000E+00 2.716759578E-05 0.000000000E+00 1.300000000E+00 2.769019165E-03 
B315FE312_T 1317912116 0 555 1.025611464E-04 1.371000000E+00 9.042201781E-06 0.000000000E+00 1.300000000E+00 1.314136307E-03 
B315FE460_T 1317912116 0 555 9.873227312E-05 1.371000000E+00 3.809011091E-05 0.000000000E+00 1.300000000E+00 2.952599169E-03 
B315FE461_T 1317912116 0 555 9.897079813E-05 1.371000000E+00 2.136666853E-05 0.000000000E+00 1.300000000E+00 3.558871017E-03 
B315FE462_T 1317912116 0 555 1.026487406E-04 1.371000000E+00 6.639904711E-06 0.000000000E+00 1.300000000E+00 1.895862275E-03 
B315FE680_T 1317912116 0 555 9.886516436E-05 1.371000000E+00 3.704477541E-05 0.000000000E+00 1.300000000E+00 2.898427176E-03 
B315FE681_T 1317912116 0 555 9.971641043E-05 1.371000000E+00 1.955466192E-05 0.000000000E+00 1.300000000E+00 3.698738761E-03 
B315FE682_T 1317912116 0 555 1.044763893E-04 1.371000000E+00 6.531992927E-06 0.000000000E+00 1.300000000E+00 1.648402620E-03 
