name MSE MRE R R2
ExRf94I 2.4564e-02 3.9433e-01 9.0223e-01 4.4734e-01
Ex2Rf94I 3.0055e-02 4.7341e-01 9.0285e-01 2.9558e-01
ExFRf94I 1.9671e-02 2.6622e-01 9.7097e-01 9.3725e-01
Ex2FRf94I 1.5905e-02 2.1052e-01 9.8914e-01 9.7666e-01
ExRf94Ip 5.8621e-02 3.9418e-01 8.2403e-01 6.0674e-01
Ex2Rf94Ip 4.9451e-02 3.4214e-01 8.0205e-01 5.9098e-01
ExFRf94Ip 2.3517e-02 2.8233e-01 9.6775e-01 9.3497e-01
Ex2FRf94Ip 1.9097e-02 2.4197e-01 9.7018e-01 9.3622e-01
ExRf94IE 3.0489e-02 4.7779e-01 8.6347e-01 -4.7127e-02
Ex2Rf94IE 3.4513e-02 5.2943e-01 8.5469e-01 5.4524e-02
ExFRf94IE 2.2139e-02 2.8128e-01 9.2457e-01 8.4685e-01
Ex2FRf94IE 1.9342e-02 2.4908e-01 9.2715e-01 8.5133e-01
ExRf94IEp 4.4393e-02 3.8751e-01 8.7695e-01 7.3336e-01
Ex2Rf94IEp 4.4775e-02 3.9369e-01 8.6520e-01 7.2236e-01
ExFRf94IEp 2.9862e-02 3.1587e-01 9.5319e-01 9.0142e-01
Ex2FRf94IEp 3.0301e-02 3.0903e-01 9.4600e-01 8.8478e-01
ExRf94IEV 4.4412e-02 6.9000e-01 9.0779e-01 3.1569e-01
Ex2Rf94IEV 4.3186e-02 6.7760e-01 9.1483e-01 4.6024e-01
ExFRf94IEV 3.2586e-02 4.2113e-01 9.6394e-01 9.2911e-01
Ex2FRf94IEV 2.6349e-02 3.6577e-01 9.7086e-01 9.4167e-01
ExRf94IEVp 1.7841e-01 1.3165e+00 6.3520e-01 -3.7368e-01
Ex2Rf94IEVp 1.5188e-01 5.1374e-01 9.7417e-01 9.1453e-01
ExFRf94IEVp 2.1364e-01 1.5824e+00 6.3194e-01 -1.1434e+00
Ex2FRf94IEVp 1.7919e-01 5.7994e-01 9.8135e-01 7.9189e-01
ExRf94A 4.8537e-02 7.2898e-01 9.0366e-01 4.2434e-01
ExFRf94A 2.8636e-02 4.0995e-01 9.7771e-01 9.5562e-01
ExRf94Ap 4.5642e-01 7.3364e-01 9.5731e-01 8.5417e-02
ExFRf94Ap 4.1081e-01 7.4689e-01 9.4547e-01 6.6645e-02
ExGb94I 2.3785e-02 3.9440e-01 9.0539e-01 4.5988e-01
Ex2Gb94I 2.9620e-02 4.7029e-01 9.0739e-01 3.0817e-01
ExFGb94I 1.8779e-02 2.5437e-01 9.7198e-01 9.3765e-01
Ex2FGb94I 1.6028e-02 1.9819e-01 9.9038e-01 9.8051e-01
ExGb94Ip 6.3126e-02 4.0602e-01 8.5002e-01 6.3913e-01
Ex2Gb94Ip 5.3436e-02 3.6611e-01 8.4848e-01 6.7108e-01
ExFGb94Ip 2.1208e-02 2.6936e-01 9.7193e-01 9.4411e-01
Ex2FGb94Ip 1.8215e-02 2.4363e-01 9.7030e-01 9.3348e-01
ExGb94IE 2.7872e-02 4.7709e-01 8.6748e-01 1.3761e-01
Ex2Gb94IE 3.1123e-02 5.2442e-01 8.6657e-01 2.6035e-01
ExFGb94IE 2.1502e-02 3.0448e-01 9.3374e-01 8.6788e-01
Ex2FGb94IE 1.8821e-02 2.5994e-01 9.5271e-01 8.9997e-01
ExGb94IEp 6.5197e-02 4.4226e-01 8.2478e-01 6.1576e-01
Ex2Gb94IEp 6.2310e-02 4.3584e-01 8.2041e-01 6.0826e-01
ExFGb94IEp 3.0578e-02 3.2032e-01 9.6188e-01 9.2375e-01
Ex2FGb94IEp 3.3693e-02 3.1787e-01 9.6630e-01 9.3188e-01
ExGb94IEV 4.7329e-02 7.2001e-01 8.7600e-01 8.0345e-02
Ex2Gb94IEV 4.7888e-02 7.2738e-01 8.8628e-01 3.1971e-01
ExFGb94IEV 2.9099e-02 4.1335e-01 9.5598e-01 9.0304e-01
Ex2FGb94IEV 2.3874e-02 3.6931e-01 9.6071e-01 9.0912e-01
ExGb94IEVp 1.9441e-01 1.3559e+00 5.9942e-01 -3.8681e-01
Ex2Gb94IEVp 1.6691e-01 5.4247e-01 9.5655e-01 8.9523e-01
ExFGb94IEVp 2.3979e-01 1.6309e+00 5.8648e-01 -1.2916e+00
Ex2FGb94IEVp 2.0725e-01 5.8539e-01 9.8289e-01 8.4319e-01
ExGb94A 5.0971e-02 7.6721e-01 9.2000e-01 4.1391e-01
ExFGb94A 2.7404e-02 3.8485e-01 9.7549e-01 9.4953e-01
ExGb94Ap 6.2200e-01 7.5902e-01 9.6033e-01 2.3366e-02
ExFGb94Ap 3.7108e-01 7.2662e-01 9.4517e-01 1.3956e-01
ExXg94I 2.3849e-02 2.8291e-01 9.0249e-01 6.8569e-01
Ex2Xg94I 2.1687e-02 2.7612e-01 9.3238e-01 7.6993e-01
ExFXg94I 1.8468e-02 2.5515e-01 9.7134e-01 9.4081e-01
Ex2FXg94I 1.5218e-02 1.9171e-01 9.9558e-01 9.8771e-01
ExXg94Ip 4.8686e-02 4.0825e-01 8.4243e-01 6.5440e-01
Ex2Xg94Ip 4.0732e-02 3.8893e-01 8.1009e-01 5.5227e-01
ExFXg94Ip 2.0015e-02 2.6783e-01 9.7217e-01 9.3003e-01
Ex2FXg94Ip 1.7806e-02 2.1087e-01 9.8069e-01 9.5888e-01
ExXg94IE 2.8928e-02 3.5094e-01 8.6869e-01 6.7237e-01
Ex2Xg94IE 2.4185e-02 3.0558e-01 9.6352e-01 7.7581e-01
ExFXg94IE 1.9789e-02 2.7484e-01 9.3562e-01 8.6579e-01
Ex2FXg94IE 1.6586e-02 2.2328e-01 9.4983e-01 8.9970e-01
ExXg94IEp 6.6043e-02 4.7512e-01 7.7983e-01 4.5691e-01
Ex2Xg94IEp 7.3172e-02 5.2572e-01 7.6682e-01 3.9755e-01
ExFXg94IEp 2.6283e-02 3.1299e-01 9.5424e-01 9.0604e-01
Ex2FXg94IEp 2.6025e-02 3.0274e-01 9.6228e-01 9.2187e-01
ExXg94IEV 2.4938e-02 3.0689e-01 9.5750e-01 8.0231e-01
Ex2Xg94IEV 2.2520e-02 2.6992e-01 9.7217e-01 8.3180e-01
ExFXg94IEV 2.0698e-02 2.7983e-01 9.4481e-01 8.9071e-01
Ex2FXg94IEV 1.9666e-02 2.5618e-01 9.4325e-01 8.8576e-01
ExXg94IEVp 2.1338e-01 1.6551e+00 5.3102e-01 -1.4528e+00
Ex2Xg94IEVp 1.7419e-01 5.4340e-01 9.6710e-01 8.3809e-01
ExFXg94IEVp 2.4149e-01 1.6912e+00 5.2915e-01 -1.5410e+00
Ex2FXg94IEVp 2.0659e-01 5.7174e-01 9.8448e-01 9.0229e-01
ExXg94A 2.4049e-02 3.0259e-01 9.7624e-01 8.8191e-01
ExFXg94A 2.4771e-02 2.7264e-01 9.5022e-01 8.0457e-01
ExXg94Ap 5.1043e-01 7.6425e-01 9.3166e-01 -6.1902e-02
ExFXg94Ap 4.7383e-01 7.6807e-01 9.3780e-01 -1.4745e-01
Ex94I 1.2275e-02 2.2493e-01 9.7297e-01 9.3456e-01
Ex294I 9.7389e-03 1.5033e-01 9.9593e-01 9.9087e-01
ExF94I 1.6854e-02 2.4198e-01 9.7164e-01 9.1918e-01
Ex2F94I 1.2360e-02 1.6335e-01 9.9690e-01 9.8992e-01
Ex94Ip 1.2239e-02 2.1997e-01 9.6835e-01 8.9156e-01
Ex294Ip 8.5581e-03 1.5039e-01 9.9458e-01 9.7190e-01
ExF94Ip 1.9347e-02 2.6104e-01 9.7280e-01 9.4619e-01
Ex2F94Ip 1.7369e-02 1.9837e-01 9.9757e-01 9.8663e-01
Ex94IE 1.9843e-02 2.9227e-01 9.6308e-01 8.4833e-01
Ex294IE 1.6670e-02 2.5802e-01 9.8113e-01 8.7491e-01
ExF94IE 2.1797e-02 3.1520e-01 9.5903e-01 8.9083e-01
Ex2F94IE 1.4636e-02 2.3800e-01 9.8789e-01 9.6386e-01
Ex94IEp 1.9736e-02 2.9195e-01 9.6082e-01 9.1932e-01
Ex294IEp 1.4774e-02 2.2755e-01 9.9050e-01 9.7038e-01
