N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.000E+17 340 1.800E-4 1.194747522E+00 1.258162176E+00
1.468000E+10 1.000E+17 340 1.800E-4 1.186015273E+00 1.260318839E+00
2.154000E+10 1.000E+17 340 1.800E-4 1.209930958E+00 1.262077280E+00
3.162000E+10 1.000E+17 340 1.800E-4 1.229592867E+00 1.265104749E+00
4.642000E+10 1.000E+17 340 1.800E-4 1.247389158E+00 1.269856655E+00
6.813000E+10 1.000E+17 340 1.800E-4 1.261544323E+00 1.275208048E+00
1.000000E+11 1.000E+17 340 1.800E-4 1.271510912E+00 1.281596788E+00
1.468000E+11 1.000E+17 340 1.800E-4 1.282835558E+00 1.289282770E+00
2.154000E+11 1.000E+17 340 1.800E-4 1.293134489E+00 1.297251269E+00
3.162000E+11 1.000E+17 340 1.800E-4 1.305046524E+00 1.307563676E+00
4.642000E+11 1.000E+17 340 1.800E-4 1.314775958E+00 1.316125960E+00
6.813000E+11 1.000E+17 340 1.800E-4 1.323012349E+00 1.323688937E+00
1.000000E+12 1.000E+17 340 1.800E-4 1.330007055E+00 1.330400757E+00
1.468000E+12 1.000E+17 340 1.800E-4 1.335278107E+00 1.335641098E+00
2.154000E+12 1.000E+17 340 1.800E-4 1.339979519E+00 1.340398996E+00
3.162000E+12 1.000E+17 340 1.800E-4 1.344375155E+00 1.344570235E+00
4.642000E+12 1.000E+17 340 1.800E-4 1.348811326E+00 1.348878877E+00
6.813000E+12 1.000E+17 340 1.800E-4 1.352415749E+00 1.352482162E+00
1.000000E+13 1.000E+17 340 1.800E-4 1.309043898E+00 1.309053222E+00
