fname time Tem kT_1 n0 Eefo E_B E_T Nb Tm dev 
B175FE100_T 1317817251 0 555 3.241326337E-08 2.068990490E+00 0.000000000E+00 5.388195520E-03 1.778000000E+15 1.315803520E+00 1.638963654E-03 
B175FE101_T 1317817251 0 555 3.860635108E-08 2.058014047E+00 0.000000000E+00 5.350769214E-03 1.778000000E+15 1.285399839E+00 1.760755538E-03 
B175FE102_T 1317817251 0 555 8.945792745E-08 2.164087887E+00 0.000000000E+00 5.647090359E-03 1.778000000E+15 1.140726239E+00 1.920096935E-03 
B175FE103_T 1317817251 0 555 7.024630917E-13 1.108829455E+00 0.000000000E+00 2.480650958E-03 1.778000000E+15 3.211806740E+00 5.516663622E-04 
B175FE140_T 1317817251 0 555 3.279327969E-08 2.068969619E+00 0.000000000E+00 5.387995049E-03 1.778000000E+15 1.313774323E+00 1.644263164E-03 
B175FE141_T 1317817251 0 555 3.884343912E-08 2.057228761E+00 0.000000000E+00 5.347003179E-03 1.778000000E+15 1.284446701E+00 1.776032442E-03 
B175FE142_T 1317817251 0 555 3.911735568E-08 2.061428358E+00 0.000000000E+00 5.338080149E-03 1.778000000E+15 1.286746040E+00 1.678678488E-03 
B175FE210_T 1317817251 0 555 3.620153299E-08 2.080517169E+00 0.000000000E+00 5.422421236E-03 1.778000000E+15 1.296437579E+00 1.693355709E-03 
B175FE211_T 1317817251 0 555 4.168603227E-08 2.064309905E+00 0.000000000E+00 5.366510805E-03 1.778000000E+15 1.272317686E+00 1.818746782E-03 
B175FE212_T 1317817251 0 555 6.961853394E-10 1.612355167E+00 0.000000000E+00 3.992733397E-03 1.778000000E+15 1.995228454E+00 7.923989446E-04 
B175FE310_T 1317817251 0 555 3.332643161E-08 2.067362451E+00 0.000000000E+00 5.382204099E-03 1.778000000E+15 1.310860941E+00 1.671444887E-03 
B175FE311_T 1317817251 0 555 4.744098389E-08 2.077674821E+00 0.000000000E+00 5.403364402E-03 1.778000000E+15 1.249976902E+00 1.860949849E-03 
B175FE312_T 1317817251 0 555 8.429969787E-11 1.466540657E+00 0.000000000E+00 3.553646355E-03 1.778000000E+15 2.367089414E+00 6.527361559E-04 
B175FE460_T 1317817251 0 555 3.502484465E-08 2.060117590E+00 0.000000000E+00 5.359627229E-03 1.778000000E+15 1.302326545E+00 1.690573022E-03 
B175FE461_T 1317817251 0 555 7.250839320E-08 2.109463014E+00 0.000000000E+00 5.491254041E-03 1.778000000E+15 1.176028587E+00 1.968724771E-03 
B175FE462_T 1317817251 0 555 4.820228661E-12 1.279636859E+00 0.000000000E+00 2.994933160E-03 1.778000000E+15 2.870889578E+00 6.584296155E-04 
B175FE680_T 1317817251 0 555 3.725572389E-08 2.061072025E+00 0.000000000E+00 5.361386634E-03 1.778000000E+15 1.291547080E+00 1.722085804E-03 
B175FE681_T 1317817251 0 555 1.124931182E-07 2.177980755E+00 0.000000000E+00 5.690442645E-03 1.778000000E+15 1.099640320E+00 1.995257059E-03 
B175FE682_T 1317817251 0 555 1.902444422E-12 1.180836436E+00 0.000000000E+00 2.696875370E-03 1.778000000E+15 3.035695452E+00 5.730332151E-04 
