N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 3.216040700E-02 3.204680600E-02 3.193318700E-02 3.116913100E-02
1.016672606E+01 3.215239700E-02 3.203459700E-02 3.191536200E-02 3.114424100E-02
1.033324570E+01 3.214075100E-02 3.201690600E-02 3.188965400E-02 3.110852700E-02
1.049996187E+01 3.212384800E-02 3.199139000E-02 3.182002100E-02 3.105778000E-02
1.066670514E+01 3.209944700E-02 3.195487700E-02 3.174447400E-02 3.098672000E-02
1.083333839E+01 3.206450700E-02 3.190323100E-02 3.166906200E-02 3.087625600E-02
1.100000000E+01 3.201499200E-02 3.183136400E-02 3.155745400E-02 3.074383600E-02
1.116672606E+01 3.194596200E-02 3.173369500E-02 3.143353400E-02 3.056860600E-02
1.133324570E+01 3.185187900E-02 3.160533300E-02 3.127198300E-02 3.036801200E-02
1.149996187E+01 3.171950600E-02 3.144428500E-02 3.109875500E-02 3.014864000E-02
1.166670514E+01 3.156221700E-02 3.124066800E-02 3.089497100E-02 2.992462200E-02
1.183333839E+01 3.137707400E-02 3.104227800E-02 3.072558800E-02 2.974255800E-02
1.200000000E+01 3.117674100E-02 3.085663400E-02 3.058355200E-02 2.962383100E-02
1.216672606E+01 3.098555500E-02 3.072288300E-02 3.050600600E-02 2.961066700E-02
1.233324570E+01 3.083573000E-02 3.065919900E-02 3.051567000E-02 2.968764400E-02
1.249996187E+01 3.075770400E-02 3.068121400E-02 3.061759900E-02 2.985344500E-02
1.266670514E+01 3.076663600E-02 3.078436800E-02 3.078073900E-02 3.005868800E-02
1.283333839E+01 3.084593700E-02 3.094955900E-02 3.096968400E-02 3.027215700E-02
1.300000000E+01 3.098424300E-02 3.111404800E-02 3.114660300E-02 3.047102100E-02
