X Y Xfit Yfit
5.6221400E+0 8.4382700E+1 5.8264602E+0 8.3162273E+1
5.8512500E+0 9.1717600E+1 5.9282588E+0 9.0609113E+1
5.8246300E+0 9.9895400E+1 5.9151904E+0 8.9676001E+1
6.0722800E+0 1.0862300E+2 6.1812754E+0 1.0756223E+2
6.2791500E+0 1.1814600E+2 6.3381507E+0 1.1719305E+2
6.5198800E+0 1.2854000E+2 6.5198800E+0 1.2768572E+2
6.7816800E+0 1.3988400E+2 6.7306833E+0 1.3911725E+2
7.0515600E+0 1.5223000E+2 6.9755216E+0 1.5157150E+2
7.3609200E+0 1.6568800E+2 7.2602269E+0 1.6513975E+2
7.7054300E+0 1.8039100E+2 7.5916552E+0 1.7992142E+2
8.1238300E+0 1.9639900E+2 7.9778660E+0 1.9602472E+2
8.5973900E+0 2.1384000E+2 8.4283317E+0 2.1356743E+2
9.1059400E+0 2.3286300E+2 8.9541829E+0 2.3267776E+2
9.6848800E+0 2.5367300E+2 9.5684949E+0 2.5349521E+2
1.0355600E+1 2.7625700E+2 1.0286625E+1 2.7617161E+2
1.1155700E+1 3.0090900E+2 1.1126603E+1 3.0087212E+2
1.2109600E+1 3.2774300E+2 1.2109600E+1 3.2777644E+2
1.3245900E+1 3.5701400E+2 1.3260465E+1 3.5708004E+2
1.4607200E+1 3.8883200E+2 1.4608376E+1 3.8899551E+2
1.6156800E+1 4.2355400E+2 1.6187606E+1 4.2375416E+2
1.8031200E+1 4.6148300E+2 1.8038434E+1 4.6160743E+2
2.0078200E+1 5.0269400E+2 2.0208247E+1 5.0282887E+2
2.2588900E+1 5.4773600E+2 2.2752859E+1 5.4771589E+2
2.5517800E+1 5.9643600E+2 2.5738091E+1 5.9659178E+2
2.8968600E+1 6.4950600E+2 2.9241687E+1 6.4980797E+2
3.3117500E+1 7.0752500E+2 3.3355586E+1 7.0774610E+2
3.8206900E+1 7.7082700E+2 3.8188664E+1 7.7082066E+2
4.3743600E+1 8.3955800E+2 4.3869932E+1 8.3948101E+2
5.0607900E+1 9.1420600E+2 5.0552375E+1 9.1421417E+2
5.8417400E+1 9.9554700E+2 5.8417400E+1 9.9554700E+2
6.7937900E+1 1.0840300E+3 6.7680064E+1 1.0840486E+3
7.8808500E+1 1.1802900E+3 7.8595160E+1 1.1803323E+3
9.1553400E+1 1.2846500E+3 9.1464310E+1 1.2850580E+3
1.0734400E+2 1.3985200E+3 1.0664419E+2 1.3989330E+3
1.2445200E+2 1.5227300E+3 1.2455610E+2 1.5227138E+3
1.4660000E+2 1.6562800E+3 1.4569703E+2 1.6572056E+3
1.7153400E+2 1.8020500E+3 1.7065240E+2 1.8032619E+3
2.0105200E+2 1.9598800E+3 2.0011080E+2 1.9617818E+3
2.3518800E+2 2.1307700E+3 2.3488061E+2 2.1337060E+3
2.7733300E+2 2.3170500E+3 2.7590905E+2 2.3200096E+3
