fname V Rs Rt Qt nt Rr Qr nr rmsre
d43sm1V2n1 -1.2 2.0691663E-3 3.4920064E+2 1.4452193E-9 9.9999984E-1 1.3844332E+4 2.5369271E-10 9.8881253E-1 8.9239746E-3
d43sm1V1n1 -1.1 2.0219220E+0 9.5178172E+2 1.6712072E-9 9.9680593E-1 1.4139472E+4 1.1102510E-10 1.0000000E+0 1.2055672E-2
d43sm1Vn1 -1 1.7835193E+0 5.4584975E+2 1.6444297E-9 9.9821039E-1 1.5845158E+4 1.9148088E-10 9.8344695E-1 1.2131023E-2
d43sm0V9n1 -0.9 2.7908037E-1 1.4276217E+2 1.4724415E-9 9.9948809E-1 1.7612452E+4 4.2695637E-10 9.8432829E-1 1.4205277E-2
d43sm0V8n1 -0.8 5.1881407E-1 2.0561942E+2 1.6822072E-9 9.9564677E-1 1.9238583E+4 2.8414887E-10 9.9944291E-1 1.3235526E-2
d43sm0V7n1 -0.7 5.0785348E+0 1.9318515E+4 2.0051890E-9 9.9701262E-1 1.8774916E+3 9.0413290E-10 1.0000000E+0 1.8759184E-2
d43sm0V6n1 -0.6 5.0314330E+0 2.2608900E+4 2.1091723E-9 9.9619337E-1 1.0201665E+3 2.9141285E-9 1.0000000E+0 1.5048885E-2
d43sm0V5n1 -0.5 5.1347333E+0 2.4141691E+4 2.1866402E-9 9.9654418E-1 2.4812709E+3 1.2740671E-9 1.0000000E+0 1.7329684E-2
d43sm0V4n1 -0.4 5.1984764E+0 2.6737420E+4 2.2889416E-9 9.9651911E-1 3.6265357E+3 9.8626474E-10 1.0000000E+0 1.6741575E-2
d43sm0V3n1 -0.3 5.1225098E+0 3.1485674E+4 2.4301907E-9 9.9582518E-1 4.2316400E+3 1.0548403E-9 1.0000000E+0 1.6201876E-2
d43sm0V2n1 -0.2 5.2215299E+0 3.5130454E+4 2.5672712E-9 9.9594433E-1 7.1554202E+3 7.2452993E-10 1.0000000E+0 2.2434839E-2
d43sm0V1n1 -0.1 5.2245311E+0 3.8660978E+4 2.7484046E-9 9.9559661E-1 1.0488462E+4 5.2019772E-10 1.0000000E+0 1.0820506E-2
d43s0Vn1 0 5.1955892E+0 3.4940917E+4 2.9857701E-9 9.9496383E-1 8.7756294E+3 6.5556004E-10 1.0000000E+0 1.1319220E-2
d43s0V1n1 0.1 5.1381416E+0 1.5927106E+4 3.3076936E-9 9.9397188E-1 2.0527889E+3 2.4347643E-9 1.0000000E+0 1.0252413E-2
d43s0V2n1 0.2 4.9511333E+0 4.7089078E+3 3.8953590E-9 9.9054568E-1 1.9602028E+2 2.5241825E-8 1.0000000E+0 9.0331857E-3
d43s0V3n1 0.3 4.8171764E+0 1.2977279E+3 4.9263673E-9 9.8589390E-1 4.1827555E+1 1.0000000E-7 1.0000000E+0 8.1573366E-3
