Ew Nt
4.4665481E-1 1.7333678E+16
4.4393724E-1 1.9224200E+16
4.4121965E-1 2.1274566E+16
4.3850206E-1 2.3558463E+16
4.3578447E-1 2.6132059E+16
4.3306689E-1 2.9009078E+16
4.3034931E-1 3.2158764E+16
4.2763173E-1 3.5525660E+16
4.2491414E-1 3.9053847E+16
4.2219656E-1 4.2696589E+16
4.1947897E-1 4.6405592E+16
4.1676138E-1 5.0106915E+16
4.1404381E-1 5.3680304E+16
4.1132622E-1 5.6962795E+16
4.0860863E-1 5.9778896E+16
4.0589105E-1 6.1983759E+16
4.0317347E-1 6.3494227E+16
4.0045588E-1 6.4291165E+16
3.9773830E-1 6.4400360E+16
3.9502071E-1 6.3873001E+16
3.9230313E-1 6.2779073E+16
3.8958554E-1 6.1208000E+16
3.8686796E-1 5.9265772E+16
3.8415037E-1 5.7063826E+16
3.8143279E-1 5.4703708E+16
3.7871521E-1 5.2263715E+16
3.7599762E-1 4.9792018E+16
3.7328004E-1 4.7307190E+16
3.7056245E-1 4.4805986E+16
3.6784487E-1 4.2274994E+16
3.6512728E-1 3.9702271E+16
3.6240970E-1 3.7086047E+16
3.5969212E-1 3.4438896E+16
3.5697453E-1 3.1787388E+16
3.5425695E-1 2.9167988E+16
3.5153936E-1 2.6620617E+16
3.4882178E-1 2.4182223E+16
3.4610419E-1 2.1882669E+16
3.4338661E-1 1.9743741E+16
3.4066903E-1 1.7780213E+16
3.3795144E-1 1.6001017E+16
3.3523386E-1 1.4409508E+16
3.3251627E-1 1.3003286E+16
3.2979869E-1 1.1774466E+16
3.2708110E-1 1.0710662E+16
3.2436352E-1 9.7962936E+15
3.2164594E-1 9.0138950E+15
3.1892835E-1 8.3453964E+15
3.1621077E-1 7.7732026E+15
3.1349318E-1 7.2810209E+15
3.1077560E-1 6.8542129E+15
3.0805801E-1 6.4799510E+15
3.0534043E-1 6.1473231E+15
3.0262285E-1 5.8474079E+15
2.9990526E-1 5.5730541E+15
2.9718768E-1 5.3181389E+15
2.9447009E-1 5.0760979E+15
2.9175251E-1 4.8371788E+15
2.8903492E-1 4.5837442E+15
2.8631734E-1 4.2842143E+15
2.8359975E-1 3.8894655E+15
2.8088217E-1 3.3387519E+15
2.7816459E-1 2.5805845E+15
2.7544700E-1 1.6040044E+15
2.7272942E-1 1.0507920E+15
