Ew Nt
4.4479025E-1 3.8871594E+16
4.4208402E-1 4.0714341E+16
4.3937778E-1 4.2456537E+16
4.3667153E-1 4.4090935E+16
4.3396529E-1 4.5621188E+16
4.3125905E-1 4.7056967E+16
4.2855281E-1 4.8408325E+16
4.2584657E-1 4.9683504E+16
4.2314033E-1 5.0889027E+16
4.2043410E-1 5.2028928E+16
4.1772785E-1 5.3103555E+16
4.1502161E-1 5.4109432E+16
4.1231538E-1 5.5039646E+16
4.0960913E-1 5.5888258E+16
4.0690289E-1 5.6654022E+16
4.0419665E-1 5.7343073E+16
4.0149042E-1 5.7969743E+16
3.9878417E-1 5.8553869E+16
3.9607794E-1 5.9115674E+16
3.9337170E-1 5.9670784E+16
3.9066546E-1 6.0227892E+16
3.8795922E-1 6.0788277E+16
3.8525298E-1 6.1346978E+16
3.8254674E-1 6.1895244E+16
3.7984050E-1 6.2423870E+16
3.7713426E-1 6.2926210E+16
3.7442802E-1 6.3399436E+16
3.7172178E-1 6.3842864E+16
3.6901554E-1 6.4255199E+16
3.6630930E-1 6.4632021E+16
3.6360306E-1 6.4964180E+16
3.6089682E-1 6.5236642E+16
3.5819058E-1 6.5427092E+16
3.5548434E-1 6.5505469E+16
3.5277810E-1 6.5435805E+16
3.5007186E-1 6.5179789E+16
3.4736562E-1 6.4700049E+16
3.4465938E-1 6.3961716E+16
3.4195314E-1 6.2933004E+16
3.3924690E-1 6.1586949E+16
3.3654066E-1 5.9905116E+16
3.3383442E-1 5.7881838E+16
3.3112818E-1 5.5526984E+16
3.2842194E-1 5.2866141E+16
3.2571570E-1 4.9938882E+16
3.2300946E-1 4.6796065E+16
3.2030322E-1 4.3497127E+16
3.1759698E-1 4.0107227E+16
3.1489074E-1 3.6693400E+16
3.1218450E-1 3.3320547E+16
3.0947826E-1 3.0047379E+16
3.0677202E-1 2.6923463E+16
3.0406578E-1 2.3987306E+16
3.0135954E-1 2.1265991E+16
2.9865330E-1 1.8776174E+16
2.9594706E-1 1.6525476E+16
2.9324082E-1 1.4512433E+16
2.9053458E-1 1.2723037E+16
2.8782835E-1 1.1123363E+16
2.8512210E-1 9.6507214E+15
2.8241587E-1 8.2097877E+15
2.7970963E-1 6.6835231E+15
2.7700339E-1 4.9657463E+15
2.7429715E-1 3.0081200E+15
2.7159091E-1 1.9444624E+15
