T nFsrh nFBsrh dnsrh nF nFB dn
290 1.150535618E+00 1.155373464E+0 -4.837846000E-03 1.150535618E+00 1.155373464E+0 -4.837846000E-03
295 1.155072075E+00 1.156298111E+0 -1.226036000E-03 1.155072075E+00 1.156298111E+0 -1.226036000E-03
300 1.158073752E+00 1.154593337E+0 3.480415000E-03 1.158073752E+00 1.154593337E+0 3.480415000E-03
305 1.143009556E+00 1.147244653E+0 -4.235097000E-03 1.143009556E+00 1.147244653E+0 -4.235097000E-03
310 1.124317125E+00 1.130033119E+0 -5.715994000E-03 1.124317125E+00 1.130033119E+0 -5.715994000E-03
315 1.103184737E+00 1.101264024E+0 1.920713000E-03 1.103184737E+00 1.101264024E+0 1.920713000E-03
320 1.084522753E+00 1.067289218E+0 1.723353500E-02 1.084522753E+00 1.067289218E+0 1.723353500E-02
325 1.018462628E+00 1.038754561E+0 -2.029193300E-02 1.018462628E+00 1.038754561E+0 -2.029193300E-02
330 1.016891881E+00 1.020360168E+0 -3.468287000E-03 1.016891881E+00 1.020360168E+0 -3.468287000E-03
335 1.015722484E+00 1.010251888E+0 5.470596000E-03 1.015722484E+00 1.010251888E+0 5.470596000E-03
340 1.017873104E+00 1.005105425E+0 1.276767900E-02 1.017873104E+00 1.005105425E+0 1.276767900E-02
