T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.273764191E+00 1.215225481E+00 5.853871000E-02 1.267822425E+00 1.213891792E+00 5.393063300E-02 5.941766000E-03 1.333689000E-03
295 1.274652777E+00 1.218287835E+00 5.636494200E-02 1.269385022E+00 1.216901011E+00 5.248401100E-02 5.267755000E-03 1.386824000E-03
300 1.276488329E+00 1.220881782E+00 5.560654700E-02 1.271756577E+00 1.219420167E+00 5.233641000E-02 4.731752000E-03 1.461615000E-03
305 1.278825120E+00 1.223848319E+00 5.497680100E-02 1.274460770E+00 1.222227727E+00 5.223304300E-02 4.364350000E-03 1.620592000E-03
310 1.281672842E+00 1.226459130E+00 5.521371200E-02 1.277485721E+00 1.224582857E+00 5.290286400E-02 4.187121000E-03 1.876273000E-03
315 1.284687994E+00 1.227994236E+00 5.669375800E-02 1.280480858E+00 1.225809040E+00 5.467181800E-02 4.207136000E-03 2.185196000E-03
320 1.287533204E+00 1.229475179E+00 5.805802500E-02 1.283110664E+00 1.226865646E+00 5.624501800E-02 4.422540000E-03 2.609533000E-03
325 1.289772048E+00 1.230231230E+00 5.954081800E-02 1.284941380E+00 1.227109275E+00 5.783210500E-02 4.830668000E-03 3.121955000E-03
330 1.291017181E+00 1.229296470E+00 6.172071100E-02 1.285606524E+00 1.225624930E+00 5.998159400E-02 5.410657000E-03 3.671540000E-03
335 1.290320420E+00 1.228233374E+00 6.208704600E-02 1.284192926E+00 1.223898095E+00 6.029483100E-02 6.127494000E-03 4.335279000E-03
340 1.286756425E+00 1.226169946E+00 6.058647900E-02 1.279851163E+00 1.221115612E+00 5.873555100E-02 6.905262000E-03 5.054334000E-03
