fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 27950 292.59 39.626 1.000000000E+00 2.318988723E-15 1.000000000E-17 2.386050315E+02 1.920257637E+00 1.125175701E-07 2.971741532E-03 4.396649490E-01 2.852557638E-03 3.933681859E-01 4.933504237E-04 2.692914419E-01 1.832002363E-03 5.717386124E-01 
00L2 28176 292.61 39.623 1.000000000E+00 9.805043684E-01 3.129514547E-12 6.473479500E+02 5.975197526E+00 1.242909099E-04 2.870496829E-03 4.394754715E-01 2.852453981E-03 3.937006443E-01 4.935366546E-04 2.696031532E-01 1.830564340E-03 2.600387073E-01 
00L3 28258 292.61 39.623 1.000000000E+00 1.111845341E+00 3.804142135E-12 5.584176289E+19 8.649503332E+00 4.291634616E-04 2.860358836E-03 4.391572464E-01 2.851430230E-03 3.938769424E-01 4.932230457E-04 2.696826422E-01 1.828871639E-03 1.819144223E-01 
00L5 28548 292.64 39.619 1.000000000E+00 9.857139312E-01 3.045618924E-12 5.904691465E+02 5.755112075E+00 1.073182239E-04 2.874041157E-03 4.399793571E-01 2.853392423E-03 3.932867223E-01 4.937454300E-04 2.701880461E-01 1.827456000E-03 2.801309709E-01 
00L6 28652 292.67 39.615 1.000000000E+00 9.654924982E-01 2.960452853E-12 5.708541403E+02 5.670789119E+00 1.009815530E-04 2.874453498E-03 4.400347977E-01 2.852166741E-03 3.937662279E-01 4.941973339E-04 2.703578194E-01 1.827920879E-03 2.713723955E-01 
00L7 28882 292.69 39.613 1.000000000E+00 9.796949856E-01 2.977857571E-12 5.999107690E+02 5.797950500E+00 1.100019203E-04 2.872832780E-03 4.402155144E-01 2.852371713E-03 3.934754651E-01 4.940707260E-04 2.703533218E-01 1.827508879E-03 2.926610258E-01 
00L8 29076 292.7 39.611 1.000000000E+00 1.118158142E+00 3.779803394E-12 1.147602843E+18 8.627281993E+00 4.268625898E-04 2.860194153E-03 4.392772629E-01 2.852030930E-03 3.938062854E-01 4.933732503E-04 2.701840765E-01 1.826068141E-03 3.087300892E-01 
00L9 29288 302.91 38.276 1.000000000E+00 9.857737823E-01 1.947139856E-11 3.523794393E+02 3.848156537E+00 2.459271393E-05 2.879935845E-03 4.219083549E-01 2.840197990E-03 3.972994084E-01 4.760851769E-04 2.642905302E-01 1.801364881E-03 2.412450147E-01 
0L10 29302 305.49 37.953 1.000000000E+00 9.817826635E-01 2.446498104E-11 2.925637251E+02 3.167812320E+00 8.611081602E-06 2.900788262E-03 4.362880562E-01 2.833766368E-03 3.838114110E-01 4.745207936E-04 2.639005280E-01 1.798083139E-03 2.468080393E+00 
0L11 29474 314.94 36.814 1.000000000E+00 1.238321384E+00 1.263413995E-10 8.390129179E+19 6.784406471E+00 3.361880390E-04 2.829176115E-03 4.025026489E-01 2.828176115E-03 4.047923101E-01 4.607946696E-04 2.588437809E-01 1.780197804E-03 2.490116515E-01 
