N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+16 290 2.000E-4 1.235511772E+00 1.244971810E+00
1.468000E+10 3.162E+16 290 2.000E-4 1.238519366E+00 1.245250264E+00
2.154000E+10 3.162E+16 290 2.000E-4 1.240843148E+00 1.245720192E+00
3.162000E+10 3.162E+16 290 2.000E-4 1.242628260E+00 1.246133967E+00
4.642000E+10 3.162E+16 290 2.000E-4 1.244411695E+00 1.246931299E+00
6.813000E+10 3.162E+16 290 2.000E-4 1.246160812E+00 1.247981508E+00
1.000000E+11 3.162E+16 290 2.000E-4 1.248162489E+00 1.249490108E+00
1.468000E+11 3.162E+16 290 2.000E-4 1.250393794E+00 1.251367278E+00
2.154000E+11 3.162E+16 290 2.000E-4 1.252991272E+00 1.253734007E+00
3.162000E+11 3.162E+16 290 2.000E-4 1.256028314E+00 1.256611240E+00
4.642000E+11 3.162E+16 290 2.000E-4 1.259541930E+00 1.260014722E+00
6.813000E+11 3.162E+16 290 2.000E-4 1.263492463E+00 1.263882275E+00
1.000000E+12 3.162E+16 290 2.000E-4 1.267791855E+00 1.268119180E+00
1.468000E+12 3.162E+16 290 2.000E-4 1.272546389E+00 1.272823921E+00
2.154000E+12 3.162E+16 290 2.000E-4 1.277639300E+00 1.277875888E+00
3.162000E+12 3.162E+16 290 2.000E-4 1.283033290E+00 1.283234920E+00
4.642000E+12 3.162E+16 290 2.000E-4 1.288713208E+00 1.288884972E+00
6.813000E+12 3.162E+16 290 2.000E-4 1.294663483E+00 1.294809207E+00
1.000000E+13 3.162E+16 290 2.000E-4 1.300900204E+00 1.301023651E+00
