Fe JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
1.000000E+10 3.757484E-1 2.509590E+1 4.341520E-1 7.691900E+1 3.769714E-1 2.533540E+1 4.349200E-1 7.726430E+1 3.2442779E-01 9.4531762E-01 1.7658420E-01 4.4690756E-01
1.468000E+10 3.746024E-1 2.486510E+1 4.324170E-1 7.675120E+1 3.763535E-1 2.519740E+1 4.335830E-1 7.720690E+1 4.6528065E-01 1.3187869E+00 2.6892198E-01 5.9023222E-01
2.154000E+10 3.729612E-1 2.455280E+1 4.299820E-1 7.655180E+1 3.754586E-1 2.500530E+1 4.317550E-1 7.712630E+1 6.6515989E-01 1.8096164E+00 4.1064956E-01 7.4488210E-01
3.162000E+10 3.706359E-1 2.414070E+1 4.265390E-1 7.635090E+1 3.741706E-1 2.474330E+1 4.292730E-1 7.702350E+1 9.4467604E-01 2.4354068E+00 6.3689074E-01 8.7323999E-01
4.642000E+10 3.673907E-1 2.361350E+1 4.220800E-1 7.613870E+1 3.723331E-1 2.439400E+1 4.259690E-1 7.690280E+1 1.3274135E+00 3.1995573E+00 9.1297724E-01 9.9359191E-01
6.813000E+10 3.629546E-1 2.296090E+1 4.164670E-1 7.594940E+1 3.697433E-1 2.394100E+1 4.219020E-1 7.673600E+1 1.8360576E+00 4.0938140E+00 1.2882139E+00 1.0250730E+00
1.000000E+11 3.570545E-1 2.218000E+1 4.099660E-1 7.576150E+1 3.661553E-1 2.337130E+1 4.169210E-1 7.654770E+1 2.4855027E+00 5.0972774E+00 1.6681817E+00 1.0270720E+00
1.468000E+11 3.494761E-1 2.127870E+1 4.027760E-1 7.558460E+1 3.612971E-1 2.267760E+1 4.112310E-1 7.631610E+1 3.2718226E+00 6.1686422E+00 2.0560220E+00 9.5851334E-01
2.154000E+11 3.401394E-1 2.027470E+1 3.953520E-1 7.538470E+1 3.549136E-1 2.186090E+1 4.048470E-1 7.607180E+1 4.1627596E+00 7.2558769E+00 2.3453305E+00 9.0322564E-01
3.162000E+11 3.291506E-1 1.919500E+1 3.880050E-1 7.514940E+1 3.468322E-1 2.093150E+1 3.981320E-1 7.579180E+1 5.0980272E+00 8.2961087E+00 2.5436287E+00 8.4758509E-01
4.642000E+11 3.167817E-1 1.807030E+1 3.808790E-1 7.488350E+1 3.370327E-1 1.990980E+1 3.912460E-1 7.549420E+1 6.0086158E+00 9.2391687E+00 2.6497396E+00 8.0893632E-01
6.813000E+11 3.033594E-1 1.692600E+1 3.739210E-1 7.460810E+1 3.256777E-1 1.882330E+1 3.843060E-1 7.519690E+1 6.8528794E+00 1.0079529E+01 2.7022737E+00 7.8301100E-01
1.000000E+12 2.891262E-1 1.577600E+1 3.671680E-1 7.430450E+1 3.130609E-1 1.770060E+1 3.775330E-1 7.488120E+1 7.6453815E+00 1.0873078E+01 2.7454554E+00 7.7015326E-01
1.468000E+12 2.741683E-1 1.462200E+1 3.604960E-1 7.397020E+1 2.994833E-1 1.656280E+1 3.709160E-1 7.455130E+1 8.4528920E+00 1.1717825E+01 2.8092614E+00 7.7946327E-01
2.154000E+12 2.584589E-1 1.345960E+1 3.536300E-1 7.363100E+1 2.851312E-1 1.541930E+1 3.642740E-1 7.422670E+1 9.3543955E+00 1.2709397E+01 2.9219763E+00 8.0254140E-01
3.162000E+12 2.419725E-1 1.228720E+1 3.466050E-1 7.325210E+1 2.700426E-1 1.426880E+1 3.576430E-1 7.387120E+1 1.0394693E+01 1.3887643E+01 3.0863179E+00 8.3808033E-01
4.642000E+12 2.247787E-1 1.111060E+1 3.393690E-1 7.282500E+1 2.541780E-1 1.310740E+1 3.508790E-1 7.348330E+1 1.1566422E+01 1.5234143E+01 3.2803331E+00 8.9584981E-01
6.813000E+12 2.070687E-1 9.943300E+0 3.317730E-1 7.236800E+1 2.375340E-1 1.193540E+1 3.437920E-1 7.307780E+1 1.2825659E+01 1.6690685E+01 3.4960092E+00 9.7129361E-01
1.000000E+13 1.891226E-1 8.802800E+0 3.238470E-1 7.186340E+1 2.202166E-1 1.076130E+1 3.364520E-1 7.262060E+1 1.4119735E+01 1.8199474E+01 3.7464482E+00 1.0426793E+00
1.468000E+13 1.712612E-1 7.707300E+0 3.156070E-1 7.129590E+1 2.024465E-1 9.599900E+0 3.288310E-1 7.210290E+1 1.5404218E+01 1.9714789E+01 4.0215187E+00 1.1192338E+00
2.154000E+13 1.538065E-1 6.673200E+0 3.070290E-1 7.065600E+1 1.845183E-1 8.469400E+0 3.208510E-1 7.152820E+1 1.6644311E+01 2.1208114E+01 4.3079186E+00 1.2193792E+00
3.162000E+13 1.370529E-1 5.713800E+0 2.980770E-1 6.993280E+1 1.667555E-1 7.387500E+0 3.124670E-1 7.088920E+1 1.7812066E+01 2.2655838E+01 4.6052863E+00 1.3491477E+00
4.642000E+13 1.212477E-1 4.838600E+0 2.887040E-1 6.911350E+1 1.494739E-1 6.370100E+0 3.037150E-1 7.015880E+1 1.8883698E+01 2.4042009E+01 4.9424625E+00 1.4899058E+00
6.813000E+13 1.065795E-1 4.052400E+0 2.788410E-1 6.817970E+1 1.329565E-1 5.429700E+0 2.945580E-1 6.932060E+1 1.9838819E+01 2.5366042E+01 5.3357913E+00 1.6458311E+00
1.000000E+14 9.317612E-2 3.356600E+0 2.683940E-1 6.711100E+1 1.174360E-1 4.574800E+0 2.849470E-1 6.835590E+1 2.0657958E+01 2.6628486E+01 5.8091505E+00 1.8212034E+00
