B T nFsrh nFBsrh dnsrh nF nFB dn
1.700000000E+01 290 1.216130811E+00 1.215689213E+0 4.415980000E-04 1.216130811E+00 1.215689213E+0 4.415980000E-04
1.700000000E+01 295 1.210315852E+00 1.219407992E+0 -9.092140000E-03 1.210315852E+00 1.219407992E+0 -9.092140000E-03
1.700000000E+01 300 1.219591982E+00 1.223126772E+0 -3.534790000E-03 1.219591982E+00 1.223126772E+0 -3.534790000E-03
1.700000000E+01 305 1.218057575E+00 1.226845551E+0 -8.787976000E-03 1.218057575E+00 1.226845551E+0 -8.787976000E-03
1.700000000E+01 310 1.227271578E+00 1.230564331E+0 -3.292753000E-03 1.227271578E+00 1.230564331E+0 -3.292753000E-03
1.700000000E+01 315 1.232302470E+00 1.234283110E+0 -1.980640000E-03 1.232302470E+00 1.234283110E+0 -1.980640000E-03
1.700000000E+01 320 1.229566421E+00 1.238001890E+0 -8.435469000E-03 1.229566421E+00 1.238001890E+0 -8.435469000E-03
1.700000000E+01 325 1.238315678E+00 1.241720669E+0 -3.404991000E-03 1.238315678E+00 1.241720669E+0 -3.404991000E-03
1.700000000E+01 330 1.242105810E+00 1.245439449E+0 -3.333639000E-03 1.242105810E+00 1.245439449E+0 -3.333639000E-03
1.700000000E+01 335 1.250162762E+00 1.249158228E+0 1.004534000E-03 1.250162762E+00 1.249158228E+0 1.004534000E-03
1.700000000E+01 340 1.257771284E+00 1.252877008E+0 4.894276000E-03 1.257771284E+00 1.252877008E+0 4.894276000E-03
