Model MSEn MRE MedRE R2
TrainXg1p360e15MbPp 1.048889e-03 6.082828e-02 4.069474e-02 9.979823e-01
Train1p360e15MbPp 4.845551e-03 1.703798e-01 1.559798e-01 9.703618e-01
TrainSv1p360e15MbPp 1.806207e-03 3.972656e-02 2.455577e-03 9.999942e-01
TrainXg1p360e15NNCp 7.214517e-03 1.809522e-01 1.301104e-01 9.936952e-01
Train1p360e15NNCp 1.885557e-03 9.553726e-02 6.124658e-02 9.839554e-01
TrainSv1p360e15NNCp 2.277434e-03 6.296991e-02 3.614590e-03 9.999866e-01
TrainXg1p360e15EfPp 9.669332e-04 6.993039e-02 5.569245e-02 9.943246e-01
Train1p360e15EfPp 1.330128e-04 2.267945e-02 9.615187e-03 9.960446e-01
TrainSv1p360e15EfPp 1.074380e-03 5.805979e-02 3.193447e-02 9.994825e-01
TrainSv1p360e15YOfl2 1.665920e-07 9.243583e-04 7.722387e-04 9.999995e-01
TrainSv1p360e15YOfl 3.064127e-09 1.167174e-04 1.027297e-04 9.999999e-01
TrainXg1p360e15MbP 1.146420e-04 1.911656e-02 1.305122e-02 9.998117e-01
Train1p360e15MbP 1.905754e-03 8.474182e-02 6.173949e-02 9.919082e-01
TrainSv1p360e15MbP 5.819471e-09 1.837428e-04 1.770771e-04 1.000000e+00
TrainXg1p360e15XcC 8.948115e-04 6.421991e-02 4.358169e-02 9.932431e-01
Train1p360e15XcC 1.232159e-03 7.902028e-02 6.815019e-02 9.900555e-01
TrainSv1p360e15XcC 9.137461e-04 2.777416e-02 1.830087e-03 9.999825e-01
TrainXg1p360e15XcP 1.466318e-04 2.522081e-02 1.560464e-02 9.992685e-01
Train1p360e15XcP 4.539525e-04 5.046460e-02 4.801834e-02 9.971375e-01
TrainSv1p360e15XcP 9.195645e-08 6.726524e-04 5.846007e-04 9.999998e-01
TrainXg1p360e15NNC 5.599260e-04 4.911415e-02 4.123756e-02 9.997496e-01
Train1p360e15NNC 1.193303e-03 7.234489e-02 5.708213e-02 9.931043e-01
TrainSv1p360e15NNC 9.352560e-09 2.093987e-04 1.966307e-04 1.000000e+00
TrainXg1p360e15NNP 3.575851e-05 1.109033e-02 4.874698e-03 9.999965e-01
Train1p360e15NNP 7.989844e-04 6.402750e-02 5.968124e-02 9.945967e-01
TrainSv1p360e15NNP 3.580032e-09 1.273825e-04 9.201822e-05 1.000000e+00
TrainXg1p360e15YOL2 2.784755e-04 3.977338e-02 3.825430e-02 9.980925e-01
Train1p360e15YOL2 6.838185e-04 5.618556e-02 5.384446e-02 9.932129e-01
TrainSv1p360e15YOL2 5.555434e-10 5.097547e-05 3.200502e-05 1.000000e+00
TrainXg1p360e15EfC 4.115789e-04 4.355674e-02 4.048234e-02 9.984384e-01
Train1p360e15EfC 3.887839e-03 1.349898e-01 1.501888e-01 9.425772e-01
TrainSv1p360e15EfC 7.606852e-10 5.795474e-05 4.557277e-05 1.000000e+00
TrainXg1p360e15EfP 1.190120e-05 6.092029e-03 4.734054e-03 9.999789e-01
Train1p360e15EfP 6.788718e-04 5.957290e-02 4.704327e-02 9.844114e-01
TrainSv1p360e15EfP 5.327498e-10 5.153114e-05 5.221176e-05 1.000000e+00
TrainXg1p360e15RsC 3.644346e-04 4.134266e-02 2.710439e-02 9.929372e-01
Train1p360e15RsC 1.368265e-02 2.536576e-01 2.475320e-01 9.821781e-01
TrainSv1p360e15RsC 4.942194e-02 9.495859e-01 1.854338e-01 9.909234e-01
TrainXg1p360e15RsP 4.437013e-06 4.446215e-03 3.875886e-03 9.999949e-01
Train1p360e15RsP 3.281051e-04 4.257083e-02 4.330783e-02 9.954684e-01
TrainSv1p360e15RsP 1.728988e-08 3.488250e-04 3.648850e-04 9.999999e-01
TrainXg1p360e15MbC 5.104576e-04 4.014153e-02 2.683699e-02 9.999117e-01
Train1p360e15MbC 3.719749e-02 4.530755e-01 3.496109e-01 8.695642e-01
TrainSv1p360e15MbC 3.745589e-04 1.328239e-02 2.327937e-04 1.000000e+00
TrainXg1p360e15YOL 3.254021e-03 1.313951e-01 1.088619e-01 9.863397e-01
Train1p360e15YOL 3.510013e-04 2.307281e-02 6.941106e-03 9.838871e-01
TrainSv1p360e15YOL 4.719184e-05 4.625367e-03 4.874115e-04 9.999993e-01
