Model MSEav MSEstd MREav MREstd R2av R2std
Rf1p360e15EfC 5.138594e-02 2.929662e-02 4.962269e-01 1.431465e-01 6.430459e-01 2.221857e-01
Gb1p360e15EfC 3.366187e-02 1.410185e-02 4.597757e-01 1.468831e-01 7.496773e-01 9.117279e-02
Rf1p360e15EfP 2.946818e-02 1.495714e-02 4.110364e-01 1.911803e-01 8.197576e-01 9.018629e-02
Gb1p360e15EfP 2.481956e-02 9.124959e-03 3.436176e-01 1.093846e-01 8.305622e-01 1.072215e-01
Rf1p360e15MbC 3.990172e-02 1.081554e-02 5.118283e-01 1.674378e-01 7.715831e-01 8.573524e-02
Gb1p360e15MbC 3.228606e-02 7.008668e-03 4.202027e-01 6.792407e-02 7.044364e-01 1.639663e-01
Rf1p360e15MbP 3.495050e-02 1.143026e-02 4.724527e-01 1.685728e-01 6.921721e-01 1.300412e-01
Gb1p360e15MbP 4.995673e-02 3.195107e-02 4.802155e-01 7.428624e-02 7.248552e-01 2.858662e-01
Rf1p360e15NNC 5.370487e-02 1.039081e-02 5.826335e-01 1.356977e-01 8.184940e-01 9.657287e-02
Gb1p360e15NNC 5.117419e-02 1.219469e-02 5.497540e-01 1.654129e-01 8.156650e-01 9.422336e-02
Rf1p360e15NNP 1.934160e-02 6.939436e-03 3.112375e-01 9.617320e-02 8.515443e-01 9.196759e-02
Gb1p360e15NNP 1.707269e-02 3.486676e-03 2.869475e-01 4.004723e-02 8.369560e-01 1.001806e-01
Rf1p360e15RsC 1.337741e-01 2.965867e-02 1.287127e+00 6.116440e-01 5.386792e-01 1.774237e-01
Gb1p360e15RsC 1.260803e-01 1.949558e-02 1.070574e+00 2.548422e-01 5.529126e-01 2.270329e-01
Rf1p360e15RsP 2.043380e-02 5.716489e-03 3.124059e-01 5.368893e-02 7.553838e-01 1.533983e-01
Gb1p360e15RsP 2.609779e-02 8.498126e-03 3.495983e-01 1.262460e-01 7.231801e-01 1.351289e-01
Rf1p360e15XcC 6.885339e-02 3.450561e-02 7.786267e-01 4.057437e-01 5.948805e-01 1.195708e-01
Gb1p360e15XcC 4.543951e-02 1.259224e-02 5.006883e-01 1.616370e-01 6.751076e-01 1.856307e-01
Rf1p360e15XcP 2.208119e-02 4.294568e-03 3.384808e-01 6.424030e-02 7.167023e-01 9.154527e-02
Gb1p360e15XcP 2.319729e-02 8.089725e-03 3.082701e-01 5.359142e-02 7.141737e-01 1.946875e-01
Rf1p360e15YOL 1.630523e-01 4.173063e-02 1.287194e+00 6.487918e-01 2.915694e-01 1.365865e-01
Rf1p360e15YOL2 9.107599e-02 1.365635e-02 8.457877e-01 1.859355e-01 4.160311e-01 5.047444e-02
Gb1p360e15YOL2 8.286903e-02 2.230251e-02 7.874090e-01 1.675819e-01 4.606575e-01 1.978091e-01
Gb1p360e15YOL 1.447223e-01 4.359814e-02 1.292371e+00 7.344890e-01 3.379440e-01 1.748393e-01
Rf1p360e15EfPp 3.871022e-02 1.066836e-02 4.266088e-01 5.150180e-02 7.517467e-01 8.087427e-02
Gb1p360e15EfPp 3.168436e-02 1.147100e-02 4.179978e-01 1.356666e-01 8.088061e-01 1.191117e-01
Rf1p360e15YOfl2p 1.225610e-01 5.554067e-02 1.378632e+00 1.233150e+00 5.671404e-01 1.207487e-01
Gb1p360e15YOfl2p 1.339902e-01 6.671446e-02 1.259960e+00 6.937691e-01 4.560557e-01 1.790708e-01
Rf1p360e15MbPp 1.096030e-01 3.703683e-02 1.053063e+00 3.479987e-01 6.492971e-01 2.049515e-01
Gb1p360e15MbPp 7.348419e-02 1.323980e-02 7.931082e-01 7.723808e-02 6.618386e-01 7.845819e-02
Rf1p360e15NNCp 8.947419e-02 3.014294e-02 8.343915e-01 2.324504e-01 5.492634e-01 1.416345e-01
Gb1p360e15NNCp 9.569343e-02 3.307663e-02 8.085297e-01 3.797851e-01 5.320448e-01 2.009738e-01
Rf1p360e15YOflp 3.358678e-01 8.597266e-02 3.609140e+00 2.829357e+00 2.157587e-01 1.174411e-01
Gb1p360e15YOflp 2.577857e-01 5.614067e-02 1.944772e+00 8.572296e-01 3.205770e-01 1.874846e-01
