Ytrue Ypred RelError Label
1.000000e+10 1.047268e+10 4.726784e-02 Jsc
1.000000e+11 9.843467e+10 1.565329e-02 Jsc
1.000000e+12 9.921631e+11 7.836930e-03 Jsc
1.000000e+13 1.001356e+13 1.356316e-03 Jsc
1.000000e+14 9.986931e+13 1.306857e-03 Jsc
1.468000e+10 1.432771e+10 2.399819e-02 Jsc
1.468000e+11 1.464012e+11 2.716858e-03 Jsc
1.468000e+12 1.462826e+12 3.524674e-03 Jsc
1.468000e+13 1.474512e+13 4.436308e-03 Jsc
2.154000e+10 2.247986e+10 4.363304e-02 Jsc
2.154000e+11 2.123319e+11 1.424394e-02 Jsc
2.154000e+12 2.112446e+12 1.929137e-02 Jsc
2.154000e+13 2.151559e+13 1.133415e-03 Jsc
3.162000e+10 3.147686e+10 4.526982e-03 Jsc
3.162000e+11 3.208221e+11 1.461770e-02 Jsc
3.162000e+12 3.146070e+12 5.038003e-03 Jsc
3.162000e+13 3.175100e+13 4.142973e-03 Jsc
4.642000e+10 4.754168e+10 2.416377e-02 Jsc
4.642000e+11 4.664628e+11 4.874698e-03 Jsc
4.642000e+12 4.665028e+12 4.960818e-03 Jsc
4.642000e+13 4.645713e+13 7.997873e-04 Jsc
6.813000e+10 6.665245e+10 2.168714e-02 Jsc
6.813000e+11 6.832918e+11 2.923582e-03 Jsc
6.813000e+12 6.801109e+12 1.745413e-03 Jsc
6.813000e+13 6.803610e+13 1.378265e-03 Jsc
