Ytrue Ypred RelError Label
1.000000e+10 1.040129e+10 4.012943e-02 Jsc
1.000000e+11 9.941215e+10 5.878518e-03 Jsc
1.000000e+12 1.007404e+12 7.403532e-03 Jsc
1.000000e+13 9.935934e+12 6.406607e-03 Jsc
1.000000e+14 9.956963e+13 4.303688e-03 Jsc
1.468000e+10 1.446635e+10 1.455374e-02 Jsc
1.468000e+11 1.468656e+11 4.471071e-04 Jsc
1.468000e+12 1.461050e+12 4.734054e-03 Jsc
1.468000e+13 1.463330e+13 3.181011e-03 Jsc
2.154000e+10 2.148861e+10 2.385827e-03 Jsc
2.154000e+11 2.146588e+11 3.440918e-03 Jsc
2.154000e+12 2.147410e+12 3.059492e-03 Jsc
2.154000e+13 2.151626e+13 1.101967e-03 Jsc
3.162000e+10 3.181016e+10 6.013935e-03 Jsc
3.162000e+11 3.145964e+11 5.071496e-03 Jsc
3.162000e+12 3.180130e+12 5.733695e-03 Jsc
3.162000e+13 3.158653e+13 1.058454e-03 Jsc
4.642000e+10 4.625993e+10 3.448318e-03 Jsc
4.642000e+11 4.617246e+11 5.332654e-03 Jsc
4.642000e+12 4.648826e+12 1.470383e-03 Jsc
4.642000e+13 4.670375e+13 6.112602e-03 Jsc
6.813000e+10 6.777890e+10 5.153384e-03 Jsc
6.813000e+11 6.783440e+11 4.338765e-03 Jsc
6.813000e+12 6.873629e+12 8.898949e-03 Jsc
6.813000e+13 6.831001e+13 2.642184e-03 Jsc
