X Y Xfit Yfit
1.4819100E+0 1.3243600E+2 1.5624629E+0 1.3218927E+2
1.4955700E+0 1.4744500E+2 1.6021588E+0 1.4721989E+2
1.6232900E+0 1.6411400E+2 1.6480752E+0 1.6395957E+2
1.6854100E+0 1.8277400E+2 1.7013296E+0 1.8260262E+2
1.7636900E+0 2.0350800E+2 1.7632650E+0 2.0336548E+2
1.8437900E+0 2.2660200E+2 1.8354992E+0 2.2648915E+2
1.9594100E+0 2.5231700E+2 1.9199858E+0 2.5224209E+2
2.0757800E+0 2.8098500E+2 2.0190881E+0 2.8092322E+2
2.2505400E+0 3.1282400E+2 2.1356710E+0 3.1286550E+2
2.3893100E+0 3.4842700E+2 2.2732144E+0 3.4843970E+2
2.4934800E+0 3.8804300E+2 2.4359512E+0 3.8805878E+2
2.6290400E+0 4.3212600E+2 2.6290400E+0 4.3218261E+2
2.9194200E+0 4.8138100E+2 2.8587753E+0 4.8132335E+2
3.0667700E+0 5.3596600E+2 3.1328489E+0 5.3605136E+2
3.3559900E+0 5.9694700E+2 3.4606714E+0 5.9700189E+2
3.8949000E+0 6.6465200E+2 3.8537686E+0 6.6488231E+2
4.1698000E+0 7.4059200E+2 4.3262712E+0 7.4048042E+2
4.8192700E+0 8.2459300E+2 4.8955186E+0 8.2467355E+2
5.4442400E+0 9.1811300E+2 5.5828031E+0 9.1843859E+2
6.2771600E+0 1.0228600E+3 6.4142907E+0 1.0228636E+3
7.4221500E+0 1.1391600E+3 7.4221500E+0 1.1391600E+3
8.7491500E+0 1.2689900E+3 8.6459562E+0 1.2686771E+3
1.0116600E+1 1.4136600E+3 1.0134405E+1 1.4129168E+3
1.2231100E+1 1.5736700E+3 1.1947447E+1 1.5735521E+3
1.4988800E+1 1.7524100E+3 1.4158907E+1 1.7524455E+3
1.7689100E+1 1.9519100E+3 1.6859725E+1 1.9516710E+3
2.0628300E+1 2.1736300E+3 2.0161965E+1 2.1735375E+3
2.3567800E+1 2.4214400E+3 2.4203784E+1 2.4206161E+3
2.9155600E+1 2.6971100E+3 2.9155600E+1 2.6957691E+3
3.5024900E+1 3.0012600E+3 3.5227748E+1 3.0021833E+3
4.2626600E+1 3.3422900E+3 4.2680029E+1 3.3434063E+3
5.3306300E+1 3.7202200E+3 5.1833585E+1 3.7233876E+3
6.4357500E+1 4.1422900E+3 6.3085664E+1 4.1465226E+3
7.9786300E+1 4.6103000E+3 7.6927985E+1 4.6177035E+3
9.0408000E+1 5.1393400E+3 9.3969487E+1 5.1423736E+3
1.1712600E+2 5.7301100E+3 1.1496450E+2 5.7265878E+3
1.4410000E+2 6.3696500E+3 1.4084755E+2 6.3770796E+3
1.7040500E+2 7.0895100E+3 1.7277638E+2 7.1013330E+3
2.1218500E+2 7.9045600E+3 2.1218500E+2 7.9076632E+3
2.5609900E+2 8.7949600E+3 2.6084937E+2 8.8053037E+3
3.0472900E+2 9.7833800E+3 3.2096823E+2 9.8044986E+3
3.9880800E+2 1.0881700E+4 3.9526302E+2 1.0916603E+4
4.8399800E+2 1.2144800E+4 4.8710130E+2 1.2154192E+4
6.1374200E+2 1.3497400E+4 6.0064809E+2 1.3531168E+4
7.3296500E+2 1.5014000E+4 7.4105304E+2 1.5062880E+4
9.4471200E+2 1.6772400E+4 9.1467883E+2 1.6766229E+4
1.0669300E+3 1.8714300E+4 1.1293819E+3 1.8659780E+4
1.3447000E+3 2.0781500E+4 1.3948539E+3 2.0763853E+4
1.7053400E+3 2.3104200E+4 1.7230373E+3 2.3100591E+4
2.1327500E+3 2.5667200E+4 2.1286252E+3 2.5693977E+4
2.5438400E+3 2.8493500E+4 2.6296667E+3 2.8569825E+4
2.9785600E+3 3.1660700E+4 3.2482795E+3 3.1755626E+4
3.8933500E+3 3.5340200E+4 4.0114917E+3 3.5280304E+4
4.8162700E+3 3.9264000E+4 4.9522147E+3 3.9173763E+4
5.8775300E+3 4.3958300E+4 6.1103604E+3 4.3466254E+4
7.5799000E+3 4.8875700E+4 7.5340514E+3 4.8187296E+4
9.3189800E+3 5.3539800E+4 9.2809017E+3 5.3364201E+4
1.2444200E+4 5.9068200E+4 1.1419344E+4 5.9020193E+4
1.4463400E+4 6.5154600E+4 1.4029705E+4 6.5171527E+4
1.6881800E+4 7.2627300E+4 1.7205043E+4 7.1824153E+4
1.9479000E+4 7.7720300E+4 2.1051214E+4 7.8969200E+4
2.6735700E+4 8.7224000E+4 2.5685931E+4 8.6577747E+4
3.1835400E+4 9.3041800E+4 3.1236104E+4 9.4594671E+4
3.8565300E+4 1.0200500E+5 3.7833027E+4 1.0293229E+5
4.7688400E+4 1.1193800E+5 4.5604632E+4 1.1146420E+5
5.6843800E+4 1.1922800E+5 5.4664854E+4 1.2002107E+5
6.8068600E+4 1.3018800E+5 6.5098936E+4 1.2838859E+5
8.0950400E+4 1.3947100E+5 7.6947609E+4 1.3631163E+5
9.4861000E+4 1.4272300E+5 9.0189954E+4 1.4350412E+5
