T d154 d184 d214 d244
d 150 180 210 240
290 5.650910000E-04 5.653200000E-04 5.636130000E-04 5.636270000E-04
295 5.158190000E-04 5.151900000E-04 5.159280000E-04 5.183240000E-04
300 4.746110000E-04 4.908890000E-04 4.706310000E-04 3.610640000E-04
305 4.264650000E-04 4.249010000E-04 4.572570000E-04 4.260120000E-04
310 4.033240000E-04 4.067320000E-04 4.043540000E-04 4.020400000E-04
315 3.967400000E-04 3.934180000E-04 3.951790000E-04 3.963920000E-04
320 3.935290000E-04 3.922970000E-04 3.922740000E-04 3.949070000E-04
325 4.173180000E-04 4.153780000E-04 4.152150000E-04 4.182540000E-04
330 4.580250000E-04 4.563750000E-04 4.550990000E-04 4.570980000E-04
335 5.108550000E-04 5.095300000E-04 5.076100000E-04 5.097730000E-04
340 5.890490000E-04 5.873800000E-04 6.090430000E-04 5.858370000E-04
