T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.026539300E-02 1.709980700E-02 2.244045700E-02 2.621314900E-02 3.191290600E-02 4.331862000E-02 5.609016100E-02 6.441702400E-02 7.024484300E-02
295 8.490593000E-03 1.687430600E-02 2.240069400E-02 2.653613900E-02 3.137661500E-02 4.212729600E-02 5.464681500E-02 6.321552200E-02 6.938116800E-02
300 3.818277000E-03 1.560196500E-02 2.233986500E-02 2.646574000E-02 3.094955900E-02 4.090603400E-02 5.354698900E-02 6.217003600E-02 6.808385500E-02
305 -6.316276000E-03 1.264967800E-02 2.148798600E-02 2.630703200E-02 3.080902900E-02 4.010964800E-02 5.200067500E-02 6.050374000E-02 6.688233400E-02
310 -2.618848600E-02 6.436910000E-03 1.966811300E-02 2.545586000E-02 3.041008800E-02 3.920413600E-02 5.057446000E-02 5.883849100E-02 6.513498900E-02
315 -6.098045800E-02 -5.527466000E-03 1.613331900E-02 2.466282300E-02 2.997717900E-02 3.842727400E-02 4.962384300E-02 5.767831900E-02 6.339058400E-02
320 -1.132879270E-01 -2.756460500E-02 9.030252000E-03 2.304417100E-02 2.952023500E-02 3.806334200E-02 4.854086800E-02 5.637940100E-02 6.229663900E-02
325 -1.073874570E-01 -6.405646300E-02 -3.986647000E-03 1.874908400E-02 2.837577700E-02 3.734530800E-02 4.766577800E-02 5.531337300E-02 6.102979400E-02
330 -2.941606300E-02 -1.170993690E-01 -2.641841800E-02 1.173681100E-02 2.630732600E-02 3.652446900E-02 4.726363100E-02 5.491618400E-02 5.958145900E-02
335 7.477525000E-03 -1.173948590E-01 -6.290609400E-02 -2.410805000E-03 2.276649100E-02 3.563912600E-02 4.663247800E-02 5.436570400E-02 5.956906700E-02
340 1.128505700E-02 -3.951827900E-02 -1.145710540E-01 -2.376061000E-02 1.599347200E-02 3.366051800E-02 4.596082300E-02 5.416121100E-02 5.961804400E-02
