Fe B nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 1.500000000E+01 1.140940846E+00 1.120174649E+0 2.076619700E-02 1.140940846E+00 1.120174649E+0 2.076619700E-02
1.000000000E+01 1.524993176E+01 1.147254106E+00 1.145949439E+0 1.304667000E-03 1.147254106E+00 1.145949439E+0 1.304667000E-03
1.000000000E+01 1.549996187E+01 1.152309419E+00 1.165976829E+0 -1.366741000E-02 1.152309419E+00 1.165976829E+0 -1.366741000E-02
1.000000000E+01 1.574996808E+01 1.155752184E+00 1.179853318E+0 -2.410113400E-02 1.155752184E+00 1.179853318E+0 -2.410113400E-02
1.000000000E+01 1.600000000E+01 1.157468438E+00 1.188726766E+0 -3.125832800E-02 1.157468438E+00 1.188726766E+0 -3.125832800E-02
1.000000000E+01 1.624993176E+01 1.159928807E+00 1.194110230E+0 -3.418142300E-02 1.159928807E+00 1.194110230E+0 -3.418142300E-02
1.000000000E+01 1.649996187E+01 1.162169387E+00 1.197276132E+0 -3.510674500E-02 1.162169387E+00 1.197276132E+0 -3.510674500E-02
1.000000000E+01 1.674996808E+01 1.163322962E+00 1.199101976E+0 -3.577901400E-02 1.163322962E+00 1.199101976E+0 -3.577901400E-02
1.000000000E+01 1.700000000E+01 1.158238888E+00 1.200143713E+0 -4.190482500E-02 1.158238888E+00 1.200143713E+0 -4.190482500E-02
1.016672606E+01 1.500000000E+01 1.141984951E+00 1.123255955E+0 1.872899600E-02 1.141984951E+00 1.123255955E+0 1.872899600E-02
1.016672606E+01 1.524993176E+01 1.149253932E+00 1.148484960E+0 7.689720000E-04 1.149253932E+00 1.148484960E+0 7.689720000E-04
1.016672606E+01 1.549996187E+01 1.156084795E+00 1.167809209E+0 -1.172441400E-02 1.156084795E+00 1.167809209E+0 -1.172441400E-02
1.016672606E+01 1.574996808E+01 1.161933536E+00 1.181058027E+0 -1.912449100E-02 1.161933536E+00 1.181058027E+0 -1.912449100E-02
1.016672606E+01 1.600000000E+01 1.166308492E+00 1.189470623E+0 -2.316213100E-02 1.166308492E+00 1.189470623E+0 -2.316213100E-02
1.016672606E+01 1.624993176E+01 1.163570955E+00 1.194552072E+0 -3.098111700E-02 1.163570955E+00 1.194552072E+0 -3.098111700E-02
1.016672606E+01 1.649996187E+01 1.164097700E+00 1.197532501E+0 -3.343480100E-02 1.164097700E+00 1.197532501E+0 -3.343480100E-02
1.016672606E+01 1.674996808E+01 1.166545034E+00 1.199248739E+0 -3.270370500E-02 1.166545034E+00 1.199248739E+0 -3.270370500E-02
1.016672606E+01 1.700000000E+01 1.165510568E+00 1.200227077E+0 -3.471650900E-02 1.165510568E+00 1.200227077E+0 -3.471650900E-02
1.033324570E+01 1.500000000E+01 1.142774277E+00 1.126289841E+0 1.648443600E-02 1.142774277E+00 1.126289841E+0 1.648443600E-02
1.033324570E+01 1.524993176E+01 1.150778209E+00 1.150941836E+0 -1.636270000E-04 1.150778209E+00 1.150941836E+0 -1.636270000E-04
1.033324570E+01 1.549996187E+01 1.158795430E+00 1.169563123E+0 -1.076769300E-02 1.158795430E+00 1.169563123E+0 -1.076769300E-02
1.033324570E+01 1.574996808E+01 1.163628528E+00 1.182201497E+0 -1.857296900E-02 1.163628528E+00 1.182201497E+0 -1.857296900E-02
1.033324570E+01 1.600000000E+01 1.167988696E+00 1.190172909E+0 -2.218421300E-02 1.167988696E+00 1.190172909E+0 -2.218421300E-02
1.033324570E+01 1.624993176E+01 1.171638692E+00 1.194967877E+0 -2.332918500E-02 1.171638692E+00 1.194967877E+0 -2.332918500E-02
1.033324570E+01 1.649996187E+01 1.171643098E+00 1.197773307E+0 -2.613020900E-02 1.171643098E+00 1.197773307E+0 -2.613020900E-02
