Fe B nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 1.500000000E+01 1.033792871E+00 1.165688181E+0 -1.318953100E-01 1.033792871E+00 1.165688181E+0 -1.318953100E-01
1.000000000E+01 1.524993176E+01 1.105597236E+00 1.173418962E+0 -6.782172600E-02 1.105597236E+00 1.173418962E+0 -6.782172600E-02
1.000000000E+01 1.549996187E+01 1.143124363E+00 1.184755954E+0 -4.163159100E-02 1.143124363E+00 1.184755954E+0 -4.163159100E-02
1.000000000E+01 1.574996808E+01 1.176100931E+00 1.200176009E+0 -2.407507800E-02 1.176100931E+00 1.200176009E+0 -2.407507800E-02
1.000000000E+01 1.600000000E+01 1.182380575E+00 1.220388244E+0 -3.800766900E-02 1.182380575E+00 1.220388244E+0 -3.800766900E-02
1.000000000E+01 1.624993176E+01 1.192214681E+00 1.246357217E+0 -5.414253600E-02 1.192214681E+00 1.246357217E+0 -5.414253600E-02
1.000000000E+01 1.649996187E+01 1.201277097E+00 1.279420363E+0 -7.814326600E-02 1.201277097E+00 1.279420363E+0 -7.814326600E-02
1.000000000E+01 1.674996808E+01 1.208766178E+00 1.321316509E+0 -1.125503310E-01 1.208766178E+00 1.321316509E+0 -1.125503310E-01
1.000000000E+01 1.700000000E+01 1.218392723E+00 1.374371874E+0 -1.559791510E-01 1.218392723E+00 1.374371874E+0 -1.559791510E-01
1.016672606E+01 1.500000000E+01 1.034212378E+00 1.091348002E+0 -5.713562400E-02 1.034212378E+00 1.091348002E+0 -5.713562400E-02
1.016672606E+01 1.524993176E+01 1.105628408E+00 1.095608342E+0 1.002006600E-02 1.105628408E+00 1.095608342E+0 1.002006600E-02
1.016672606E+01 1.549996187E+01 1.143301935E+00 1.101865766E+0 4.143616900E-02 1.143301935E+00 1.101865766E+0 4.143616900E-02
1.016672606E+01 1.574996808E+01 1.176131280E+00 1.110385277E+0 6.574600300E-02 1.176131280E+00 1.110385277E+0 6.574600300E-02
1.016672606E+01 1.600000000E+01 1.182447037E+00 1.121561887E+0 6.088515000E-02 1.182447037E+00 1.121561887E+0 6.088515000E-02
1.016672606E+01 1.624993176E+01 1.192296883E+00 1.135934153E+0 5.636273000E-02 1.192296883E+00 1.135934153E+0 5.636273000E-02
1.016672606E+01 1.649996187E+01 1.201293835E+00 1.154250395E+0 4.704344000E-02 1.201293835E+00 1.154250395E+0 4.704344000E-02
1.016672606E+01 1.674996808E+01 1.208780004E+00 1.177486559E+0 3.129344500E-02 1.208780004E+00 1.177486559E+0 3.129344500E-02
1.016672606E+01 1.700000000E+01 1.218404209E+00 1.206952615E+0 1.145159400E-02 1.218404209E+00 1.206952615E+0 1.145159400E-02
1.033324570E+01 1.500000000E+01 1.034823674E+00 1.050146453E+0 -1.532277900E-02 1.034823674E+00 1.050146453E+0 -1.532277900E-02
1.033324570E+01 1.524993176E+01 1.105673053E+00 1.052484683E+0 5.318837000E-02 1.105673053E+00 1.052484683E+0 5.318837000E-02
1.033324570E+01 1.549996187E+01 1.143560166E+00 1.055921802E+0 8.763836400E-02 1.143560166E+00 1.055921802E+0 8.763836400E-02
1.033324570E+01 1.574996808E+01 1.176175806E+00 1.060603899E+0 1.155719070E-01 1.176175806E+00 1.060603899E+0 1.155719070E-01
1.033324570E+01 1.600000000E+01 1.182544456E+00 1.066748998E+0 1.157954580E-01 1.182544456E+00 1.066748998E+0 1.157954580E-01
1.033324570E+01 1.624993176E+01 1.192417336E+00 1.074654713E+0 1.177626230E-01 1.192417336E+00 1.074654713E+0 1.177626230E-01
1.033324570E+01 1.649996187E+01 1.201318477E+00 1.084735038E+0 1.165834390E-01 1.201318477E+00 1.084735038E+0 1.165834390E-01
1.033324570E+01 1.674996808E+01 1.208800160E+00 1.097530777E+0 1.112693830E-01 1.208800160E+00 1.097530777E+0 1.112693830E-01
1.033324570E+01 1.700000000E+01 1.218420958E+00 1.113769099E+0 1.046518590E-01 1.218420958E+00 1.113769099E+0 1.046518590E-01
1.049996187E+01 1.500000000E+01 1.035711264E+00 1.027403489E+0 8.307775000E-03 1.035711264E+00 1.027403489E+0 8.307775000E-03
1.049996187E+01 1.524993176E+01 1.105737802E+00 1.028681107E+0 7.705669500E-02 1.105737802E+00 1.028681107E+0 7.705669500E-02
1.049996187E+01 1.549996187E+01 1.143934465E+00 1.030559973E+0 1.133744920E-01 1.143934465E+00 1.030559973E+0 1.133744920E-01
1.049996187E+01 1.574996808E+01 1.176241112E+00 1.033120093E+0 1.431210190E-01 1.176241112E+00 1.033120093E+0 1.431210190E-01
1.049996187E+01 1.600000000E+01 1.182687122E+00 1.036480949E+0 1.462061730E-01 1.182687122E+00 1.036480949E+0 1.462061730E-01
1.049996187E+01 1.624993176E+01 1.192593734E+00 1.040805747E+0 1.517879870E-01 1.192593734E+00 1.040805747E+0 1.517879870E-01
1.049996187E+01 1.649996187E+01 1.201354191E+00 1.046321641E+0 1.550325500E-01 1.201354191E+00 1.046321641E+0 1.550325500E-01
1.049996187E+01 1.674996808E+01 1.208829503E+00 1.053325620E+0 1.555038830E-01 1.208829503E+00 1.053325620E+0 1.555038830E-01
1.049996187E+01 1.700000000E+01 1.218445165E+00 1.062217384E+0 1.562277810E-01 1.218445165E+00 1.062217384E+0 1.562277810E-01
1.066670514E+01 1.500000000E+01 1.036994023E+00 1.014926463E+0 2.206756000E-02 1.036994023E+00 1.014926463E+0 2.206756000E-02
1.066670514E+01 1.524993176E+01 1.105831545E+00 1.015622329E+0 9.020921600E-02 1.105831545E+00 1.015622329E+0 9.020921600E-02
1.066670514E+01 1.549996187E+01 1.144473040E+00 1.016645898E+0 1.278271420E-01 1.144473040E+00 1.016645898E+0 1.278271420E-01
1.066670514E+01 1.574996808E+01 1.176336825E+00 1.018040802E+0 1.582960230E-01 1.176336825E+00 1.018040802E+0 1.582960230E-01
1.066670514E+01 1.600000000E+01 1.182895856E+00 1.019872216E+0 1.630236400E-01 1.182895856E+00 1.019872216E+0 1.630236400E-01
1.066670514E+01 1.624993176E+01 1.192851773E+00 1.022229200E+0 1.706225730E-01 1.192851773E+00 1.022229200E+0 1.706225730E-01
1.066670514E+01 1.649996187E+01 1.201406074E+00 1.025235744E+0 1.761703300E-01 1.201406074E+00 1.025235744E+0 1.761703300E-01
1.066670514E+01 1.674996808E+01 1.208872029E+00 1.029054032E+0 1.798179970E-01 1.208872029E+00 1.029054032E+0 1.798179970E-01
1.066670514E+01 1.700000000E+01 1.218480396E+00 1.033902440E+0 1.845779560E-01 1.218480396E+00 1.033902440E+0 1.845779560E-01
1.083333839E+01 1.500000000E+01 1.038834224E+00 1.008111258E+0 3.072296600E-02 1.038834224E+00 1.008111258E+0 3.072296600E-02
1.083333839E+01 1.524993176E+01 1.105965832E+00 1.008489389E+0 9.747644300E-02 1.105965832E+00 1.008489389E+0 9.747644300E-02
1.083333839E+01 1.549996187E+01 1.145242500E+00 1.009045659E+0 1.361968410E-01 1.145242500E+00 1.009045659E+0 1.361968410E-01
1.083333839E+01 1.574996808E+01 1.176477097E+00 1.009803790E+0 1.666733070E-01 1.176477097E+00 1.009803790E+0 1.666733070E-01
1.083333839E+01 1.600000000E+01 1.183200817E+00 1.010799229E+0 1.724015880E-01 1.183200817E+00 1.010799229E+0 1.724015880E-01
1.083333839E+01 1.624993176E+01 1.193228646E+00 1.012080416E+0 1.811482300E-01 1.193228646E+00 1.012080416E+0 1.811482300E-01
1.083333839E+01 1.649996187E+01 1.201480765E+00 1.013714804E+0 1.877659610E-01 1.201480765E+00 1.013714804E+0 1.877659610E-01
1.083333839E+01 1.674996808E+01 1.208933375E+00 1.015790645E+0 1.931427300E-01 1.208933375E+00 1.015790645E+0 1.931427300E-01
1.083333839E+01 1.700000000E+01 1.218531212E+00 1.018426794E+0 2.001044180E-01 1.218531212E+00 1.018426794E+0 2.001044180E-01
1.100000000E+01 1.500000000E+01 1.041446585E+00 1.004396352E+0 3.705023300E-02 1.041446585E+00 1.004396352E+0 3.705023300E-02
1.100000000E+01 1.524993176E+01 1.106157093E+00 1.004601298E+0 1.015557950E-01 1.106157093E+00 1.004601298E+0 1.015557950E-01
1.100000000E+01 1.549996187E+01 1.146326581E+00 1.004902813E+0 1.414237680E-01 1.146326581E+00 1.004902813E+0 1.414237680E-01
1.100000000E+01 1.574996808E+01 1.176682439E+00 1.005313759E+0 1.713686800E-01 1.176682439E+00 1.005313759E+0 1.713686800E-01
1.100000000E+01 1.600000000E+01 1.183645402E+00 1.005853355E+0 1.777920470E-01 1.183645402E+00 1.005853355E+0 1.777920470E-01
