N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+16 290 1.600E-4 1.238221470E+00 1.248225438E+00
1.468000E+10 3.162E+16 290 1.600E-4 1.240963651E+00 1.248365275E+00
2.154000E+10 3.162E+16 290 1.600E-4 1.243369694E+00 1.248633947E+00
3.162000E+10 3.162E+16 290 1.600E-4 1.245153598E+00 1.248968500E+00
4.642000E+10 3.162E+16 290 1.600E-4 1.246706302E+00 1.249459885E+00
6.813000E+10 3.162E+16 290 1.600E-4 1.248259579E+00 1.250253248E+00
1.000000E+11 3.162E+16 290 1.600E-4 1.249781275E+00 1.251265141E+00
1.468000E+11 3.162E+16 290 1.600E-4 1.251591443E+00 1.252683249E+00
2.154000E+11 3.162E+16 290 1.600E-4 1.253689738E+00 1.254508517E+00
3.162000E+11 3.162E+16 290 1.600E-4 1.256326541E+00 1.256951295E+00
4.642000E+11 3.162E+16 290 1.600E-4 1.259378260E+00 1.259871538E+00
6.813000E+11 3.162E+16 290 1.600E-4 1.262945262E+00 1.263345593E+00
1.000000E+12 3.162E+16 290 1.600E-4 1.267034832E+00 1.267366308E+00
1.468000E+12 3.162E+16 290 1.600E-4 1.271587287E+00 1.271866371E+00
2.154000E+12 3.162E+16 290 1.600E-4 1.276561519E+00 1.276798580E+00
3.162000E+12 3.162E+16 290 1.600E-4 1.281882946E+00 1.282084913E+00
4.642000E+12 3.162E+16 290 1.600E-4 1.287525510E+00 1.287697503E+00
6.813000E+12 3.162E+16 290 1.600E-4 1.293457579E+00 1.293603639E+00
1.000000E+13 3.162E+16 290 1.600E-4 1.299631719E+00 1.299755216E+00
