N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+16 290 1.600E-4 1.247827785E+00 1.278227329E+00
1.468000E+10 3.162E+16 290 1.600E-4 1.253058316E+00 1.278300980E+00
2.154000E+10 3.162E+16 290 1.600E-4 1.257923288E+00 1.278408504E+00
3.162000E+10 3.162E+16 290 1.600E-4 1.262365257E+00 1.278565351E+00
4.642000E+10 3.162E+16 290 1.600E-4 1.266306667E+00 1.278793680E+00
6.813000E+10 3.162E+16 290 1.600E-4 1.269716036E+00 1.279124930E+00
1.000000E+11 3.162E+16 290 1.600E-4 1.272638831E+00 1.279603060E+00
1.468000E+11 3.162E+16 290 1.600E-4 1.275194231E+00 1.280288143E+00
2.154000E+11 3.162E+16 290 1.600E-4 1.277554082E+00 1.281259626E+00
3.162000E+11 3.162E+16 290 1.600E-4 1.279919490E+00 1.282617550E+00
4.642000E+11 3.162E+16 290 1.600E-4 1.282500812E+00 1.284479056E+00
6.813000E+11 3.162E+16 290 1.600E-4 1.285498233E+00 1.286966592E+00
1.000000E+12 3.162E+16 290 1.600E-4 1.289077931E+00 1.290185581E+00
1.468000E+12 3.162E+16 290 1.600E-4 1.293341822E+00 1.294192260E+00
2.154000E+12 3.162E+16 290 1.600E-4 1.298308404E+00 1.298972890E+00
3.162000E+12 3.162E+16 290 1.600E-4 1.303913190E+00 1.304434768E+00
4.642000E+12 3.162E+16 290 1.600E-4 1.309992879E+00 1.310410965E+00
6.813000E+12 3.162E+16 290 1.600E-4 1.316379238E+00 1.316715413E+00
1.000000E+13 3.162E+16 290 1.600E-4 1.322916571E+00 1.323187403E+00
