N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 4.084731000E-03 3.814945000E-03 3.714039000E-03 3.719171000E-03 3.700875000E-03 3.395224000E-03 2.311264000E-03 -1.634100000E-04 1.774211000E-03 1.909789000E-03 2.302867000E-03
1.016672606E+01 2.912146000E-03 2.700335000E-03 2.607806000E-03 2.590733000E-03 2.558996000E-03 2.329105000E-03 1.559573000E-03 -1.761190000E-04 1.286459000E-03 1.384451000E-03 1.670651000E-03
1.033324570E+01 2.053811000E-03 1.894262000E-03 1.818151000E-03 1.795135000E-03 1.762864000E-03 1.594698000E-03 1.054663000E-03 -1.528110000E-04 9.175700000E-04 9.866010000E-04 1.190407000E-03
1.049996187E+01 1.437423000E-03 1.320307000E-03 1.261159000E-03 1.239087000E-03 1.211197000E-03 1.090585000E-03 7.151030000E-04 -1.194700000E-04 6.468140000E-04 6.942940000E-04 8.367540000E-04
1.066670514E+01 1.001314000E-03 9.166290000E-04 8.720200000E-04 8.531940000E-04 8.307740000E-04 7.454340000E-04 4.863030000E-04 -8.755700000E-05 4.524360000E-04 4.842930000E-04 5.822610000E-04
1.083333839E+01 6.961770000E-04 6.353320000E-04 6.021550000E-04 5.868570000E-04 5.694470000E-04 5.096210000E-04 3.319210000E-04 -6.090000000E-05 3.151110000E-04 3.358650000E-04 4.021810000E-04
1.100000000E+01 4.843860000E-04 4.406630000E-04 4.160190000E-04 4.038020000E-04 3.904640000E-04 3.487970000E-04 2.276840000E-04 -3.999700000E-05 2.192070000E-04 2.321910000E-04 2.763120000E-04
1.116672606E+01 3.382330000E-04 3.066140000E-04 2.881620000E-04 2.783990000E-04 2.681990000E-04 2.393390000E-04 1.574070000E-04 -2.397600000E-05 1.528000000E-04 1.604110000E-04 1.891470000E-04
1.133324570E+01 2.377860000E-04 2.146440000E-04 2.006190000E-04 1.927460000E-04 1.849200000E-04 1.650600000E-04 1.101950000E-04 -1.166200000E-05 1.071190000E-04 1.110690000E-04 1.292480000E-04
1.149996187E+01 1.689440000E-04 1.517180000E-04 1.408490000E-04 1.343890000E-04 1.283460000E-04 1.148130000E-04 7.867500000E-05 -2.036000000E-06 -1.426370000E-04 7.738000000E-05 8.839900000E-05
1.166670514E+01 1.218500000E-04 1.087470000E-04 1.001300000E-04 9.474600000E-05 9.003300000E-05 8.095500000E-05 5.774300000E-05 5.544000000E-06 -8.854800000E-05 5.455600000E-05 6.079600000E-05
1.183333839E+01 8.965300000E-05 7.945600000E-05 7.245700000E-05 6.788800000E-05 6.416300000E-05 5.818100000E-05 4.383400000E-05 1.133000000E-05 -4.963500000E-05 3.925100000E-05 4.237400000E-05
1.200000000E+01 6.760300000E-05 5.948700000E-05 5.366200000E-05 4.970600000E-05 4.670300000E-05 4.280700000E-05 3.436800000E-05 1.522000000E-05 -2.221500000E-05 2.912200000E-05 3.028100000E-05
1.216672606E+01 5.242000000E-05 4.582200000E-05 4.088000000E-05 3.739100000E-05 3.485800000E-05 3.227300000E-05 2.755700000E-05 1.707900000E-05 -4.219000000E-06 -4.014900000E-05 2.250300000E-05
1.233324570E+01 4.182500000E-05 3.638500000E-05 3.212800000E-05 2.899600000E-05 2.675600000E-05 2.490300000E-05 2.234700000E-05 1.708200000E-05 6.115000000E-06 -1.382700000E-05 1.760100000E-05
1.249996187E+01 3.423800000E-05 2.972300000E-05 2.603500000E-05 2.320200000E-05 2.114300000E-05 1.964300000E-05 1.816900000E-05 1.574500000E-05 1.073900000E-05 1.041000000E-06 -1.448900000E-05
1.266670514E+01 2.859400000E-05 2.485300000E-05 2.166900000E-05 1.910700000E-05 1.717800000E-05 1.583200000E-05 1.483300000E-05 1.376900000E-05 1.186400000E-05 7.975000000E-06 9.169999999E-07
1.283333839E+01 2.418500000E-05 2.111200000E-05 1.838400000E-05 1.610400000E-05 1.431100000E-05 1.303900000E-05 1.222600000E-05 1.172100000E-05 1.126500000E-05 1.035200000E-05 8.143000000E-06
1.300000000E+01 2.057700000E-05 1.808500000E-05 1.579400000E-05 1.379800000E-05 1.216200000E-05 1.096100000E-05 1.021000000E-05 9.914000000E-06 1.006500000E-05 1.055000000E-05 1.089700000E-05
