N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.190765285E+00 1.175773382E+00 1.143071084E+00 1.078769906E+00 1.013677407E+00 1.014369524E+00 1.016977585E+00 1.022183205E+00 1.030880868E+00 1.044044244E+00 1.062443763E+00
1.600000000E+01 1.243850445E+00 1.245571155E+00 1.247607707E+00 1.249090966E+00 1.250513692E+00 1.250706870E+00 1.248387376E+00 1.241879898E+00 1.226687611E+00 1.200812461E+00 1.156378197E+00
1.700000000E+01 1.292084073E+00 1.293768112E+00 1.296279684E+00 1.299547696E+00 1.303372449E+00 1.307436454E+00 1.311298334E+00 1.314897982E+00 1.317478202E+00 1.319013685E+00 1.319152722E+00
1.549996187E+01 1.221269183E+00 1.221784322E+00 1.221014218E+00 1.216899387E+00 1.206394085E+00 1.183683742E+00 1.140293692E+00 1.065473033E+00 1.009445557E+00 1.009953662E+00 1.011503640E+00
1.649996187E+01 1.267822425E+00 1.269385022E+00 1.271756577E+00 1.274460770E+00 1.277485721E+00 1.280480858E+00 1.283110664E+00 1.284941380E+00 1.285606524E+00 1.284192926E+00 1.279851163E+00
1.674996808E+01 1.280103917E+00 1.281678163E+00 1.284078102E+00 1.287123755E+00 1.290513428E+00 1.294044538E+00 1.297451114E+00 1.300319277E+00 1.302531401E+00 1.303341214E+00 1.302405359E+00
1.624993176E+01 1.255664520E+00 1.257231972E+00 1.259386435E+00 1.261939816E+00 1.264577592E+00 1.266595823E+00 1.267830610E+00 1.267308161E+00 1.264173904E+00 1.256634788E+00 1.241959660E+00
1.574996808E+01 1.231725873E+00 1.233299788E+00 1.234630575E+00 1.235150926E+00 1.233692684E+00 1.228292751E+00 1.215884018E+00 1.190965133E+00 1.145810080E+00 1.071770067E+00 1.007841466E+00
1.524993176E+01 1.209273927E+00 1.206223991E+00 1.198018410E+00 1.178933622E+00 1.139811814E+00 1.068014027E+00 1.011362734E+00 1.012018076E+00 1.014118407E+00 1.018142559E+00 1.024744341E+00
