N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.000e+17 290 1.158932469E+00 1.200510164E+00
1.468000E+10 1.000e+17 290 1.166544151E+00 1.200513312E+00
2.154000E+10 1.000e+17 290 1.173905817E+00 1.200517433E+00
3.162000E+10 1.000e+17 290 1.175726768E+00 1.200523107E+00
4.642000E+10 1.000e+17 290 1.186857325E+00 1.200531131E+00
6.813000E+10 1.000e+17 290 1.187820946E+00 1.200542574E+00
1.000000E+11 1.000e+17 290 1.188491039E+00 1.200558912E+00
1.468000E+11 1.000e+17 290 1.188961171E+00 1.200582065E+00
2.154000E+11 1.000e+17 290 1.199894883E+00 1.200614471E+00
3.162000E+11 1.000e+17 290 1.200170263E+00 1.200658982E+00
4.642000E+11 1.000e+17 290 1.200387244E+00 1.200718539E+00
6.813000E+11 1.000e+17 290 1.200571340E+00 1.201413440E+00
1.000000E+12 1.000e+17 290 1.200739166E+00 1.212006417E+00
1.468000E+12 1.000e+17 290 1.212016570E+00 1.216130811E+00
2.154000E+12 1.000e+17 290 1.220953862E+00 1.224842734E+00
3.162000E+12 1.000e+17 290 1.224999212E+00 1.225056136E+00
4.642000E+12 1.000e+17 290 1.225182776E+00 1.225220680E+00
6.813000E+12 1.000e+17 290 1.237375150E+00 1.237403452E+00
1.000000E+13 1.000e+17 290 1.237514751E+00 1.237533821E+00
1.468000E+13 1.000e+17 290 1.237638707E+00 1.237651581E+00
2.154000E+13 1.000e+17 290 1.250035935E+00 1.250045609E+00
3.162000E+13 1.000e+17 290 1.256260170E+00 1.256267176E+00
4.642000E+13 1.000e+17 290 1.259778313E+00 1.261008651E+00
6.813000E+13 1.000e+17 290 1.281935177E+00 1.282965571E+00
1.000000E+14 1.000e+17 290 1.298847383E+00 1.299716436E+00
1.000000E+10 1.000e+17 310 1.175401356E+00 1.215336826E+00
1.468000E+10 1.000e+17 310 1.183898420E+00 1.215345630E+00
2.154000E+10 1.000e+17 310 1.190202495E+00 1.215358398E+00
3.162000E+10 1.000e+17 310 1.194770904E+00 1.215377029E+00
4.642000E+10 1.000e+17 310 1.198028955E+00 1.215404087E+00
6.813000E+10 1.000e+17 310 1.200332356E+00 1.215443078E+00
1.000000E+11 1.000e+17 310 1.206329430E+00 1.215595290E+00
1.468000E+11 1.000e+17 310 1.207531435E+00 1.217088034E+00
2.154000E+11 1.000e+17 310 1.208883930E+00 1.219244167E+00
3.162000E+11 1.000e+17 310 1.214636717E+00 1.222336422E+00
4.642000E+11 1.000e+17 310 1.215222427E+00 1.226269377E+00
6.813000E+11 1.000e+17 310 1.220304800E+00 1.226546555E+00
1.000000E+12 1.000e+17 310 1.226477646E+00 1.226883834E+00
1.468000E+12 1.000e+17 310 1.226997694E+00 1.227271562E+00
2.154000E+12 1.000e+17 310 1.227521611E+00 1.227704681E+00
3.162000E+12 1.000e+17 310 1.228089911E+00 1.228213678E+00
4.642000E+12 1.000e+17 310 1.228543578E+00 1.228627319E+00
6.813000E+12 1.000e+17 310 1.239818266E+00 1.239879743E+00
1.000000E+13 1.000e+17 310 1.240202021E+00 1.240243650E+00
1.468000E+13 1.000e+17 310 1.240498531E+00 1.240527483E+00
2.154000E+13 1.000e+17 310 1.254034649E+00 1.255789238E+00
3.162000E+13 1.000e+17 310 1.265133501E+00 1.265215176E+00
4.642000E+13 1.000e+17 310 1.265415987E+00 1.265421183E+00
6.813000E+13 1.000e+17 310 1.274002816E+00 1.273999946E+00
1.000000E+14 1.000e+17 310 1.275248953E+00 1.275250981E+00
