N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+9 1.000e+16 290 1.176E+000 1.241E+000
1.468000E+9 1.000e+16 290 1.188E+000 1.241E+000
2.154000E+9 1.000e+16 290 1.198E+000 1.241E+000
3.162000E+9 1.000e+16 290 1.208E+000 1.241E+000
4.642000E+9 1.000e+16 290 1.215E+000 1.241E+000
6.813000E+9 1.000e+16 290 1.222E+000 1.241E+000
1.000000E+10 1.000e+16 290 1.228E+000 1.241E+000
1.468000E+10 1.000e+16 290 1.235E+000 1.241E+000
2.154000E+10 1.000e+16 290 1.237E+000 1.241E+000
3.162000E+10 1.000e+16 290 1.238E+000 1.241E+000
4.642000E+10 1.000e+16 290 1.239E+000 1.241E+000
6.813000E+10 1.000e+16 290 1.240E+000 1.241E+000
1.000000E+11 1.000e+16 290 1.240E+000 1.241E+000
1.468000E+11 1.000e+16 290 1.241E+000 1.241E+000
2.154000E+11 1.000e+16 290 1.241E+000 1.242E+000
3.162000E+11 1.000e+16 290 1.242E+000 1.242E+000
4.642000E+11 1.000e+16 290 1.242E+000 1.243E+000
6.813000E+11 1.000e+16 290 1.243E+000 1.244E+000
1.000000E+12 1.000e+16 290 1.247E+000 1.247E+000
1.468000E+12 1.000e+16 290 1.254E+000 1.254E+000
2.154000E+12 1.000e+16 290 1.263E+000 1.264E+000
3.162000E+12 1.000e+16 290 1.268E+000 1.268E+000
4.642000E+12 1.000e+16 290 1.269E+000 1.269E+000
6.813000E+12 1.000e+16 290 1.267E+000 1.267E+000
1.000000E+13 1.000e+16 290 1.280E+000 1.280E+000
