N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+9 300 1.000e+16 1.1801639E+00 1.1965596E+00
2.154000E+9 300 1.000e+16 1.1875634E+00 1.2000332E+00
4.642000E+9 300 1.000e+16 1.1982165E+00 1.2043349E+00
1.000000E+10 300 1.000e+16 1.1954000E+00 1.1981720E+00
2.154000E+10 300 1.000e+16 1.1967383E+00 1.1974741E+00
4.642000E+10 300 1.000e+16 1.2071247E+00 1.2073220E+00
1.000000E+11 300 1.000e+16 1.2095836E+00 1.2097523E+00
2.154000E+11 300 1.000e+16 1.2133947E+00 1.2134905E+00
4.642000E+11 300 1.000e+16 1.2107895E+00 1.2108370E+00
1.000000E+12 300 1.000e+16 1.2195620E+00 1.2196331E+00
2.154000E+12 300 1.000e+16 1.2312520E+00 1.2312601E+00
4.642000E+12 300 1.000e+16 1.2315491E+00 1.2315512E+00
1.000000E+13 300 1.000e+16 1.2339483E+00 1.2339498E+00
