N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.000e+17 290 1.158932469E+00 1.200510164E+00
1.468000E+10 1.000e+17 290 1.166544151E+00 1.200513312E+00
2.154000E+10 1.000e+17 290 1.173905817E+00 1.200517433E+00
3.162000E+10 1.000e+17 290 1.175726768E+00 1.200523107E+00
4.642000E+10 1.000e+17 290 1.186857325E+00 1.200531131E+00
6.813000E+10 1.000e+17 290 1.187820946E+00 1.200542574E+00
1.000000E+11 1.000e+17 290 1.188491039E+00 1.200558912E+00
1.468000E+11 1.000e+17 290 1.188961171E+00 1.200582065E+00
2.154000E+11 1.000e+17 290 1.199894883E+00 1.200614471E+00
3.162000E+11 1.000e+17 290 1.200170263E+00 1.200658982E+00
4.642000E+11 1.000e+17 290 1.200387244E+00 1.200718539E+00
6.813000E+11 1.000e+17 290 1.200571340E+00 1.201413440E+00
1.000000E+12 1.000e+17 290 1.200739166E+00 1.212006417E+00
1.468000E+12 1.000e+17 290 1.212016570E+00 1.216130811E+00
2.154000E+12 1.000e+17 290 1.220953862E+00 1.224842734E+00
3.162000E+12 1.000e+17 290 1.224999212E+00 1.225056136E+00
4.642000E+12 1.000e+17 290 1.225182776E+00 1.225220680E+00
6.813000E+12 1.000e+17 290 1.237375150E+00 1.237403452E+00
1.000000E+13 1.000e+17 290 1.237514751E+00 1.237533821E+00
1.468000E+13 1.000e+17 290 1.237638707E+00 1.237651581E+00
2.154000E+13 1.000e+17 290 1.250035935E+00 1.250045609E+00
3.162000E+13 1.000e+17 290 1.256260170E+00 1.256267176E+00
4.642000E+13 1.000e+17 290 1.259778313E+00 1.261008651E+00
6.813000E+13 1.000e+17 290 1.281935177E+00 1.282965571E+00
1.000000E+14 1.000e+17 290 1.298847383E+00 1.299716436E+00
