Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.244179320E+00 1.161252085E+00 8.292723500E-02 1.163442041E+00 1.115422237E+00 4.801980400E-02
1.468000E+10 1.244247012E+00 1.161841550E+00 8.240546200E-02 1.181279729E+00 1.128475805E+00 5.280392400E-02
2.154000E+10 1.244346210E+00 1.162686529E+00 8.165968100E-02 1.198276901E+00 1.139273589E+00 5.900331200E-02
3.162000E+10 1.244491517E+00 1.163884977E+00 8.060654000E-02 1.212151298E+00 1.144141040E+00 6.801025800E-02
4.642000E+10 1.244704151E+00 1.165562911E+00 7.914124000E-02 1.222886575E+00 1.151355703E+00 7.153087200E-02
6.813000E+10 1.245014845E+00 1.167865108E+00 7.714973700E-02 1.229026684E+00 1.157706597E+00 7.132008700E-02
1.000000E+11 1.245467885E+00 1.170938231E+00 7.452965400E-02 1.232288862E+00 1.163689181E+00 6.859968100E-02
1.468000E+11 1.246126530E+00 1.174060657E+00 7.206587300E-02 1.235519836E+00 1.169721462E+00 6.579837400E-02
2.154000E+11 1.247079976E+00 1.175759752E+00 7.132022400E-02 1.238678184E+00 1.174251879E+00 6.442630500E-02
3.162000E+11 1.248451768E+00 1.183363845E+00 6.508792300E-02 1.241834189E+00 1.180863638E+00 6.097055100E-02
4.642000E+11 1.250408649E+00 1.186803960E+00 6.360468900E-02 1.245167089E+00 1.185062131E+00 6.010495800E-02
6.813000E+11 1.253167722E+00 1.191317388E+00 6.185033400E-02 1.248946467E+00 1.190070804E+00 5.887566300E-02
1.000000E+12 1.255847733E+00 1.196697267E+00 5.915046600E-02 1.253509116E+00 1.195806977E+00 5.770213900E-02
1.468000E+12 1.257771284E+00 1.202423473E+00 5.534781100E-02 1.256805183E+00 1.201788501E+00 5.501668200E-02
2.154000E+12 1.259629034E+00 1.207291316E+00 5.233771800E-02 1.258928832E+00 1.206841623E+00 5.208720900E-02
3.162000E+12 1.261474630E+00 1.211729767E+00 4.974486300E-02 1.260995948E+00 1.211413215E+00 4.958273300E-02
4.642000E+12 1.263055536E+00 1.215822809E+00 4.723272700E-02 1.262672706E+00 1.215600425E+00 4.707228100E-02
6.813000E+12 1.266973691E+00 1.218848253E+00 4.812543800E-02 1.264703753E+00 1.218693004E+00 4.601074900E-02
1.000000E+13 1.271114845E+00 1.221358682E+00 4.975616300E-02 1.270529274E+00 1.221244029E+00 4.928524500E-02
