N_Fe N_B T n
1.000000E+9 300 1.000e+16 1.2376454E+00
1.468000E+9 300 1.000e+16 1.2376494E+00
2.154000E+9 300 1.000e+16 1.2376548E+00
3.162000E+9 300 1.000e+16 1.2376625E+00
4.642000E+9 300 1.000e+16 1.2377325E+00
6.813000E+9 300 1.000e+16 1.2377484E+00
1.000000E+10 300 1.000e+16 1.2377716E+00
1.468000E+10 300 1.000e+16 1.2378640E+00
2.154000E+10 300 1.000e+16 1.2379713E+00
3.162000E+10 300 1.000e+16 1.2381001E+00
4.642000E+10 300 1.000e+16 1.2382594E+00
6.813000E+10 300 1.000e+16 1.2385759E+00
1.000000E+11 300 1.000e+16 1.2389469E+00
1.468000E+11 300 1.000e+16 1.2395005E+00
2.154000E+11 300 1.000e+16 1.2403844E+00
3.162000E+11 300 1.000e+16 1.2427553E+00
4.642000E+11 300 1.000e+16 1.2443459E+00
6.813000E+11 300 1.000e+16 1.2403975E+00
1.000000E+12 300 1.000e+16 1.2485068E+00
1.468000E+12 300 1.000e+16 1.2524446E+00
2.154000E+12 300 1.000e+16 1.2539521E+00
3.162000E+12 300 1.000e+16 1.2534945E+00
4.642000E+12 300 1.000e+16 1.2543150E+00
6.813000E+12 300 1.000e+16 1.2631339E+00
1.000000E+13 300 1.000e+16 1.2697902E+00
