N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.000e+17 310 1.175401356E+00 1.215336826E+00
1.468000E+10 1.000e+17 310 1.183898420E+00 1.215345630E+00
2.154000E+10 1.000e+17 310 1.190202495E+00 1.215358398E+00
3.162000E+10 1.000e+17 310 1.194770904E+00 1.215377029E+00
4.642000E+10 1.000e+17 310 1.198028955E+00 1.215404087E+00
6.813000E+10 1.000e+17 310 1.200332356E+00 1.215443078E+00
1.000000E+11 1.000e+17 310 1.206329430E+00 1.215595290E+00
1.468000E+11 1.000e+17 310 1.207531435E+00 1.217088034E+00
2.154000E+11 1.000e+17 310 1.208883930E+00 1.219244167E+00
3.162000E+11 1.000e+17 310 1.214636717E+00 1.222336422E+00
4.642000E+11 1.000e+17 310 1.215222427E+00 1.226269377E+00
6.813000E+11 1.000e+17 310 1.220304800E+00 1.226546555E+00
1.000000E+12 1.000e+17 310 1.226477646E+00 1.226883834E+00
1.468000E+12 1.000e+17 310 1.226997694E+00 1.227271562E+00
2.154000E+12 1.000e+17 310 1.227521611E+00 1.227704681E+00
3.162000E+12 1.000e+17 310 1.228089911E+00 1.228213678E+00
4.642000E+12 1.000e+17 310 1.228543578E+00 1.228627319E+00
6.813000E+12 1.000e+17 310 1.239818266E+00 1.239879743E+00
1.000000E+13 1.000e+17 310 1.240202021E+00 1.240243650E+00
1.468000E+13 1.000e+17 310 1.240498531E+00 1.240527483E+00
2.154000E+13 1.000e+17 310 1.254034649E+00 1.255789238E+00
3.162000E+13 1.000e+17 310 1.265133501E+00 1.265215176E+00
4.642000E+13 1.000e+17 310 1.265415987E+00 1.265421183E+00
6.813000E+13 1.000e+17 310 1.274002816E+00 1.273999946E+00
1.000000E+14 1.000e+17 310 1.275248953E+00 1.275250981E+00
