N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 5.623E+16 340 1.800E-4 2.610002E-1 1.826800E+1 3.782250E-1 7.402210E+1
1.468000E+10 5.623E+16 340 1.800E-4 2.605989E-1 1.823410E+1 3.781240E-1 7.401820E+1
2.154000E+10 5.623E+16 340 1.800E-4 2.600141E-1 1.818470E+1 3.779770E-1 7.401250E+1
3.162000E+10 5.623E+16 340 1.800E-4 2.591648E-1 1.811290E+1 3.777630E-1 7.400400E+1
4.642000E+10 5.623E+16 340 1.800E-4 2.579373E-1 1.800940E+1 3.774530E-1 7.399160E+1
6.813000E+10 5.623E+16 340 1.800E-4 2.561753E-1 1.786090E+1 3.770100E-1 7.397330E+1
1.000000E+11 5.623E+16 340 1.800E-4 2.536712E-1 1.763940E+1 3.763810E-1 7.390040E+1
1.468000E+11 5.623E+16 340 1.800E-4 2.501615E-1 1.734540E+1 3.755000E-1 7.386080E+1
2.154000E+11 5.623E+16 340 1.800E-4 2.453364E-1 1.694340E+1 3.742900E-1 7.380610E+1
3.162000E+11 5.623E+16 340 1.800E-4 2.388726E-1 1.640890E+1 3.726660E-1 7.373190E+1
4.642000E+11 5.623E+16 340 1.800E-4 2.305004E-1 1.572270E+1 3.705470E-1 7.363330E+1
6.813000E+11 5.623E+16 340 1.800E-4 2.200994E-1 1.487860E+1 3.677750E-1 7.352280E+1
1.000000E+12 5.623E+16 340 1.800E-4 2.077892E-1 1.388060E+1 3.644220E-1 7.332300E+1
1.468000E+12 5.623E+16 340 1.800E-4 1.939542E-1 1.278510E+1 3.605400E-1 7.313290E+1
2.154000E+12 5.623E+16 340 1.800E-4 1.791594E-1 1.163020E+1 3.560040E-1 7.293800E+1
3.162000E+12 5.623E+16 340 1.800E-4 1.639860E-1 1.045370E+1 3.510610E-1 7.263400E+1
4.642000E+12 5.623E+16 340 1.800E-4 1.488872E-1 9.309100E+0 3.455470E-1 7.237780E+1
6.813000E+12 5.623E+16 340 1.800E-4 1.341487E-1 8.201700E+0 3.396450E-1 7.200330E+1
1.000000E+13 5.623E+16 340 1.800E-4 1.199444E-1 7.159500E+0 3.331420E-1 7.166990E+1
1.468000E+13 5.623E+16 340 1.800E-4 1.064110E-1 6.179900E+0 3.261470E-1 7.122680E+1
2.154000E+13 5.623E+16 340 1.800E-4 9.368056E-2 5.277800E+0 3.186720E-1 7.071650E+1
3.162000E+13 5.623E+16 340 1.800E-4 8.187319E-2 4.461100E+0 3.106750E-1 7.015430E+1
4.642000E+13 5.623E+16 340 1.800E-4 7.107719E-2 3.736000E+0 3.021330E-1 6.958870E+1
6.813000E+13 5.623E+16 340 1.800E-4 6.133866E-2 3.095800E+0 2.931130E-1 6.887550E+1
1.000000E+14 5.623E+16 340 1.800E-4 5.266190E-2 2.541300E+0 2.836140E-1 6.806130E+1
