N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.368298600E-02 -1.616818700E-02 -1.900688900E-02 -2.297122300E-02
1.600000000E+01 3.159648900E-02 3.156949600E-02 3.144918500E-02 3.067740500E-02
1.700000000E+01 5.222842100E-02 5.176708700E-02 5.011526600E-02 4.963402900E-02
1.549996187E+01 2.126520600E-02 2.017600200E-02 2.085898100E-02 2.061007000E-02
1.649996187E+01 5.112121700E-02 5.083036800E-02 5.096495300E-02 5.079520800E-02
1.674996808E+01 5.558309800E-02 5.406038400E-02 5.445624000E-02 5.456199000E-02
1.624993176E+01 4.092134400E-02 4.116283300E-02 4.106585800E-02 4.091892800E-02
1.574996808E+01 2.648639100E-02 2.641171500E-02 2.565445100E-02 2.606608000E-02
1.524993176E+01 9.977146000E-03 9.170188000E-03 8.740778000E-03 8.005295000E-03
