d Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.000000000E+01 1.318961089E+00 1.233687450E+00 8.527363900E-02 1.259132370E+00 1.218432617E+00 4.069975300E-02 5.982871900E-02 1.525483300E-02
150 1.016672606E+01 1.319061412E+00 1.234210781E+00 8.485063100E-02 1.265774080E+00 1.222965452E+00 4.280862800E-02 5.328733200E-02 1.124532900E-02
150 1.033324570E+01 1.319207722E+00 1.234941983E+00 8.426573900E-02 1.272140123E+00 1.226698804E+00 4.544131900E-02 4.706759900E-02 8.243179000E-03
150 1.049996187E+01 1.319420837E+00 1.235945154E+00 8.347568300E-02 1.278500387E+00 1.229923321E+00 4.857706600E-02 4.092045000E-02 6.021833000E-03
150 1.066670514E+01 1.319730425E+00 1.237289783E+00 8.244064200E-02 1.284928996E+00 1.232886566E+00 5.204243000E-02 3.480142900E-02 4.403217000E-03
150 1.083333839E+01 1.320178208E+00 1.239042249E+00 8.113595900E-02 1.291341219E+00 1.235799273E+00 5.554194600E-02 2.883698900E-02 3.242976000E-03
150 1.100000000E+01 1.320821741E+00 1.241254966E+00 7.956677500E-02 1.297571476E+00 1.238831739E+00 5.873973700E-02 2.325026500E-02 2.423227000E-03
150 1.116672606E+01 1.321738153E+00 1.243956808E+00 7.778134500E-02 1.303470444E+00 1.242107624E+00 6.136282000E-02 1.826770900E-02 1.849184000E-03
150 1.133324570E+01 1.323026443E+00 1.247149034E+00 7.587740900E-02 1.308983920E+00 1.245702188E+00 6.328173200E-02 1.404252300E-02 1.446846000E-03
150 1.149996187E+01 1.324805795E+00 1.250808896E+00 7.399689900E-02 1.314184200E+00 1.249648086E+00 6.453611400E-02 1.062159500E-02 1.160810000E-03
150 1.166670514E+01 1.327206107E+00 1.254900115E+00 7.230599200E-02 1.319249403E+00 1.253948458E+00 6.530094500E-02 7.956704000E-03 9.516570000E-04
150 1.183333839E+01 1.330347320E+00 1.259386143E+00 7.096117700E-02 1.324407114E+00 1.258593279E+00 6.581383500E-02 5.940206000E-03 7.928640000E-04
150 1.200000000E+01 1.334307844E+00 1.264239540E+00 7.006830400E-02 1.329864987E+00 1.263572036E+00 6.629295100E-02 4.442857000E-03 6.675040000E-04
150 1.216672606E+01 1.339090776E+00 1.269442594E+00 6.964818200E-02 1.335749837E+00 1.268877503E+00 6.687233400E-02 3.340939000E-03 5.650910000E-04
150 1.233324570E+01 1.344605191E+00 1.274981171E+00 6.962402000E-02 1.342074951E+00 1.274501950E+00 6.757300100E-02 2.530240000E-03 4.792210000E-04
150 1.249996187E+01 1.350678865E+00 1.280835548E+00 6.984331700E-02 1.348748865E+00 1.280429500E+00 6.831936500E-02 1.930000000E-03 4.060480000E-04
150 1.266670514E+01 1.357101730E+00 1.286984990E+00 7.011674000E-02 1.355620701E+00 1.286641955E+00 6.897874600E-02 1.481029000E-03 3.430350000E-04
150 1.283333839E+01 1.363677179E+00 1.293406342E+00 7.027083700E-02 1.362535807E+00 1.293117629E+00 6.941817800E-02 1.141372000E-03 2.887130000E-04
150 1.300000000E+01 1.370253479E+00 1.300035988E+00 7.021749100E-02 1.369371792E+00 1.299794232E+00 6.957756000E-02 8.816870000E-04 2.417560000E-04
180 1.000000000E+01 1.313691623E+00 1.230793045E+00 8.289857800E-02 1.257116036E+00 1.215835272E+00 4.128076400E-02 5.657558700E-02 1.495777300E-02
180 1.016672606E+01 1.313825151E+00 1.231493082E+00 8.233206900E-02 1.263805834E+00 1.220585913E+00 4.321992100E-02 5.001931700E-02 1.090716900E-02
180 1.033324570E+01 1.314019646E+00 1.232452259E+00 8.156738700E-02 1.270100803E+00 1.224532213E+00 4.556859000E-02 4.391884300E-02 7.920046000E-03
180 1.049996187E+01 1.314302326E+00 1.233735487E+00 8.056683900E-02 1.276297385E+00 1.227989891E+00 4.830749400E-02 3.800494100E-02 5.745596000E-03
180 1.066670514E+01 1.314711595E+00 1.235403319E+00 7.930827600E-02 1.282502767E+00 1.231216695E+00 5.128607200E-02 3.220882800E-02 4.186624000E-03
180 1.083333839E+01 1.315300666E+00 1.237501354E+00 7.779931200E-02 1.288673092E+00 1.234415567E+00 5.425752500E-02 2.662757400E-02 3.085787000E-03
180 1.100000000E+01 1.316141363E+00 1.240051642E+00 7.608972100E-02 1.294690713E+00 1.237734099E+00 5.695661400E-02 2.145065000E-02 2.317543000E-03
180 1.116672606E+01 1.317326891E+00 1.243050725E+00 7.427616600E-02 1.300456798E+00 1.241267181E+00 5.918961700E-02 1.687009300E-02 1.783544000E-03
180 1.133324570E+01 1.318971304E+00 1.246475475E+00 7.249582900E-02 1.305961857E+00 1.245066165E+00 6.089569200E-02 1.300944700E-02 1.409310000E-03
180 1.149996187E+01 1.321202279E+00 1.250294305E+00 7.090797400E-02 1.311306559E+00 1.249153190E+00 6.215336900E-02 9.895720000E-03 1.141115000E-03
180 1.166670514E+01 1.324143477E+00 1.254479095E+00 6.966438200E-02 1.316670997E+00 1.253536851E+00 6.313414600E-02 7.472480000E-03 9.422440000E-04
