True_Labels;Predicted_Values
11.49968708;11.526778
11.16731733;11.198588
14.0;13.918464
10.66651798;10.667681
13.83314711;13.833383
10.16731733;10.143569
12.66651798;12.698913
11.33243846;11.32799
11.0;10.981488
12.83314711;12.8326845
12.83314711;12.846213
13.16731733;13.16843
10.0;10.002671
14.0;13.997518
11.83314711;11.841336
12.16731733;12.167582
10.66651798;10.659201
13.0;13.000968
13.49968708;13.417476
12.0;11.998237
12.33243846;12.435011
10.16731733;10.246704
11.66651798;11.728911
11.49968708;11.63058
13.16731733;13.127684
10.0;10.020225
10.33243846;10.398341
13.0;12.9827385
11.0;11.01685
12.33243846;12.2313595
12.49968708;12.427808
11.16731733;11.187136
12.66651798;12.665449
12.49968708;12.478752
11.16731733;11.166869
12.33243846;12.329383
10.49968708;10.508514
12.49968708;12.496745
12.0;11.994661
13.49968708;13.5067625
10.0;10.000663
12.33243846;12.288987
10.33243846;10.321711
12.0;11.721307
13.83314711;13.831986
10.49968708;10.581576
10.0;10.0275955
10.49968708;10.506894
11.33243846;11.561972
11.49968708;11.534688
13.16731733;13.170973
10.66651798;10.664872
11.33243846;11.332052
12.66651798;12.65028
13.0;13.000017
13.49968708;13.340457
12.33243846;12.252752
11.49968708;11.582866
10.16731733;10.163537
13.49968708;13.517075
13.0;12.970957
10.33243846;10.347213
13.16731733;13.16887
12.33243846;12.194932
11.83314711;11.905323
13.16731733;13.142854
12.66651798;12.6898775
10.49968708;10.53669
12.16731733;11.802654
11.66651798;11.6604185
12.16731733;12.182547
11.83314711;11.855955
12.0;12.011129
12.66651798;12.546233
12.49968708;12.450997
11.49968708;11.557473
14.0;13.919321
10.0;10.019854
11.33243846;11.327785
11.66651798;11.66631
10.16731733;10.18246
14.0;13.948394
11.49968708;11.702872
13.66651798;13.65459
11.0;11.013534
11.49968708;11.6123295
13.83314711;13.855741
12.33243846;12.396812
11.0;11.037636
10.66651798;10.822589
13.0;13.008343
12.0;11.769476
10.49968708;10.502952
10.0;10.011509
10.0;10.004664
13.49968708;13.491161
11.49968708;11.467813
10.66651798;10.670738
12.49968708;12.552964
10.66651798;11.562088
14.0;13.993771
13.16731733;12.950985
13.66651798;13.67504
12.49968708;12.350619
11.83314711;11.936796
11.16731733;11.806609
10.16731733;10.186266
13.49968708;13.518045
10.16731733;10.180613
10.49968708;10.520484
14.0;13.971814
13.83314711;13.780508
12.16731733;12.16073
11.16731733;11.148181
12.16731733;12.195151
13.0;13.00082
13.0;13.001133
11.66651798;11.660738
11.49968708;11.500316
14.0;13.9999895
12.33243846;12.223618
13.83314711;13.635125
10.16731733;10.147126
14.0;13.976095
13.66651798;13.668562
12.83314711;12.824468
13.16731733;13.152375
10.49968708;10.500567
13.16731733;13.164451
13.0;13.00679
12.49968708;12.540149
13.16731733;13.193457
14.0;13.965058
10.83314711;10.835642
13.83314711;13.779494
10.66651798;10.668065
11.33243846;11.32844
13.66651798;13.659434
11.16731733;11.227185
11.16731733;11.185163
11.16731733;11.165766
13.16731733;13.166399
13.0;13.000017
12.16731733;11.858132
12.49968708;12.454555
12.33243846;12.294509
11.0;11.037352
12.16731733;12.148425
13.83314711;13.849202
13.33243846;13.334055
10.49968708;10.675102
12.0;12.025677
13.83314711;13.829731
11.83314711;11.845038
11.49968708;11.502836
13.83314711;13.814065
10.83314711;10.827075
10.33243846;10.346042
12.83314711;12.793495
12.66651798;12.664123
12.33243846;12.329554
10.49968708;10.446041
12.66651798;12.526275
13.0;13.004694
14.0;13.870066
12.16731733;12.186825
12.16731733;12.199886
13.33243846;13.331898
13.0;13.015558
11.49968708;11.575981
11.83314711;11.844694
13.0;13.000017
13.16731733;13.252953
12.66651798;12.028019
10.83314711;10.84777
10.33243846;10.356887
13.33243846;13.342741
14.0;13.982364
13.83314711;13.810138
12.66651798;12.684215
13.83314711;13.830205
12.66651798;12.4569025
13.49968708;13.508778
10.33243846;10.268195
12.49968708;12.557704
10.66651798;10.746221
11.33243846;11.222419
12.33243846;12.28393
11.0;11.048378
11.16731733;11.258192
10.66651798;10.66964
11.33243846;11.326854
11.33243846;11.332418
13.16731733;13.179126
11.33243846;11.328638
11.0;10.981306
13.0;12.9999895
11.0;10.925155
12.49968708;12.475368
11.16731733;11.236939
10.33243846;10.33244
11.66651798;11.609423
13.49968708;13.493574
11.33243846;11.404768
11.16731733;11.148421
12.33243846;12.336872
10.16731733;10.145323
11.49968708;11.489492
10.66651798;10.6982975
13.66651798;13.644136
12.49968708;12.509787
11.33243846;11.332418
11.16731733;11.160017
12.0;11.982611
11.33243846;11.371581
11.49968708;11.50081
13.49968708;13.509736
10.83314711;10.830961
13.16731733;13.162125
12.33243846;12.388723
13.0;13.009313
11.0;10.999977
12.83314711;12.81846
10.66651798;10.660158
11.16731733;11.165543
13.83314711;13.447395
10.83314711;10.835049
14.0;13.980934
11.33243846;11.390267
11.0;11.000011
13.33243846;13.335653
10.83314711;10.845675
10.33243846;10.340504
12.33243846;12.323248
12.33243846;12.331448
10.83314711;10.974547
10.0;10.015559
13.49968708;13.480717
12.33243846;12.316711
10.0;10.022794
13.33243846;13.333971
13.49968708;13.546611
12.0;12.157215
13.66651798;13.649869
10.49968708;10.626992
12.83314711;12.839624
12.83314711;12.804465
13.66651798;13.571909
13.16731733;13.169859
11.49968708;11.606397
10.49968708;10.806222
12.33243846;12.146048
14.0;13.979519
11.16731733;11.07103
10.33243846;10.27469
11.0;11.347476
12.33243846;12.328203
10.66651798;10.682186
14.0;13.999155
13.66651798;13.663434
10.16731733;10.167103
13.16731733;13.163659
10.83314711;10.832604
13.66651798;13.683238
10.49968708;10.574173
10.83314711;10.877384
10.49968708;10.499679
12.83314711;12.826778
13.33243846;13.35455
10.0;10.006313
11.49968708;11.485197
11.83314711;11.84187
10.66651798;10.667904
14.0;13.998026
12.16731733;12.068914
11.0;11.023066
11.66651798;11.708253
10.66651798;11.186209
10.66651798;11.121019
13.66651798;13.657884
12.33243846;12.255134
12.83314711;12.8326845
11.66651798;11.721356
12.16731733;11.918224
12.16731733;12.108562
10.66651798;10.60967
10.83314711;10.832753
11.83314711;11.900843
10.33243846;10.324933
13.66651798;13.672226
10.66651798;10.541568
12.16731733;12.286119
12.49968708;12.556087
11.0;11.01575
13.0;13.06435
13.83314711;13.830709
13.0;12.981895
13.66651798;13.567213
12.16731733;12.178574
12.33243846;12.336097
11.33243846;11.467198
10.49968708;10.509046
11.33243846;11.379253
11.33243846;11.308846
11.16731733;11.166854
11.49968708;11.505275
11.16731733;11.168058
11.33243846;11.362648
13.66651798;13.705334
10.49968708;10.49592
13.0;13.004127
10.33243846;10.312606
10.49968708;10.496656
13.33243846;13.277553
10.0;9.999993
12.33243846;12.074755
11.16731733;11.211293
10.83314711;10.887555
11.66651798;11.746253
11.66651798;11.616293
13.0;13.0092535
11.83314711;11.917912
13.66651798;13.678743
11.0;11.002834
10.0;10.012084
13.49968708;13.426474
