fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_310 001_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.980978657E-15 1.000000000E+20 1.178236581E+00 6.696653740E-16 1.663823848E-04 
001_310_SRH 001_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.996667083E-15 1.000000000E+20 1.232367045E+00 6.062630290E-16 3.479004010E-04 
002_310 002_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.250758228E-15 1.000000000E+20 1.197581126E+00 9.443916133E-16 1.854407619E-04 
002_310_SRH 002_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.301079551E-15 1.000000000E+20 1.232950865E+00 8.884146211E-16 3.560076229E-04 
003_310 003_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.023631949E-15 1.000000000E+20 1.217548533E+00 1.350342214E-15 2.260517005E-04 
003_310_SRH 003_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.116537791E-15 1.000000000E+20 1.233759781E+00 1.301075764E-15 3.677401178E-04 
004_310 004_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.142906716E-14 1.000000000E+20 1.226604822E+00 1.946637650E-15 2.714617043E-04 
004_310_SRH 004_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.591622613E-15 1.000000000E+20 1.234854092E+00 1.903952855E-15 3.846124250E-04 
005_310 005_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.461614885E-14 1.000000000E+20 1.231220245E+00 2.823395214E-15 3.169051884E-04 
005_310_SRH 005_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.187829745E-14 1.000000000E+20 1.236288096E+00 2.783709054E-15 4.086612174E-04 
006_310 006_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.871953171E-14 1.000000000E+20 1.234724483E+00 4.103621307E-15 3.678436683E-04 
006_310_SRH 006_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.610699080E-14 1.000000000E+20 1.238091220E+00 4.066196656E-15 4.425194380E-04 
007_310 007_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.382891628E-14 1.000000000E+20 1.238034333E+00 5.969491020E-15 4.283394643E-04 
007_310_SRH 007_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.136225385E-14 1.000000000E+20 1.240246077E+00 5.934610366E-15 4.894047628E-04 
008_310 008_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.998608591E-14 1.000000000E+20 1.241234084E+00 8.688777434E-15 5.023048559E-04 
008_310_SRH 008_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.767855458E-14 1.000000000E+20 1.242672830E+00 8.656609126E-15 5.529560701E-04 
009_310 009_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.721906500E-14 1.000000000E+20 1.244306996E+00 1.265416553E-14 5.940635633E-04 
