N_Fe N_B T n_Fe n_Fe_calk n_Fe n_Fe_calk
1.000000000E+10 1.000000000E+16 290 1.169466141E+00 1.169466141E+00 1.176924464E+0 1.176924464E+0
1.000000000E+10 1.000000000E+16 295 1.176584684E+00 1.176584684E+00 1.179820241E+0 1.179820241E+0
1.000000000E+10 1.000000000E+16 300 1.174032229E+00 1.174032229E+00 1.182548940E+0 1.182548940E+0
1.000000000E+10 1.000000000E+16 305 1.180418445E+00 1.180418445E+00 1.184950071E+0 1.184950071E+0
1.000000000E+10 1.000000000E+16 310 1.181841063E+00 1.181841063E+00 1.186727985E+0 1.186727985E+0
1.000000000E+10 1.000000000E+16 315 1.182380575E+00 1.182380575E+00 1.187361618E+0 1.187361618E+0
1.000000000E+10 1.000000000E+16 320 1.186529101E+00 1.186529101E+00 1.185989231E+0 1.185989231E+0
1.000000000E+10 1.000000000E+16 325 1.188879694E+00 1.188879694E+00 1.181322637E+0 1.181322637E+0
1.000000000E+10 1.000000000E+16 330 1.179407327E+00 1.179407327E+00 1.171749372E+0 1.171749372E+0
1.000000000E+10 1.000000000E+16 335 1.164171149E+00 1.164171149E+00 1.155884523E+0 1.155884523E+0
1.000000000E+10 1.000000000E+16 340 1.151821370E+00 1.151821370E+00 1.133652063E+0 1.133652063E+0
1.468000015E+10 1.000000000E+16 290 1.169471699E+00 1.169471699E+00 1.176943411E+0 1.176943411E+0
1.468000015E+10 1.000000000E+16 295 1.176592487E+00 1.176592487E+00 1.179860630E+0 1.179860630E+0
1.468000015E+10 1.000000000E+16 300 1.174042260E+00 1.174042260E+00 1.182632790E+0 1.182632790E+0
1.468000015E+10 1.000000000E+16 305 1.180432682E+00 1.180432682E+00 1.185119555E+0 1.185119555E+0
1.468000015E+10 1.000000000E+16 310 1.181891019E+00 1.181891019E+00 1.187060939E+0 1.187060939E+0
1.468000015E+10 1.000000000E+16 315 1.182447037E+00 1.182447037E+00 1.187994814E+0 1.187994814E+0
1.468000015E+10 1.000000000E+16 320 1.186563856E+00 1.186563856E+00 1.187146075E+0 1.187146075E+0
1.468000015E+10 1.000000000E+16 325 1.188928878E+00 1.188928878E+00 1.183326884E+0 1.183326884E+0
1.468000015E+10 1.000000000E+16 330 1.179465908E+00 1.179465908E+00 1.174977597E+0 1.174977597E+0
1.468000015E+10 1.000000000E+16 335 1.164376116E+00 1.164376116E+00 1.160593526E+0 1.160593526E+0
1.468000015E+10 1.000000000E+16 340 1.151869896E+00 1.151869896E+00 1.139701517E+0 1.139701517E+0
2.154000005E+10 1.000000000E+16 290 1.169479649E+00 1.169479649E+00 1.176959185E+0 1.176959185E+0
2.154000005E+10 1.000000000E+16 295 1.176603812E+00 1.176603812E+00 1.179894346E+0 1.179894346E+0
2.154000005E+10 1.000000000E+16 300 1.174056972E+00 1.174056972E+00 1.182702990E+0 1.182702990E+0
2.154000005E+10 1.000000000E+16 305 1.180453380E+00 1.180453380E+00 1.185261902E+0 1.185261902E+0
2.154000005E+10 1.000000000E+16 310 1.181964252E+00 1.181964252E+00 1.187341673E+0 1.187341673E+0
2.154000005E+10 1.000000000E+16 315 1.182544456E+00 1.182544456E+00 1.188531467E+0 1.188531467E+0
2.154000005E+10 1.000000000E+16 320 1.186614473E+00 1.186614473E+00 1.188133808E+0 1.188133808E+0
2.154000005E+10 1.000000000E+16 325 1.189000010E+00 1.189000010E+00 1.185057083E+0 1.185057083E+0
2.154000005E+10 1.000000000E+16 330 1.179551865E+00 1.179551865E+00 1.177810261E+0 1.177810261E+0
2.154000005E+10 1.000000000E+16 335 1.164674341E+00 1.164674341E+00 1.164821789E+0 1.164821789E+0
2.154000005E+10 1.000000000E+16 340 1.151940581E+00 1.151940581E+00 1.145297103E+0 1.145297103E+0
3.162000032E+10 1.000000000E+16 290 1.169491112E+00 1.169491112E+00 1.176972418E+0 1.176972418E+0
3.162000032E+10 1.000000000E+16 295 1.176620175E+00 1.176620175E+00 1.179922706E+0 1.179922706E+0
3.162000032E+10 1.000000000E+16 300 1.174078311E+00 1.174078311E+00 1.182762200E+0 1.182762200E+0
3.162000032E+10 1.000000000E+16 305 1.180483360E+00 1.180483360E+00 1.185382328E+0 1.185382328E+0
3.162000032E+10 1.000000000E+16 310 1.182071660E+00 1.182071660E+00 1.187580024E+0 1.187580024E+0
3.162000032E+10 1.000000000E+16 315 1.182687122E+00 1.182687122E+00 1.188989223E+0 1.188989223E+0
3.162000032E+10 1.000000000E+16 320 1.186688121E+00 1.186688121E+00 1.188981881E+0 1.188981881E+0
3.162000032E+10 1.000000000E+16 325 1.189104879E+00 1.189104879E+00 1.186557157E+0 1.186557157E+0
3.162000032E+10 1.000000000E+16 330 1.179676416E+00 1.179676416E+00 1.180301948E+0 1.180301948E+0
3.162000032E+10 1.000000000E+16 335 1.165105948E+00 1.165105948E+00 1.168618829E+0 1.168618829E+0
3.162000032E+10 1.000000000E+16 340 1.152042829E+00 1.152042829E+00 1.150460954E+0 1.150460954E+0
4.642000041E+10 1.000000000E+16 290 1.169507748E+00 1.169507748E+00 1.176983563E+0 1.176983563E+0
4.642000041E+10 1.000000000E+16 295 1.176644050E+00 1.176644050E+00 1.179946653E+0 1.179946653E+0
