N_Fe N_B T n_Fe n_Fe_calk n_Fe n_Fe_calk
1.000000000E+10 1.000000000E+15 290 1.144246025E+00 1.144246025E+00 1.000493024E+0 1.000493024E+0
1.000000000E+10 1.000000000E+15 295 1.135289575E+00 1.135289575E+00 1.000496880E+0 1.000496880E+0
1.000000000E+10 1.000000000E+15 300 1.117769420E+00 1.117769420E+00 1.000492711E+0 1.000492711E+0
1.000000000E+10 1.000000000E+15 305 1.096245934E+00 1.096245934E+00 1.000469686E+0 1.000469686E+0
1.000000000E+10 1.000000000E+15 310 1.072668248E+00 1.072668248E+00 1.000411106E+0 1.000411106E+0
1.000000000E+10 1.000000000E+15 315 1.033792871E+00 1.033792871E+00 1.000309840E+0 1.000309840E+0
1.000000000E+10 1.000000000E+15 320 1.007929669E+00 1.007929669E+00 1.000193175E+0 1.000193175E+0
1.000000000E+10 1.000000000E+15 325 1.007189979E+00 1.007189979E+00 1.000102414E+0 1.000102414E+0
1.000000000E+10 1.000000000E+15 330 1.008153893E+00 1.008153893E+00 1.000049431E+0 1.000049431E+0
1.000000000E+10 1.000000000E+15 335 1.010357508E+00 1.010357508E+00 1.000023004E+0 1.000023004E+0
1.000000000E+10 1.000000000E+15 340 1.017819021E+00 1.017819021E+00 1.000010658E+0 1.000010658E+0
1.468000015E+10 1.000000000E+15 290 1.144305302E+00 1.144305302E+00 1.000676909E+0 1.000676909E+0
1.468000015E+10 1.000000000E+15 295 1.135419983E+00 1.135419983E+00 1.000682204E+0 1.000682204E+0
1.468000015E+10 1.000000000E+15 300 1.117794604E+00 1.117794604E+00 1.000676480E+0 1.000676480E+0
1.468000015E+10 1.000000000E+15 305 1.096657587E+00 1.096657587E+00 1.000644867E+0 1.000644867E+0
1.468000015E+10 1.000000000E+15 310 1.072684800E+00 1.072684800E+00 1.000564438E+0 1.000564438E+0
1.468000015E+10 1.000000000E+15 315 1.034212378E+00 1.034212378E+00 1.000425402E+0 1.000425402E+0
1.468000015E+10 1.000000000E+15 320 1.007955384E+00 1.007955384E+00 1.000265224E+0 1.000265224E+0
1.468000015E+10 1.000000000E+15 325 1.007187774E+00 1.007187774E+00 1.000140611E+0 1.000140611E+0
1.468000015E+10 1.000000000E+15 330 1.008148339E+00 1.008148339E+00 1.000067868E+0 1.000067868E+0
1.468000015E+10 1.000000000E+15 335 1.010342856E+00 1.010342856E+00 1.000031583E+0 1.000031583E+0
1.468000015E+10 1.000000000E+15 340 1.017780748E+00 1.017780748E+00 1.000014633E+0 1.000014633E+0
2.154000005E+10 1.000000000E+15 290 1.144392211E+00 1.144392211E+00 1.000938089E+0 1.000938089E+0
2.154000005E+10 1.000000000E+15 295 1.135609877E+00 1.135609877E+00 1.000945426E+0 1.000945426E+0
2.154000005E+10 1.000000000E+15 300 1.117831164E+00 1.117831164E+00 1.000937493E+0 1.000937493E+0
2.154000005E+10 1.000000000E+15 305 1.097189633E+00 1.097189633E+00 1.000893683E+0 1.000893683E+0
2.154000005E+10 1.000000000E+15 310 1.072708195E+00 1.072708195E+00 1.000782222E+0 1.000782222E+0
2.154000005E+10 1.000000000E+15 315 1.034823674E+00 1.034823674E+00 1.000589540E+0 1.000589540E+0
2.154000005E+10 1.000000000E+15 320 1.007862082E+00 1.007862082E+00 1.000367558E+0 1.000367558E+0
2.154000005E+10 1.000000000E+15 325 1.007204974E+00 1.007204974E+00 1.000194865E+0 1.000194865E+0
2.154000005E+10 1.000000000E+15 330 1.008140425E+00 1.008140425E+00 1.000094054E+0 1.000094054E+0
2.154000005E+10 1.000000000E+15 335 1.010321660E+00 1.010321660E+00 1.000043770E+0 1.000043770E+0
2.154000005E+10 1.000000000E+15 340 1.017725223E+00 1.017725223E+00 1.000020279E+0 1.000020279E+0
3.162000032E+10 1.000000000E+15 290 1.144519553E+00 1.144519553E+00 1.001309955E+0 1.001309955E+0
3.162000032E+10 1.000000000E+15 295 1.135884925E+00 1.135884925E+00 1.001320202E+0 1.001320202E+0
3.162000032E+10 1.000000000E+15 300 1.117884023E+00 1.117884023E+00 1.001309124E+0 1.001309124E+0
3.162000032E+10 1.000000000E+15 305 1.097960106E+00 1.097960106E+00 1.001247947E+0 1.001247947E+0
3.162000032E+10 1.000000000E+15 310 1.072743323E+00 1.072743323E+00 1.001092302E+0 1.001092302E+0
3.162000032E+10 1.000000000E+15 315 1.035711264E+00 1.035711264E+00 1.000823239E+0 1.000823239E+0
3.162000032E+10 1.000000000E+15 320 1.007890575E+00 1.007890575E+00 1.000513262E+0 1.000513262E+0
3.162000032E+10 1.000000000E+15 325 1.007189084E+00 1.007189084E+00 1.000272111E+0 1.000272111E+0
3.162000032E+10 1.000000000E+15 330 1.008129188E+00 1.008129188E+00 1.000131338E+0 1.000131338E+0
3.162000032E+10 1.000000000E+15 335 1.010291213E+00 1.010291213E+00 1.000061120E+0 1.000061120E+0
