T nFsrh nFBsrh dnsrh nF nFB dn
290 1.148621372E+00 1.000065899E+0 1.485554730E-01 1.148621372E+00 1.000065899E+0 1.485554730E-01
295 1.151762648E+00 1.000063839E+0 1.516988090E-01 1.151762648E+00 1.000063839E+0 1.516988090E-01
300 1.138447132E+00 1.000061926E+0 1.383852060E-01 1.138447132E+00 1.000061926E+0 1.383852060E-01
305 1.123450762E+00 1.000060146E+0 1.233906160E-01 1.123450762E+00 1.000060146E+0 1.233906160E-01
310 1.100300978E+00 1.000058489E+0 1.002424890E-01 1.100300978E+00 1.000058489E+0 1.002424890E-01
315 1.078462118E+00 1.000056942E+0 7.840517600E-02 1.078462118E+00 1.000056942E+0 7.840517600E-02
320 1.040722711E+00 1.000055496E+0 4.066721500E-02 1.040722711E+00 1.000055496E+0 4.066721500E-02
325 1.009572070E+00 1.000054143E+0 9.517927000E-03 1.009572070E+00 1.000054143E+0 9.517927000E-03
330 1.008648803E+00 1.000052874E+0 8.595929000E-03 1.008648803E+00 1.000052874E+0 8.595929000E-03
335 1.009598967E+00 1.000051684E+0 9.547283000E-03 1.009598967E+00 1.000051684E+0 9.547283000E-03
340 1.011849294E+00 1.000050565E+0 1.179872900E-02 1.011849294E+00 1.000050565E+0 1.179872900E-02
