N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
2.0e+12 1.4e+15 340 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 4.516 6.202 1.163 0.312
2.0e+12 1.4e+15 320 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 8.054 8.788 0.629 0.288
2.0e+12 1.4e+15 300 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 11.189 14.888 2.133 0
6.6e+12 1.4e+15 340 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 16.092 19.661 3.774 0.933
6.6e+12 1.4e+15 320 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 17.576 19.837 3.086 0.431
6.6e+12 1.4e+15 300 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 19.745 21.253 1.042 0.271
1.9e+13 1.4e+15 340 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 22.785 29.278 6.464 2.536
1.9e+13 1.4e+15 320 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 24.342 29.552 4.658 3.039
1.9e+13 1.4e+15 300 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 25.345 28.922 3.421 3.31
2.9e+13 1.4e+15 340 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 21.951 36.842 12.105 7.357
2.9e+13 1.4e+15 320 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 24.516 35.772 13.551 1.887
2.9e+13 1.4e+15 300 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 25.862 35.606 12.889 -0.998
3.7e+12 1.4e+15 340 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 12.179 18.317 11.765 0.394
3.7e+12 1.4e+15 320 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 13.287 17.647 12.632 0.398
3.7e+12 1.4e+15 300 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 15.050 18.333 10.112 0
9.8e+12 1.4e+15 340 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 16.959 23.214 13.386 -4.63
9.8e+12 1.4e+15 320 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 18.646 22.65 14.876 1.532
9.8e+12 1.4e+15 305 3.8e-4 148 24.2 0.255 64.0 155 25.8 0.258 64.2 20.160 23.00 14.783 5.224
