Ytrue por Lambda Ypred RelError
3.193300e+00 1.100000e+01 2.165000e+03 3.189457e+00 1.203607e-03
2.407660e+00 4.000000e+01 2.310000e+03 2.417730e+00 4.182347e-03
3.400990e+00 1.000000e+00 4.243000e+03 3.393270e+00 2.270042e-03
3.016940e+00 1.700000e+01 4.424000e+03 3.020876e+00 1.304597e-03
1.697950e+00 6.400000e+01 5.192000e+03 1.711808e+00 8.161327e-03
3.076930e+00 1.900000e+01 1.090000e+03 3.080943e+00 1.304070e-03
1.500980e+00 7.200000e+01 2.089000e+03 1.505558e+00 3.049861e-03
2.856230e+00 2.300000e+01 5.855000e+03 2.867102e+00 3.806529e-03
3.281110e+00 6.000000e+00 4.760000e+03 3.279329e+00 5.427463e-04
1.532210e+00 7.100000e+01 3.945000e+03 1.526459e+00 3.753113e-03
3.068840e+00 1.600000e+01 1.784000e+03 3.082685e+00 4.511526e-03
1.922390e+00 6.000000e+01 7.420000e+02 1.919915e+00 1.287572e-03
2.239440e+00 4.600000e+01 2.479000e+03 2.240226e+00 3.509916e-04
2.004690e+00 5.400000e+01 4.274000e+03 1.997673e+00 3.500154e-03
3.379620e+00 1.000000e+01 8.880000e+02 3.381333e+00 5.069800e-04
3.300130e+00 7.000000e+00 1.727000e+03 3.302826e+00 8.168083e-04
3.520760e+00 8.000000e+00 7.360000e+02 3.532411e+00 3.309306e-03
3.244410e+00 9.000000e+00 2.106000e+03 3.238592e+00 1.793235e-03
3.327570e+00 4.000000e+00 4.063000e+03 3.327169e+00 1.204373e-04
1.400840e+00 7.600000e+01 2.550000e+03 1.405616e+00 3.409578e-03
3.406690e+00 1.000000e+00 2.604000e+03 3.408801e+00 6.197012e-04
1.518830e+00 7.100000e+01 1.725000e+03 1.534302e+00 1.018665e-02
2.671190e+00 3.200000e+01 1.543000e+03 2.670837e+00 1.323368e-04
3.113990e+00 1.500000e+01 1.500000e+03 3.126465e+00 4.006065e-03
1.411210e+00 7.600000e+01 3.980000e+03 1.403885e+00 5.190547e-03
2.065210e+00 5.200000e+01 4.237000e+03 2.056104e+00 4.409431e-03
1.984590e+00 5.400000e+01 4.652000e+03 1.997133e+00 6.320395e-03
1.858960e+00 5.900000e+01 3.593000e+03 1.854428e+00 2.437687e-03
1.670860e+00 6.500000e+01 4.965000e+03 1.684496e+00 8.160892e-03
2.521430e+00 3.600000e+01 5.868000e+03 2.516524e+00 1.945641e-03
1.370580e+00 7.800000e+01 3.346000e+03 1.358356e+00 8.918490e-03
2.880100e+00 2.400000e+01 1.496000e+03 2.894219e+00 4.902383e-03
3.088450e+00 1.500000e+01 2.688000e+03 3.082121e+00 2.049148e-03
3.108540e+00 1.400000e+01 2.009000e+03 3.122336e+00 4.438112e-03
2.148800e+00 4.900000e+01 2.404000e+03 2.152589e+00 1.763162e-03
1.509990e+00 7.200000e+01 5.384000e+03 1.500348e+00 6.385470e-03
1.565780e+00 6.900000e+01 3.353000e+03 1.578987e+00 8.434691e-03
1.954820e+00 5.600000e+01 2.388000e+03 1.946734e+00 4.136272e-03
2.885260e+00 2.500000e+01 1.250000e+03 2.891982e+00 2.329807e-03
3.220950e+00 9.000000e+00 2.936000e+03 3.221625e+00 2.095126e-04
