Ytrue por Lambda Ypred RelError
2.725730e+00 2.800000e+01 4.355000e+03 2.738769e+00 4.783734e-03
1.834020e+00 6.000000e+01 5.181000e+03 1.823835e+00 5.553299e-03
2.719250e+00 2.900000e+01 5.088000e+03 2.710294e+00 3.293429e-03
1.711010e+00 6.600000e+01 9.080000e+02 1.704263e+00 3.943139e-03
1.485990e+00 7.300000e+01 4.163000e+03 1.476045e+00 6.692783e-03
3.107750e+00 1.300000e+01 4.668000e+03 3.116906e+00 2.946041e-03
1.542650e+00 7.000000e+01 3.227000e+03 1.553118e+00 6.785834e-03
1.986620e+00 5.400000e+01 5.907000e+03 1.996024e+00 4.733827e-03
3.087410e+00 1.600000e+01 1.582000e+03 3.094944e+00 2.440300e-03
2.028570e+00 5.300000e+01 4.760000e+03 2.026137e+00 1.199424e-03
2.954870e+00 2.000000e+01 3.896000e+03 2.948241e+00 2.243274e-03
3.130860e+00 1.200000e+01 4.213000e+03 3.142187e+00 3.617724e-03
2.943780e+00 2.100000e+01 1.776000e+03 2.956169e+00 4.208500e-03
3.318200e+00 5.000000e+00 2.418000e+03 3.322496e+00 1.294777e-03
1.380330e+00 7.700000e+01 2.366000e+03 1.382674e+00 1.697945e-03
1.647600e+00 6.600000e+01 4.990000e+03 1.657278e+00 5.874073e-03
2.259300e+00 4.500000e+01 5.675000e+03 2.258760e+00 2.391678e-04
2.168230e+00 4.800000e+01 2.860000e+03 2.178226e+00 4.610032e-03
1.337020e+00 8.000000e+01 1.081000e+03 1.323570e+00 1.005935e-02
2.986890e+00 1.900000e+01 3.017000e+03 2.979280e+00 2.547928e-03
3.581070e+00 3.000000e+00 8.150000e+02 3.600296e+00 5.368656e-03
2.692860e+00 3.300000e+01 1.019000e+03 2.703306e+00 3.879263e-03
2.198160e+00 4.700000e+01 5.388000e+03 2.200752e+00 1.179098e-03
1.503130e+00 7.200000e+01 1.495000e+03 1.511484e+00 5.557836e-03
2.914020e+00 2.200000e+01 2.452000e+03 2.910478e+00 1.215658e-03
2.140260e+00 4.900000e+01 5.211000e+03 2.142502e+00 1.047694e-03
3.031910e+00 1.600000e+01 4.752000e+03 3.044397e+00 4.118533e-03
1.356190e+00 7.800000e+01 1.454000e+03 1.364335e+00 6.005995e-03
2.143950e+00 4.900000e+01 4.577000e+03 2.143307e+00 3.000753e-04
1.419090e+00 7.500000e+01 5.772000e+03 1.426856e+00 5.472810e-03
2.493270e+00 3.700000e+01 4.259000e+03 2.490925e+00 9.403798e-04
2.788830e+00 3.100000e+01 9.380000e+02 2.782802e+00 2.161633e-03
2.453940e+00 3.900000e+01 2.815000e+03 2.440797e+00 5.355981e-03
1.391500e+00 7.700000e+01 2.090000e+03 1.383546e+00 5.715858e-03
3.099300e+00 1.400000e+01 3.808000e+03 3.096327e+00 9.592472e-04
2.311810e+00 4.300000e+01 3.981000e+03 2.319559e+00 3.352093e-03
2.064360e+00 5.200000e+01 2.803000e+03 2.060946e+00 1.653955e-03
1.691600e+00 6.500000e+01 1.627000e+03 1.698300e+00 3.960976e-03
2.532980e+00 3.500000e+01 5.989000e+03 2.544431e+00 4.520832e-03
1.993400e+00 5.500000e+01 1.568000e+03 1.990383e+00 1.513716e-03
2.135290e+00 4.900000e+01 3.268000e+03 2.146697e+00 5.342364e-03
2.269270e+00 4.600000e+01 1.726000e+03 2.254269e+00 6.610489e-03
1.679560e+00 6.500000e+01 4.050000e+03 1.685322e+00 3.430500e-03
