fname time Tem kT_1 n1 Rs tau_n Rsh n2 tau_g rmsre 
00D1 53960 340.01 34.1 1.000000000E+00 1.182365751E-15 4.867113598E-04 5.398693804E+19 1.548682060E+00 8.329854101E-07 4.896666089E-01 
00D2 54074 340.01 34.1 1.000000000E+00 9.738291280E-01 1.715411395E-06 1.806154324E+03 4.670243442E+00 4.257396440E-08 2.703397571E-02 
00D3 54166 340 34.101 1.000000000E+00 9.703550474E-01 1.720755876E-06 1.729466547E+03 4.569492263E+00 4.556985582E-08 2.646736956E-02 
00D4 54254 340 34.101 1.000000000E+00 2.157564290E-15 4.624769406E-04 9.417215240E+19 1.550374542E+00 8.254641498E-07 4.888340419E-01 
00D5 54342 340.01 34.1 1.000000000E+00 1.753878530E-15 4.489695198E-04 7.920097980E+19 1.550918385E+00 8.257952571E-07 4.890118737E-01 
00D6 54436 340 34.101 1.000000000E+00 4.047232621E-15 4.497764908E-04 6.190123537E+19 1.549689044E+00 8.313879786E-07 4.900028458E-01 
00D7 54522 340.03 34.098 1.000000000E+00 2.467501037E-17 2.846477157E-04 8.380667898E+19 1.561020760E+00 8.129873861E-07 4.906394761E-01 
00D8 54612 339.99 34.102 1.000000000E+00 8.261192142E-01 2.187526125E-06 8.291333368E+18 4.333410933E+00 2.942733850E-08 1.309170119E-01 
00D9 54698 340.04 34.097 1.000000000E+00 9.666433038E-01 1.745009548E-06 1.540043826E+03 4.226762158E+00 5.783682580E-08 2.574099123E-02 
0D10 54796 340.02 34.099 1.000000000E+00 3.175295753E-16 2.478691384E-05 9.908095954E+19 1.848126978E+00 3.262355346E-07 4.125127223E-01 
0D11 54914 339.74 34.127 1.000000000E+00 1.026782644E+00 1.446961768E-06 2.277769367E+03 5.268362984E+00 3.021722440E-08 2.583781349E-02 
0D12 55002 339.85 34.116 1.000000000E+00 1.022560509E+00 1.478166182E-06 1.946193016E+03 4.928594090E+00 3.686315705E-08 2.518210142E-02 
0D13 55088 339.96 34.105 1.000000000E+00 1.035499333E+00 1.448742856E-06 2.210983574E+18 7.183756135E+00 1.297199829E-08 2.677084148E-02 
0D14 55178 340.03 34.098 1.000000000E+00 1.317036064E-15 7.055848385E-04 5.833892726E+19 1.537894487E+00 8.430197830E-07 4.880617144E-01 
0D15 55266 340.04 34.097 1.000000000E+00 1.009119235E+00 1.556734155E-06 1.733306094E+03 4.614411887E+00 4.492617970E-08 2.549102548E-02 
0D16 55360 340.04 34.097 1.000000000E+00 1.014628824E+00 1.564285599E-06 2.007050896E+03 4.945289544E+00 3.628968554E-08 2.595395036E-02 
0D17 55450 340.04 34.097 1.000000000E+00 8.699602008E-01 2.024439651E-06 8.273209274E+18 4.330747757E+00 2.951586665E-08 1.319183393E-01 
0D18 55532 340.01 34.1 1.000000000E+00 2.150584413E-16 6.417660952E-04 6.967391860E+19 1.543890204E+00 8.310322783E-07 4.875974677E-01 
0D19 55624 340 34.101 1.000000000E+00 1.015321848E+00 1.587970316E-06 1.916176117E+03 4.852430237E+00 3.844777132E-08 2.633135296E-02 
0D20 55718 340 34.101 1.000000000E+00 2.373782113E-15 5.765960220E-04 5.051911386E+19 1.548089472E+00 8.216095616E-07 4.876320843E-01 
0D21 55802 340.01 34.1 1.000000000E+00 1.008872932E+00 1.638698929E-06 1.722513490E+03 4.552288479E+00 4.596149121E-08 2.697807190E-02 
0D22 55902 340.02 34.099 1.000000000E+00 1.890724824E-15 3.452222854E-05 9.902668987E+19 1.792962386E+00 3.845549977E-07 4.294117809E-01 
0D23 55980 340.02 34.099 1.000000000E+00 3.230177319E-15 3.452675667E-05 8.656893779E+19 1.793467165E+00 3.846228652E-07 4.295537652E-01 
0D24 56070 340.03 34.098 1.000000000E+00 2.174852433E-15 5.858835892E-04 6.577176027E+19 1.547180173E+00 8.294228539E-07 4.886493279E-01 
0D25 56158 340.03 34.098 1.000000000E+00 1.002720431E+00 1.668700259E-06 1.841217808E+03 4.735608668E+00 4.104764365E-08 2.626377617E-02 
